Question	The starch and water molecules in potato cells are stored in what organelle?	question
Answer	vacuole	answer
0	a vacuole is a kind of organelle	gold
1	vacuoles are used for storing water; food by cells	gold
2	vacuoles are found in cells	nongold
3	starch is a kind of  complex carbohydrate	nongold
4	starch is a kind of food	gold
5	a molecule is a kind of particle	nongold
6	a molecule is made of atoms chemically combined; bonded	nongold
7	substances are made of molecules	nongold
8	an animal cell is a kind of cell	nongold
9	a plant cell is a kind of cell	nongold
10	carbohydrates are used for storing;transporting energy	nongold
11	a potato is a kind of food	nongold
12	living things are made of organic molecules	nongold
13	matter; materials; substances are made of atoms; particles	nongold
14	matter is made of molecules	nongold
15	atoms are made of particles	nongold
16	a lysosome is a kind of organelle	nongold
17	a vegetable is a kind of plant	nongold
18	a living thing is made of cells	nongold
19	a plant is made of plant cells	nongold
20	a cell absorbs nutrients	nongold
21	a plant is a kind of living thing	nongold
22	contain is similar to store	nongold
23	carbohydrates are a vehicle for storing;transporting energy	nongold
24	a tomato plant is a kind of plant	nongold
25	a pure substance is made of only one kind of atom; molecule	nongold
26	a plant is a kind of organism	nongold
27	a mitochondrion is a kind of cellular organelle	nongold
28	the nucleus is a kind of cell organelle	nongold
29	an organism is a living thing	nongold
30	an animal is a kind of living thing	nongold
31	nutrients are a kind of substance	nongold
32	a molecule is a kind of object	nongold
33	corn is a kind of plant	nongold
34	water is a kind of substance	nongold
35	a human cell is a kind of cell	nongold
36	an animal is a kind of organism	nongold
37	to store means to hold	nongold
38	a vegetable is a kind of food	nongold
39	food contains carbohydrates	nongold
40	the function of something is what that something  is used to do	nongold
41	a food contains nutrients for living things	nongold
42	all cells perform cellular respiration	nongold
43	answering questions requires information	nongold
44	carbohydrates store chemical energy	nongold
45	a molecule is the smallest particle; unit that has the properties of a compound	nongold
46	crops are a kind of edible plant for eating	nongold
47	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
48	a living thing is a kind of object	nongold
49	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
50	plant cells can perform photosynthesis	nongold
51	a cell is a kind of object	nongold
52	special tissues in plants transport food; water; minerals throughout the plant	nongold
53	photosynthesis stores; captures energy	nongold
54	molecules in a solid vibrates within a fixed place	nongold
55	biotic means living	nongold
56	a source of something emits; produces; generates; provides that something	nongold
57	made of is similar to contains	nongold
58	material means substance	nongold
59	glycogen is a kind of substance	nongold
60	cellular respiration is cellular digestion	nongold
61	if something is made of something; a material then that something contains that something; that material	nongold
62	food is a kind of substance	nongold
63	oxygen is a part of many organic molecules	nongold
64	rice cereal; cereal is a kind of  food	nongold
65	nutrients are a kind of material	nongold
66	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
67	a multicellular organism is a kind of living thing	nongold
68	DNA is a kind of molecule	nongold
69	carbohydrates are made of glucose molecules bonding together	nongold
70	an atom is a kind of object	nongold
71	a crop is a kind of food	nongold
72	bacteria is a kind of living thing	nongold
73	storing water is a kind of adaptation	nongold
74	corn is a kind of crop	nongold
75	usually plants store the food they produce for future use	nongold
76	plant and animal matter means organic matter	nongold
77	to contain means to have inside	nongold
78	paramecium has an organelle for movement	nongold
79	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
80	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
81	life means living things	nongold
82	to be used for something means to be required by that something	nongold
83	a cell nucleus is a part of a cell	nongold
84	emit means produce	nongold
85	a plant; living thing requires food for survival	nongold
86	a component of something means a part of that something	nongold
87	if something is a part of something else then that something else contains that something	nongold
88	keeping is similar to storing	nongold
89	organ system means body system	nongold
90	green plants are a kind of producer	nongold
91	can be means able to be	nongold
92	nutrients are a kind of matter	nongold
93	to be formed by is similar to being produced by	nongold
94	atom cannot be divided into smaller substances	nongold
95	if something causes a process then that something is required for that process	nongold
96	take in means absorb	nongold
97	a unicellular organism has one cell	nongold
98	water is a kind of matter	nongold
99	made up of means contains; made of	nongold
