Question	When two bumper cars collide, some of the kinetic energy of the cars is transformed. Which form of energy is most likely formed as a result of this collision?	question
Answer	sound	answer
0	a bumper car is a kind of car	gold
1	a bumper is a kind of object	nongold
2	to cause means to result in	nongold
3	colliding means coming into a collision	nongold
4	to be formed by is to be the result of	nongold
5	to produce means to result in	nongold
6	sound is produced when mechanical energy is transformed into sound energy	gold
7	sound is a kind of sound energy	nongold
8	the kinetic energy of an object can change from kinetic energy to sound energy by hitting another object	nongold
9	sound is a kind of energy	nongold
10	a car is a kind of automobile	nongold
11	a car is a kind of object	gold
12	sound means sound energy	nongold
13	an automobile is a kind of vehicle	nongold
14	result means outcome	nongold
15	energy transformation means one kind of energy changes into another kind of energy	nongold
16	a car is a kind of vehicle	nongold
17	to transform means to convert	nongold
18	energy conversion is similar to energy transformation	nongold
19	when two objects are touched; are contacted; move against each other , sound is produced	gold
20	form means kind	nongold
21	to be made of something means to be formed of that something	nongold
22	sound is a kind of air vibration	nongold
23	colliding is a kind of touching	gold
24	to cause the formation of means to form	nongold
25	kinetic energy is a kind of mechanical energy	gold
26	a vehicle is a kind of object	nongold
27	state means form	nongold
28	sound waves means sound energy	nongold
29	to be formed by is similar to being produced by	nongold
30	loud means high in sound energy;sound intensity	nongold
31	forming is similar to converting	nongold
32	matter; molecules vibrating can cause sound	nongold
33	objects are made of materials; substances; matter	nongold
34	intense sound energy can move objects	nongold
35	noise means sound	nongold
36	vibration is a kind of motion	nongold
37	air is a vehicle for sound	nongold
38	product means result	nongold
39	to change into means to form	nongold
40	being pushed together is similar to colliding	nongold
41	vibrations are a source of sound	nongold
42	a result of something is evidence of that something	nongold
43	sound wave is similar to sound	nongold
44	An example of an object with kinetic energy is an object in motion	nongold
45	human voice is a kind of sound	nongold
46	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
47	matter; materials; substances are made of atoms; particles	nongold
48	sound wave is a kind of wave	nongold
49	motion is a source of kinetic energy in an object	nongold
50	often is similar to likely	nongold
51	forming something is a kind of change	nongold
52	to change means to cause a change	nongold
53	mechanical energy is a kind of energy	nongold
54	wheels are a part of a car	nongold
55	to convert means to change	nongold
56	vibrating matter can produce sound	nongold
57	phase means state	nongold
58	as the force with which an object is touched increases , the amount of  mechanical energy converted to sound energy will increase	nongold
59	formation of a state of matter is a kind of process	nongold
60	to add means to increase	nongold
61	something that happens is a kind of event	nongold
62	particles in objects are a kind of matter	nongold
63	sound wave is a kind of mechanical wave	nongold
64	to generate means to form	nongold
65	to make means to form	nongold
66	variable means able to change	nongold
67	sound energy is transferred by vibrational waves	nongold
68	a vibration is similar to a wave	nongold
69	sound requires matter to travel	nongold
70	affected means changed	nongold
71	playing music causes sound to be produced	nongold
72	substances are made of matter	nongold
73	atoms in a gas collide frequently	nongold
74	sound travels fastest through solid	nongold
75	musical instruments make sound when they are played	nongold
76	heat is a kind of energy	nongold
77	can be means able to be	nongold
78	a change is a kind of event	nongold
79	a source of something emits; produces; generates; provides that something	nongold
80	to happen means to occur	nongold
81	if something causes an increase in something else then that something produces that something else	nongold
82	a motion is a kind of event; action	nongold
83	a surface is a part of an object	nongold
84	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
85	convert is similar to transfer	nongold
86	to be a source of something means to cause that something	nongold
87	to cause means to have an effect	nongold
88	both means two	nongold
89	to cause an event is similar to being involved in that event	nongold
90	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
91	composed of means made of	nongold
92	solid is a kind of state of matter	nongold
93	gas is a kind of state of matter	nongold
94	volume means the loudness of a sound	nongold
95	materials are made of matter	nongold
96	reflecting light; sound is the opposite of absorbing light; sound	nongold
97	sound waves transfer energy	nongold
98	if something is made of something else then the formation of that something requires that something else	nongold
99	an increase is a kind of change	nongold
