Question	Which energy resource is renewable?	question
Answer	wind	answer
0	wind is a renewable; inexhaustible resource	gold
1	renewable is the opposite of nonrenewable	nongold
2	solar energy is a renewable; inexhaustible resource	nongold
3	fossil fuels are a nonrenewable resource	nongold
4	fossil fuels are a kind of energy resource	nongold
5	oil is a nonrenewable resource	nongold
6	oil is a kind of fossil fuel	nongold
7	wind is a source of energy	gold
8	natural gas is a nonrenewable resource	nongold
9	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
10	a fossil fuel is a kind of natural resource	nongold
11	oil is a kind of energy resource	nongold
12	solar energy is a kind of energy	nongold
13	petroleum is a kind of fossil fuel	nongold
14	resources sometimes are used for energy	nongold
15	natural gas is a kind of fossil fuel	nongold
16	a renewable resource is a kind of natural resource	nongold
17	a source of something emits; produces; generates; provides that something	nongold
18	coal is a kind of fossil fuel	nongold
19	wind is used for producing electricity	nongold
20	coal is a nonrenewable resource	nongold
21	an energy source is a kind of resource	nongold
22	water is a renewable resource	nongold
23	green plants are a kind of producer	nongold
24	renewable resources are often available for many years	nongold
25	a renewable resource can be renewed	nongold
26	a nonrenewable resource is limited in supply	nongold
27	sunlight is a kind of solar energy	nongold
28	to produce means to create	nongold
29	fossil fuel contains chemical energy	nongold
30	to create means to make	nongold
31	carbon is a kind of element	nongold
32	plants are a kind of resource	nongold
33	solar power means solar energy	nongold
34	where something  comes from is a source of that something	nongold
35	fossil fuels have high potential energy	nongold
36	renewable resources can be used over again	nongold
37	wood is a kind of energy resource	nongold
38	wood is a renewable resource	nongold
39	a renewable resource can be replaced	nongold
40	an event is a kind of action	nongold
41	sunlight means solar energy	nongold
42	emit means produce	nongold
43	generate means produce	nongold
44	to generate means to create	nongold
45	answering questions requires information	nongold
46	an increase is a kind of change	nongold
47	a producer is a source of energy for consumers	nongold
48	a process is a kind of event	nongold
49	producing renewable electric energy requires renewable resources	nongold
50	creating means making	nongold
51	to be used for something means to be required by that something	nongold
52	metal is a nonrenewable resource	nongold
53	make means produce	nongold
54	converting is similar to producing	nongold
55	most means over 50% of something	nongold
56	to increase is similar to to create	nongold
57	global warming is a kind of environmental problem	nongold
58	trees are a renewable resource	nongold
59	natural resources are found in nature	nongold
60	oil is a source of energy	nongold
61	a component means a part of	nongold
62	to form means to create	nongold
63	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
64	if something releases something else then that something is the source of that something else	nongold
65	products are formed; are produced; are created	nongold
66	a renewable resource is a kind of naturally replaced resource	nongold
67	In the food chain process a  green plant has the role of  producer	nongold
68	fossil fuels release carbon dioxide into the atmosphere	nongold
69	An example of conservation is not using fossil fuel	nongold
70	good means positive	nongold
71	if something transfers something else then that something is a source of something else	nongold
72	to convert means to change	nongold
73	if something gains something from something else then that something else is a source of that something	nongold
74	to generate means to form	nongold
75	to provide something means to be the source of that something	nongold
76	a natural resource is a kind of environmental factor	nongold
77	can be means able to be	nongold
78	producing is a kind of process	nongold
79	oil is a kind of substance; matter	nongold
80	to turn means to change	nongold
81	growth is a kind of change	nongold
82	a producer is a kind of living thing	nongold
83	a change is a kind of event	nongold
84	solution is similar to a positive impact	nongold
85	solar energy is a source of electricity	nongold
86	to make means to form	nongold
87	to carry means to move something	nongold
88	to produce means to provide	nongold
89	a part of a process means a stage in a process	nongold
90	a producer produces its own food	nongold
91	to be formed by is similar to being produced by	nongold
92	if something causes a process then that something is required for that process	nongold
93	yards ( yd ) are a  imperial unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
94	if something is a raw material in a process then that something is required for that process	nongold
95	to contribute is similar to produce	nongold
96	carrying something means moving that something	nongold
97	no longer means used to be	nongold
98	best means most positive	nongold
99	to cause means to make	nongold
