Question	A student poured water into a plastic tray. The student then put the tray into the freezer. What property of the water changed as the water froze?	question
Answer	The water took a definite shape.	answer
0	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	gold
1	definite shape means the shape of an object stays the same when moved to different spot	nongold
2	Matter in the solid phase has definite shape	gold
3	freezing causes a solid to form	nongold
4	freezing is a kind of phase change	nongold
5	definite is the opposite of variable	nongold
6	if something is definite in shape then that something will not change shape easily	nongold
7	variability of shape; variability of volume is a property of matter and includes values of variable; definite	gold
8	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
9	a freezer; refrigerator is cool; cold in temperature	nongold
10	liquid water cooling causes that liquid water to freeze	nongold
11	Matter in the liquid phase has variable shape	nongold
12	cooling;colder means removing;reducing;decreasing heat;temperature	gold
13	freezing means cold temperatures	nongold
14	a freezer is used for cooling things	gold
15	a student is a kind of human	nongold
16	matter with variable shape changes shape in different container	nongold
17	temperature is a measure of heat energy	nongold
18	Matter in the gas phase has variable shape	nongold
19	fixed is similar to definite	nongold
20	frozen means solid	nongold
21	shape is a property of an object	nongold
22	shape is a kind of physical property	nongold
23	structure is similar to shape	nongold
24	Matter in the liquid phase has definite volume	nongold
25	form means kind	nongold
26	Matter in the solid phase has definite volume	nongold
27	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
28	shape of the parts of something is a property of that something	nongold
29	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
30	water is a kind of liquid at room temperature	nongold
31	water is a kind of matter	gold
32	liquid is a kind of state of matter	nongold
33	state means form	nongold
34	state of matter at room temperature is a kind of physical property	nongold
35	cycles of freezing and thawing water cause ice wedging	nongold
36	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
37	if something has a definite volume , then its volume will not change when transferred into a different container	nongold
38	structure is a property of an object; a material; a substance	nongold
39	an increase is a kind of change	nongold
40	shape is a property of the appearance of an object	nongold
41	state of matter is a kind of physical property	nongold
42	melting is a kind of phase change	nongold
43	to turn means to change	nongold
44	to change into means to form	nongold
45	to make means to form	nongold
46	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	gold
47	solid is a kind of state of matter	gold
48	breaking down into pieces is a kind of change in shape	nongold
49	an object has properties	nongold
50	phase means state	gold
51	forming something is a kind of change	nongold
52	water expanding when it freezes is a physical property of water	nongold
53	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
54	shape is an extensive property	nongold
55	a container contains objects; material; substances	nongold
56	a phase change is a kind of physical change	nongold
57	cooling means temperature decreases	nongold
58	to add means to increase	nongold
59	heating means adding heat	nongold
60	surface area is a property of shape	nongold
61	variable means able to change	nongold
62	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
63	euglena has definite shape	nongold
64	water is a kind of substance	nongold
65	if something undergoes a physical change then the physical properties of that something will change	nongold
66	temperature changing can cause phase changes	nongold
67	variability of shape; variability of volume is a kind of physical property	nongold
68	ice is a kind of solid	nongold
69	a physical property is a kind of property	nongold
70	evaporating is a kind of phase change	nongold
71	to lower means to decrease	nongold
72	flowing is a kind of motion	nongold
73	when water freezes , that water expands	nongold
74	a structure of something is synonymous with a part of that something	nongold
75	temperature is an intensive property	nongold
76	a decrease is a kind of change	nongold
77	boiling is a kind of phase change	nongold
78	movement is a kind of change	nongold
79	formation of a state of matter is a kind of process	nongold
80	colder; cooler means lower in temperature	nongold
81	heat means heat energy	nongold
82	increase means more	nongold
83	to change means to become different	nongold
84	heating is the opposite of cooling	nongold
85	cold means low in temperature	nongold
86	if the component of something changed , then the whole thing will change	nongold
87	heat means temperature increases	nongold
88	ice is cold in temperature	nongold
89	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
90	an object is made of its parts	nongold
91	revolving is a kind of motion	nongold
92	length is a property of the shape of an object	nongold
93	ice is colder than water in temperature	nongold
94	an increase is the opposite of a decrease	nongold
95	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
96	changed is the opposite of unchanged	nongold
97	what something needs is a property of that something	nongold
98	flowing is similar to pouring	nongold
99	breaking down is a kind of forming	nongold
