Question	Which instrument would be best to measure the volume of a liquid?	question
Answer	a graduated cylinder	answer
0	a graduated cylinder is used to measure volume of a liquid; of an object	gold
1	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	gold
2	a graduated cylinder is a kind of container	nongold
3	instrument means device	nongold
4	a rain gauge is a kind of graduated cylinder	nongold
5	instrument means tool	nongold
6	density is a measure of mass of an object over volume; divided by volume	nongold
7	a liquid is a kind of substance	nongold
8	a liquid is a kind of fluid	nongold
9	size; amount of space means volume	nongold
10	a tool is a kind of object	nongold
11	an instrument is a piece of equipment	nongold
12	a device is a kind of object	nongold
13	a container contains objects; material; substances	nongold
14	objects are made of materials; substances; matter	nongold
15	Matter in the gas phase has variable volume	nongold
16	Matter in the liquid phase has definite volume	nongold
17	the volume of an object can be used to describe  the size of that object	nongold
18	matter; materials; substances are made of atoms; particles	nongold
19	device means tool	nongold
20	volume is a property of matter	nongold
21	mass; weight is a property of matter; objects; materials	nongold
22	length is a part of size	nongold
23	a balance is a kind of instrument for measuring mass; measuring weight	nongold
24	a container is a kind of object	nongold
25	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
26	Matter in the solid phase has definite volume	nongold
27	a balance is used for measuring mass;weight of an object; of a substance	nongold
28	mass is a measure of the amount of matter in an object	nongold
29	substances are made of matter	nongold
30	a measuring cup is a kind of tool for measuring the volume of substances	nongold
31	materials are made of matter	nongold
32	milliliters is a kind of unit for measuring volume of liquids	nongold
33	material means substance	nongold
34	can be means able to be	nongold
35	liters are a kind of unit for measuring volume of liquids	nongold
36	particles in objects are a kind of matter	nongold
37	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
38	a machine is a kind of  device	nongold
39	form means kind	nongold
40	mass is a property of objects; matter	nongold
41	when a flexible container is filled with a substance , then the volume of the container will be the volume of the substance	nongold
42	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
43	level is similar to amount; quantity	nongold
44	length is a measure of distance from one end of an object to the other end of that object	nongold
45	property is similar to measurement	nongold
46	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
47	liquid is a kind of state of matter	nongold
48	contents means the substance in a container	nongold
49	water is a kind of matter	nongold
50	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
51	weight is a property of objects; matter	nongold
52	a type is synonymous with a kind	nongold
53	calculation means measurement	nongold
54	water is a kind of liquid at room temperature	nongold
55	quantity means amount	nongold
56	mass is similar to size	nongold
57	height is a measure of length from the top of an object to the bottom of an object	nongold
58	a barometer is a kind of instrument for measuring air pressure	nongold
59	if an object is made of a material then that object has the properties of that material	nongold
60	a scale is used for measuring weight	nongold
61	variable means able to change	nongold
62	measuring requires reading a measurement	nongold
63	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
64	height is a property of the size of an object	nongold
65	determining often requires measuring; observing	nongold
66	a ratio is a measure of one measure over another measure; divided by another measure	nongold
67	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
68	a tape measure is a kind of tool for measuring distance; measuring length	nongold
69	gas is a kind of material	nongold
70	composed of means made of	nongold
71	measuring is used for describing an object	nongold
72	a gram  is a kind of unit for measuring mass	nongold
73	seconds are a kind of unit for measuring time	nongold
74	greatest means largest; highest; most amount of something	nongold
75	a measuring cup is used for measuring the volume of substances	nongold
76	best means most positive	nongold
77	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
78	liters ( L ) is a metric unit used for measuring volume generally used for values between 1.0 and 50000000.0	nongold
79	air mass means a volume of air	nongold
80	Matter in the liquid phase has variable shape	nongold
81	temperature is a measure of heat energy	nongold
82	a machine is a kind of object	nongold
83	water is a kind of substance	nongold
84	motion; movement means moving; to move	nongold
85	to add means to increase	nongold
86	milliliters ( mL ) is a metric unit used for measuring volume generally used for values between 1.0 and 1000.0	nongold
87	length is a property of the shape of an object	nongold
88	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
89	seconds are used to measure time	nongold
90	high is similar to increase	nongold
91	a surface is a part of a material	nongold
92	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
93	a meter is a kind of unit for measuring distance; measuring length	nongold
94	temperature changing can cause volume of the object to change	nongold
95	to measure means to calculate	nongold
96	Matter in the gas phase has variable shape	nongold
97	higher means greater; above in value; amount; number	nongold
98	affected means changed	nongold
99	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
