Question	Sleet, rain, snow, and hail are forms of	question
Answer	precipitation	answer
0	sleet is a kind of precipitation	gold
1	sleet is when raindrops freeze as they fall	nongold
2	sleet is a kind of ice	nongold
3	sleet is made of ice	nongold
4	hail is a kind of precipitation; ice	gold
5	form means kind	gold
6	rain is a kind of precipitation	gold
7	snow is a kind of precipitation	gold
8	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
9	rain; snow falls	nongold
10	rain is a kind of water	nongold
11	precipitation is a kind of weather	nongold
12	precipitation is when water falls from the sky	nongold
13	snowfall means the amount of precipitation in snow form	nongold
14	snow is a kind of ice	nongold
15	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
16	rainfall means precipitation	nongold
17	a storm is a source of precipitation	nongold
18	precipitation is a property of weather	nongold
19	freezing causes a solid to form	nongold
20	ice is a kind of solid	nongold
21	precipitation is a kind of natural occurrence; cause	nongold
22	hailing is when hail fall from clouds to the Earth;ground	nongold
23	ice is a kind of object	nongold
24	water is a kind of liquid at room temperature	nongold
25	rainfall means the amount of precipitation	nongold
26	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
27	freezing means cold temperatures	nongold
28	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
29	storm is a kind of weather; weather event	nongold
30	freezing is a kind of phase change	nongold
31	rainstorm means rain storm	nongold
32	snow is a kind of object	nongold
33	to reduce means to decrease	nongold
34	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
35	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
36	snowstorm is a kind of weather	nongold
37	a type is synonymous with a kind	nongold
38	rain is a source of water	nongold
39	a blizzard is a kind of storm	nongold
40	temperature is a measure of heat energy	nongold
41	a thunderstorm is a kind of storm	nongold
42	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
43	snow is cold	nongold
44	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
45	to lower means to decrease	nongold
46	state means form	nongold
47	storms;rain cause bodies of water to increase amount of water they contain	nongold
48	water is a kind of substance	nongold
49	An example of stormy weather is rain	nongold
50	low pressure systems cause precipitation	nongold
51	to add means to increase	nongold
52	a liquid is a kind of substance	nongold
53	snowing is when snow fall from clouds to the Earth;ground	nongold
54	snowy means a large amount of snow	nongold
55	a solid is a kind of substance	nongold
56	to change into means to form	nongold
57	clouds produce precipitation	nongold
58	an increase is a kind of change	nongold
59	liquid is a kind of state of matter	nongold
60	solid is a kind of state of matter	nongold
61	a human is a kind of animal	nongold
62	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
63	both means two	nongold
64	frozen means solid	nongold
65	ice is cold in temperature	nongold
66	affected means changed	nongold
67	precipitation is a kind of  natural process	nongold
68	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
69	cycles of freezing and thawing water cause ice wedging	nongold
70	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
71	average amount of precipitation is a property of climate	nongold
72	a decrease is a kind of change	nongold
73	icy means made of ice	nongold
74	to be made of something means to be formed of that something	nongold
75	water is a kind of object	nongold
76	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
77	an event is a kind of action	nongold
78	cool means cold	nongold
79	ice wedging is a kind of mechanical weathering	nongold
80	water is a kind of matter	nongold
81	rainfall is the amount of rain an area receives	nongold
82	moisture means liquid; liquid water	nongold
83	a physical property is a kind of property	nongold
84	high is similar to increase	nongold
85	a phase change is a kind of physical change	nongold
86	the properties of something are used for describing that something	nongold
87	temperature is a property of weather	nongold
88	the effects of something is a property of that something	nongold
89	a type of something is a kind of property of that something	nongold
90	cold is a kind of weather	nongold
91	a landform is a kind of object	nongold
92	a living thing is a kind of object	nongold
93	typically means usually	nongold
94	a motion is a kind of event; action	nongold
95	a change is a kind of event	nongold
96	objects are made of materials; substances; matter	nongold
97	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
98	to cause the formation of means to form	nongold
99	landform means surface feature; physical feature; land feature	nongold
