Question	The Sun is a medium-sized star and is expected to continue to perform nuclear fusion for five billion years. What is most likely to be the final stage of the Sun?	question
Answer	white dwarf	answer
0	a white dwarf is a kind of star	nongold
1	the Sun is a kind of star	gold
2	the sun is a kind of yellow dwarf	nongold
3	a white dwarf is the last stage in the life cycle of a star	gold
4	a dwarf planet is usually much smaller in size; in mass than other planets	nongold
5	nuclear fusion occurs in the sun's core	nongold
6	yellow dwarf is a kind of small star	nongold
7	a yellow dwarf is a kind of main-sequence star	nongold
8	the sun is made of hydrogen and helium	nongold
9	the sun is average in size for a star in our galaxy	nongold
10	small stars burn for billions of years	nongold
11	nuclear fusion is a kind of nuclear reaction	nongold
12	a part of a process means a stage in a process	nongold
13	a step in a process means a stage in a process	nongold
14	medium is similar to average	nongold
15	nuclear fusion causes star formation	nongold
16	nuclear reactions in stars causes stars to produce light; energy; nuclear energy	nongold
17	a star is a kind of celestial object; celestial body	nongold
18	a star is a source of light; light energy through nuclear reactions	nongold
19	nuclear fusion in a star's core generates energy for the star to (burn, shine)	nongold
20	a star is usually larger than a planet	nongold
21	a star produces light and heat	nongold
22	nuclear fusion converts hydrogen into helium	nongold
23	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
24	smaller means less; lower in size	nongold
25	a process usually requires all of the stages in that process	nongold
26	massive is similar to large	nongold
27	nuclear fusion is a kind of process	nongold
28	nuclear fusion is a kind of process	nongold
29	the red giant stage is when a star runs out of hydrogen	nongold
30	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
31	nuclear fusion is a source of energy	nongold
32	the sun is a source of light; light energy called sunlight	nongold
33	the sun is a source of radiation; heat called sunlight	nongold
34	protons and neutrons are formed during nuclear fusion	nongold
35	massive means great in mass	nongold
36	mass is similar to size	nongold
37	massive means giant	nongold
38	larger means greater; higher; more; increase in size	nongold
39	a star is made of gases	nongold
40	a star requires energy	nongold
41	a star is formed by collapsing clouds of gas and dust	nongold
42	red giant is a kind of stage in the life cycle of a star	nongold
43	white is a kind of color	nongold
44	larger; bigger is the opposite of smaller	nongold
45	an atom is exceptionally small in size	nongold
46	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
47	size is an extensive property	nongold
48	sunlight is a kind of light	nongold
49	the sun is the source of solar energy called sunlight	nongold
50	the sun is the strongest source of gravity in the solar system	nongold
51	nuclear energy is a kind of energy	nongold
52	a process is a kind of event	nongold
53	a source of something emits; produces; generates; provides that something	nongold
54	length is a part of size	nongold
55	forming is similar to converting	nongold
56	converting is similar to producing	nongold
57	to happen means to occur	nongold
58	an event is a kind of action	nongold
59	nuclear fusion is when atomic nuclei of low atomic number fuse	nongold
60	an increase is a kind of change	nongold
61	high is similar to increase	nongold
62	to be formed by is similar to being produced by	nongold
63	to produce means to create	nongold
64	to create means to make	nongold
65	decades are a kind of unit for measuring time	nongold
66	form means kind	nongold
67	the Sun is the  star that is closest to Earth	nongold
68	can be means able to be	nongold
69	to be formed by is to be the result of	nongold
70	forming something is a kind of change	nongold
71	a star's type is determined by the star's mass	nongold
72	to form means to create	nongold
73	the sun  is the source of energy for physical cycles on Earth	nongold
74	a type is synonymous with a kind	nongold
75	products are formed; are produced; are created	nongold
76	years are a kind of unit for measuring time	nongold
77	to make means to form	nongold
78	planets in the solar system orbit the Sun	nongold
79	a planet is a kind of celestial object; body	nongold
80	to change into means to form	nongold
81	if something releases something else then that something is the source of that something else	nongold
82	expand means increase in size	nongold
83	to increase is similar to to create	nongold
84	hydrogen is a kind of element	nongold
85	no longer means used to be	nongold
86	the universe started as a single mass according to the Big Bang Theory	nongold
87	a component means a part of	nongold
88	to cause means to make	nongold
89	if something transfers something else then that something is a source of something else	nongold
90	hydrogen is the most common element in stars	nongold
91	generate means produce	nongold
92	the sun is not a star in the night sky	nongold
93	to generate means to create	nongold
94	composed of means made of	nongold
95	to convert means to change	nongold
96	the sun is  the largest celestial body in our solar system	nongold
97	sunlight means solar energy	nongold
98	creating means making	nongold
99	a physicist is a kind of scientist	nongold
