Question	On February 21, a student observes that the Moon cannot be seen in the clear night sky. On what date will the student not be able to see the Moon again in the clear night sky?	question
Answer	March 21	answer
0	not visible means cannot be seen	gold
1	not looking means not seeing	nongold
2	cannot means not be able to	nongold
3	observe means see	nongold
4	a student is a kind of human	nongold
5	to see means to look	nongold
6	a moon is a kind of celestial object; body	nongold
7	invisible means cannot be seen	nongold
8	the Moon is Earth's moon	nongold
9	visible means able to be seen	nongold
10	able is the opposite of unable	nongold
11	if something is visible , then that something can be observed	nongold
12	sight means to see	nongold
13	the sun is not a star in the night sky	nongold
14	moons are large; solid; spherical	nongold
15	seeing is used for sensing visual things	nongold
16	a human is a kind of animal	nongold
17	sight is a kind of sense	nongold
18	to view means to see	nongold
19	can be means able to be	nongold
20	the dark half of the moon is not visible	gold
21	viewing means observing light	nongold
22	type of moon; kind of moon means moon phase	nongold
23	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
24	sight means vision	nongold
25	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
26	if an object reflects light toward the eye then that object can be seen	nongold
27	studying is similar to observing	nongold
28	travel means to move	nongold
29	not is similar to the opposite of	nongold
30	the moon orbits the Earth	nongold
31	human eyes can only see light in the range of visible light	nongold
32	seeing requires light	nongold
33	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
34	a motion is a kind of event; action	nongold
35	furthest; farthest means greatest; most; highest in distance	nongold
36	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
37	low is similar to decrease	nongold
38	a star is a kind of celestial object; celestial body	nongold
39	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
40	distance is a property of space and includes ordered values of close; far	nongold
41	movements of celestial bodies are a kind of event	nongold
42	a full moon is a kind of phase of the moon	nongold
43	a velocity is a measure of a speed in a direction	nongold
44	the Moon is closer to the Earth than the Sun	nongold
45	the stars in the night sky are very far away from the Earth	nongold
46	an animal is a kind of organism	nongold
47	events occur at a specific place; at a specific time; with a specific frequency	nongold
48	the sun is a source of light; light energy called sunlight	nongold
49	motion; movement means moving; to move	nongold
50	motion is when moves an object; something to a direction	nongold
51	eyes can sense;detect light energy for seeing	nongold
52	a planet is a kind of celestial object; body	nongold
53	to pass means to travel	nongold
54	to lower means to decrease	nongold
55	person is synonymous with human	nongold
56	near; close is the opposite of far; away	nongold
57	the phases of the Moon change the appearance of the Moon	nongold
58	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
59	the moon is less bright than the sun	nongold
60	an increase is the opposite of a decrease	nongold
61	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
62	to reduce means to decrease	nongold
63	looking is similar to observing	nongold
64	stop; stopped means zero; 0; no speed	nongold
65	high is similar to increase	nongold
66	the Sun is a kind of star	nongold
67	an animal is a kind of living thing	nongold
68	meters;centimeters;kilometers are used to describe distance; describe length	nongold
69	less is similar to decrease	nongold
70	cannot is the opposite of  can	nongold
71	the night time is part of one day	nongold
72	the moon reflects sunlight towards the Earth	nongold
73	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
74	the moon does not contain air; water	nongold
75	setting is a kind of motion	nongold
76	speed is a property of an object and includes values of slow; fast	nongold
77	distance moved; distance travelled is a measure of how far an object moves	nongold
78	the moon is the celestial object that is closest to the  Earth	nongold
79	the moon rotates on its axis	nongold
80	look at means observe	nongold
81	not allowed to means can not	nongold
82	closer means lower; less; a decrease in distance	nongold
83	stop means not move	nongold
84	toward is the opposite of away	nongold
85	eyes are a part of a human for seeing	nongold
86	hiding means visibility; ability to be seen decreases for camouflage	nongold
87	passage is passing	nongold
88	if it is night then the sun has set	nongold
89	an event is a kind of action	nongold
90	to slow; to slow down decreases speed	nongold
91	far is the opposite of close	nongold
92	measuring is a kind of observing	nongold
93	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
94	passing is a kind of action	nongold
95	an organism is a living thing	nongold
96	affected means changed	nongold
97	eyes are usually part of an animal for seeing	nongold
98	the new moon is when the lighted half of the moon faces the Sun	nongold
99	little is similar to decrease	nongold
