Question	Why do planets stay in orbit around the Sun?	question
Answer	attraction of gravity	answer
0	revolving  around something means orbiting that something	nongold
1	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	gold
2	planets orbit stars	gold
3	to remain means to stay where it is	nongold
4	gravity causes orbits	gold
5	staying means not changing	nongold
6	the Earth revolves around the sun	nongold
7	keeping means staying	gold
8	the Sun is a kind of star	gold
9	to stay means to continue to exist	nongold
10	a planet is a kind of celestial object; body	nongold
11	planets have cleared their orbits	nongold
12	to remain means to not change	nongold
13	planets in the solar system orbit the Sun	nongold
14	a star is a kind of celestial object; celestial body	nongold
15	pull is similar to attract	nongold
16	the sun is a kind of yellow dwarf	nongold
17	to change means to have an effect	nongold
18	to cause means to have an effect	nongold
19	a star produces light and heat	nongold
20	a planet completes one orbit around its star over a period of one planetary year	nongold
21	causing means influencing	nongold
22	a revolution occurs when something revolves around something else	nongold
23	all planets orbit the sun in the same direction	nongold
24	a star is usually larger than a planet	nongold
25	a planet is exposed to the heat of the star around which it revolves	nongold
26	orbit is a kind of characteristic	nongold
27	orbiting is a kind of action	gold
28	live is similar to stay	nongold
29	orbit means orbital path	nongold
30	the sun is a source of light; light energy called sunlight	nongold
31	a source of something emits; produces; generates; provides that something	nongold
32	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
33	to be used for something means to be required by that something	nongold
34	a star is very hot in temperature	nongold
35	astronomy is the study of celestial (objects, bodies)	nongold
36	impact means effect	nongold
37	high is similar to increase	nongold
38	heat means heat energy	nongold
39	stay the same means not changing	nongold
40	a star is a source of light; light energy through nuclear reactions	nongold
41	Celestial bodies move in orbits in space around other celestial bodies	nongold
42	a star requires energy	nongold
43	variable means able to change	nongold
44	to remain means to stay the same	nongold
45	being around something means surrounding  that something	nongold
46	low is similar to decrease	nongold
47	the sun  is the source of energy for physical cycles on Earth	nongold
48	to keep something occurring means to cause that something to occur	nongold
49	moons orbit planets	nongold
50	revolving is a kind of motion	nongold
51	affected means changed	nongold
52	to slow; to slow down decreases speed	nongold
53	causing is a kind of affecting	nongold
54	to maintain means to not change	nongold
55	to change means to cause a change	nongold
56	pluto has not cleared its orbit	nongold
57	to add means to increase	nongold
58	can be means able to be	nongold
59	a type is synonymous with a kind	nongold
60	influence means effect	nongold
61	extreme means very high in value	nongold
62	the sun is a source of radiation; heat called sunlight	nongold
63	yellow dwarf is a kind of small star	nongold
64	heating means adding heat	nongold
65	heat is a kind of energy	nongold
66	form means kind	nongold
67	a planet rotating causes cycles of day and night on that planet	nongold
68	to turn means to change	nongold
69	answering questions requires information	nongold
70	hot means high in heat energy; temperature	nongold
71	an increase is the opposite of a decrease	nongold
72	taking is the opposite of giving; leaving	nongold
73	to conduct is similar to to transfer	nongold
74	to give off means to be the source of	nongold
75	proximity means distance	nongold
76	Mars is a kind of planet	nongold
77	solar energy is a kind of heat energy	nongold
78	to be formed by is similar to being produced by	nongold
79	a satellite orbits a planet	nongold
80	the Sun is the  star that is closest to Earth	nongold
81	an object has properties	nongold
82	magnetic attraction pulls two objects together	nongold
83	a hot; warm something is a source of heat	nongold
84	gravity pulls objects towards planets	nongold
85	objects are made of materials; substances; matter	nongold
86	emit means produce	nongold
87	composed of means made of	nongold
88	to depend on; to rely on; to need means to require	nongold
89	staying warm means keeping warm	nongold
90	warm means medium heat energy; temperature	nongold
91	to convert means to change	nongold
92	to lower means to decrease	nongold
93	to emit means to release	nongold
94	an increase is a kind of change	nongold
95	to contain means to have inside	nongold
96	if something is insoluble in something , then they will remain separated	nongold
97	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
98	if something is made by something else then that something is affected by that something else	nongold
99	a living thing is a kind of object	nongold
