Question	Drew knows that Earth is tilted on its axis. He also knows this tilt is responsible for the season that a region on Earth will experience. When the South Pole is tilted toward the Sun, what season will it be in Florida?	question
Answer	winter	answer
0	summer is when a hemisphere is tilted towards the sun	nongold
1	winter in a hemisphere occurs when the Pole located in that hemisphere is tilted away from the Sun	gold
2	winter is when a hemisphere is tilted away from the sun	nongold
3	summer is a kind of season	nongold
4	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
5	winter is a kind of season	nongold
6	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
7	winter is a part of the year	nongold
8	the Earth being tilted on its rotating axis causes seasons	nongold
9	to cause means to be responsible for	nongold
10	the North Pole is a kind of location	nongold
11	season is a major yearly temperature change	nongold
12	Florida is a state located in the United States of America	gold
13	summer has hot temperatures; weather	nongold
14	a region is a kind of location	nongold
15	every summer  is a kind of period of time	nongold
16	each season occurs once per year	nongold
17	an increase is a kind of change	nongold
18	The South Pole is located in the southern hemisphere	nongold
19	The North Pole is located in the northern hemisphere	gold
20	temperature is a measure of heat energy	nongold
21	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
22	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
23	winter has cold temperatures;weather	nongold
24	weather changes from seasons to seasons	nongold
25	toward is a kind of direction	nongold
26	region means place	nongold
27	an increase is the opposite of a decrease	nongold
28	Earth orbiting the Sun causes seasons to change	nongold
29	winter means environmental; outdoor temperature decreases	nongold
30	spring is a kind of season	nongold
31	to have a function is similar to to be responsible for	nongold
32	high is similar to increase	nongold
33	to add means to increase	nongold
34	annual means once per year	nongold
35	Autumn is a kind of season	nongold
36	variable means able to change	nongold
37	warmer means greater; higher in temperature; warmth	nongold
38	the Sun is a kind of star	nongold
39	seasons cause change to the environment	nongold
40	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
41	the average temperature in South Pole is between -52.2 to -45.8 C	nongold
42	precipitation is a kind of weather	nongold
43	New York is closer to the North Pole than Florida	nongold
44	heat means heat energy	nongold
45	Earth is a kind of planet	nongold
46	years are a kind of unit for measuring time	nongold
47	a decrease is a kind of change	nongold
48	being in the sun is synonymous with being in the sunlight	nongold
49	winter in the Southern Hemisphere is during the summer in the Nouthern Hemisphere	nongold
50	a change is a kind of event	nongold
51	hot means high in heat energy; temperature	nongold
52	heat means temperature increases	nongold
53	low is similar to decrease	nongold
54	the Earth rotates on its axis	nongold
55	precipitation is when water falls from the sky	nongold
56	the sun setting is a kind of event	nongold
57	a motion is a kind of event; action	nongold
58	a region is similar to an environment	nongold
59	motion is when moves an object; something to a direction	nongold
60	winter in the Northern Hemisphere is during the summer in the Southern Hemisphere	nongold
61	temperature is a property of weather	nongold
62	towards means closer to something	nongold
63	to be used for something means to be required by that something	nongold
64	affected means changed	nongold
65	warm means warm temperature	nongold
66	polar means of the pole	nongold
67	to lower means to decrease	nongold
68	to be in the sun means to be in the sunlight	nongold
69	staying means not changing	nongold
70	the sun is the source of solar energy called sunlight	nongold
71	yearly means every year	nongold
72	the sun is a source of light; light energy called sunlight	nongold
73	adding heat means increasing temperature	nongold
74	increase means more	nongold
75	warm means medium heat energy; temperature	nongold
76	phase means state	nongold
77	different seasons occur during different times of the year	nongold
78	the sun sets in the west	nongold
79	a source of something emits; produces; generates; provides that something	nongold
80	to reduce means to decrease	nongold
81	if something causes a process then that something is required for that process	nongold
82	the sun rises in the east	nongold
83	precipitation is a property of weather	nongold
84	a new season occurs four times per year	nongold
85	a plant is a kind of living thing	nongold
86	snow falls during the winter in some environments	nongold
87	to impact means to affect	nongold
88	seasonal changes are made in response to changes in the environment	nongold
89	snowing is when snow fall from clouds to the Earth;ground	nongold
90	change is a kind of impact	nongold
91	events occur at a specific place; at a specific time; with a specific frequency	nongold
92	spring has warm temperatures; weather	nongold
93	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
94	summer has the most sunlight	nongold
95	something that happens is a kind of event	nongold
96	setting is a kind of motion	nongold
97	to change means to cause a change	nongold
98	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
99	adding something is a kind of change	nongold
