Question	The change in fur color of the Arctic hare from brown in the summer to white in the winter is an example of	question
Answer	camouflage.	answer
0	a hare is a kind of animal	gold
1	a hare is similar to a rabbit	nongold
2	An example of camouflage is when something changes color in order to have the same color as its environment	gold
3	An example of camouflage is when something is; has the same color as its environment	nongold
4	the arctic environment is white in color from being covered in snow	gold
5	camouflage is used for protection; hiding by prey; animals against predators; from predators	nongold
6	the arctic is a kind of environment	nongold
7	a snowshoe hare is a kind of animal	nongold
8	coloration is a kind of adaptation for hiding;camouflage	nongold
9	camouflage is a kind of adaptation for hiding in an environment	gold
10	An example of camouflage is when an organism looks like its environment	nongold
11	white is a kind of color	nongold
12	if an animal's fur is a color then that animal is that color	gold
13	brown is a kind of color	nongold
14	Camouflage is synonymous with visual disguise	nongold
15	white fur is white in color	nongold
16	a rabbit is a kind of animal	nongold
17	a fox is a kind of animal	nongold
18	summer is a kind of season	nongold
19	camouflage is a kind of protection against predators; from predators; against consumers	nongold
20	camouflage can be used for hunting for prey; food	nongold
21	an animal is a kind of living thing	nongold
22	coat means fur coat	nongold
23	snow falls during the winter in the arctic environment	gold
24	fur is often part of an animal	nongold
25	cold environments sometimes are white in color from being covered in snow	nongold
26	snow is white in color	gold
27	arctic animals live in an arctic environment	nongold
28	disguise means  changing appearance to hide	nongold
29	coloration means a thing's color	nongold
30	a kind of something is an example of that something	nongold
31	a rabbit is a kind of mammal	nongold
32	when snow falls in an environment in an environment , that environment will become white	nongold
33	color is a kind of physical; visual property	nongold
34	the arctic environment covered in snow	nongold
35	winter is the opposite of summer	nongold
36	the color of; coloration of fur is an inherited characteristic	nongold
37	winter is a kind of season	nongold
38	a living thing is a kind of object	nongold
39	color is a property of  an object; a material	nongold
40	fur is usually part of a mammal	nongold
41	hair; fur is  a part of skin for protection; keeping warm	nongold
42	brown is dark in color	nongold
43	summer follows spring	nongold
44	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
45	hiding means visibility; ability to be seen decreases for camouflage	nongold
46	snow falls during the winter in some environments	nongold
47	coloration means a pattern of colors	nongold
48	trait is synonymous with characteristic	nongold
49	green is a kind of color	nongold
50	an animal is a kind of organism	nongold
51	winter is a part of the year	nongold
52	the color of an environment means the color of the things that environment contains	nongold
53	feature is synonymous with characteristic	nongold
54	An example of camouflage is an organism looking like leaves	nongold
55	gray is a combination of black and white	nongold
56	dark means dark in color	nongold
57	a rabbit is a kind of herbivore	nongold
58	fur is a covering around the body of an animal	nongold
59	answering questions requires information	nongold
60	hiding is a kind of protection against predators; from predators	nongold
61	a rabbit is a kind of prey	nongold
62	a wolf is a kind of animal	nongold
63	some animals' fur grows thicker for staying warm in the winter	nongold
64	if an animal's fur is a certain color then the skin of that animal is probably that same color	nongold
65	black is a kind of color	nongold
66	an increase is a kind of change	nongold
67	colorless means no color	nongold
68	the arctic  environment usually is cold in  temperature from being at a northern lattitude	nongold
69	some hares live in  fields	nongold
70	spring follows winter	nongold
71	blue is a kind of color	nongold
72	high is similar to increase	nongold
73	Autumn is a kind of season	nongold
74	to change means to become different	nongold
75	trait means property	nongold
76	temperature changing does not cause color to change	nongold
77	appearance is a property of objects; materials	nongold
78	an environment means an area	nongold
79	an adaptation is a kind of change	nongold
80	a mammal is a kind of animal	nongold
81	cooler means colder	nongold
82	colder; cooler means lower in temperature	nongold
83	a human is a kind of animal	nongold
84	an adaptation is a kind of characteristic	nongold
85	every summer  is a kind of period of time	nongold
86	winter has cold temperatures;weather	nongold
87	snow is a covering found on the surface of an arctic environment	nongold
88	an organism is a living thing	nongold
89	to vary means to change	nongold
90	to turn means to change	nongold
91	a covering is a kind of object	nongold
92	animal instinct means instinctive behavior	nongold
93	snow is cold	nongold
94	objects in an environment are a part of that environment	nongold
95	variable means able to change	nongold
96	different seasons occur during different times of the year	nongold
97	An example of a seasonal change is an animal growing thick fur for keeping warm in the winter	nongold
98	looking like is similar to camouflaging as	nongold
99	increase means more	nongold
