Question	Plants on hills keep dirt in place during a rain storm. Plant roots grow into the dirt and keep the dirt from moving. Why do roots grow into the dirt?	question
Answer	to absorb nutrients	answer
0	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
1	a plant; living thing requires nutrients to grow	nongold
2	roots are a vehicle for absorbing water and nutrients from soil into the plant	gold
3	roots hold soil in place	nongold
4	dirt means soil	gold
5	a hill is a kind of place	nongold
6	soil contains nutrients for plants	gold
7	roots are a part of a plant; tree	nongold
8	a plant requires soil for survival; to grow	nongold
9	a plant is a kind of living thing	gold
10	hills are a kind of small mountain	nongold
11	green plants are a kind of producer	nongold
12	soil is usually part of an environment	nongold
13	all living things grow	nongold
14	a stem is often a part of plant	nongold
15	a plant is a kind of organism	nongold
16	rainstorm means rain storm	nongold
17	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
18	plants are a part of the environment	nongold
19	rain is a kind of precipitation	nongold
20	a mountain; hill is taller than the land around it	nongold
21	keeping means staying	nongold
22	a plant; living thing requires food for survival	nongold
23	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
24	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
25	wind carries; transports sand; dirt from one place to another place	nongold
26	a tree is a kind of plant	nongold
27	an animal; living thing requires nutrients for survival	gold
28	absorbing something harmful has a negative impact on a thing	nongold
29	a tree is a kind of living thing	nongold
30	wind and rain; storms cause erosion	nongold
31	vegetation means plants	nongold
32	if something absorbs something else then that something will contain that something else	nongold
33	a storm is a source of precipitation	nongold
34	storms;rain cause bodies of water to increase amount of water they contain	nongold
35	a plant's  roots slowly break down rocks as the roots grow	nongold
36	An example of stormy weather is rain	nongold
37	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
38	if a living thing requires something then that something has a positive impact on that living thing	nongold
39	harming something has a  negative impact on; effect on that something	nongold
40	take in means absorb	nongold
41	a root is a kind of object	nongold
42	taking in something means receiving; absorbing; getting something	nongold
43	crops; farming cause nutrients in the soil to decrease	nongold
44	a plant is a member of a plant species	nongold
45	rain is a kind of water	nongold
46	to keep something occurring means to cause that something to occur	nongold
47	a storm is usually a source of strong winds	nongold
48	requiring is similar to needing help	nongold
49	storm is a kind of weather; weather event	nongold
50	nutrients are a kind of substance	nongold
51	growing is a kind of process	nongold
52	fungi absorb nutrients from decaying tissue	nongold
53	helping something has a  positive impact on that something	nongold
54	organisms are a part of an environment	nongold
55	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
56	if something causes a process then that something is required for that process	nongold
57	a nutrient is a kind of object	nongold
58	soil is a kind of material	nongold
59	to be used for something means to be required by that something	nongold
60	if some nutrients are in the soil then those nutrients are in the food chain	nongold
61	an organism is a living thing	nongold
62	soil is made of solid particles	nongold
63	a hill is more rounded than a mountain	nongold
64	low quality soil has a small; a low number of nutrients	nongold
65	a mountain is taller than a hill	nongold
66	valley is located between mountains; hills	nongold
67	harming an environment causes harm to the living things; to the organisms in that environment	nongold
68	a producer is a kind of living thing	nongold
69	the ground is part of the Earth	nongold
70	growth means size;number;value;strength increases	nongold
71	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
72	a leaf is a part of a  green plant	nongold
73	rain is a source of water	nongold
74	a living thing is a kind of object	nongold
75	a plant requires photosynthesis to grow; survive	nongold
76	weeds use up nutrients	nongold
77	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
78	to provide something means to be the source of that something	nongold
79	an environment is a kind of place	nongold
80	rainfall means precipitation	nongold
81	nutrients are a kind of resource	nongold
82	rain causes erosion	nongold
83	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
84	an animal requires nutrients to grow and heal	nongold
85	the function of something is what that something  is used to do	nongold
86	a branch is a part of a tree	nongold
87	a cell absorbs nutrients	nongold
88	the top layer of soil contains the most nutrients	nongold
89	place is synonymous with location	nongold
90	roots anchor plants into the soil	gold
91	nutrients are a kind of material	nongold
92	to reduce means to decrease	nongold
93	special tissues in plants transport food; water; minerals throughout the plant	nongold
94	requiring something means needing that something	nongold
95	a food contains nutrients for living things	nongold
96	an animal needs to eat food for nutrients	nongold
97	life means living things	nongold
98	motion; movement means moving; to move	nongold
99	precipitation is when water falls from the sky	nongold
