Question	Which process will separate the sugar from a mixture of sugar and water?	question
Answer	Evaporating the water	answer
0	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
1	evaporation can be used for separating a mixture of a liquid and a solid	nongold
2	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
3	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	gold
4	sugar dissolves in water when they are combined	nongold
5	an mixture is formed by two or more substances combined together physically	nongold
6	In the solution sugar water , the solute is sugar	gold
7	a mixture of solids can be easily separated	nongold
8	a mixture is a kind of substance	nongold
9	sugar is a kind of pure substance	nongold
10	evaporation is a kind of process	nongold
11	a solution is a kind of mixture	gold
12	water is a kind of liquid at room temperature	nongold
13	In the solution sugar water , the solvent is water	gold
14	water is a kind of substance	nongold
15	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
16	if something is insoluble in something , then they will remain separated	nongold
17	sugar is a kind of solid	nongold
18	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
19	a liquid is a kind of substance	nongold
20	to add means to combine	nongold
21	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
22	heat means heat energy	nongold
23	sugar is a kind of food	nongold
24	an organism breaking down sugar is a source of carbon dioxide; water	nongold
25	table sugar is a kind of sugar	nongold
26	sugar water is a kind of solution	nongold
27	temperature is a measure of heat energy	nongold
28	combining; mixing two substances chemically causes chemical reactions	nongold
29	a solute can be dissolved in a solvent when they are combined	nongold
30	sugar is a kind of  simple carbohydrate	nongold
31	conduction is a kind of process	nongold
32	tea is a kind of solution of water and tea mix	nongold
33	heating means adding heat	nongold
34	mixture means solids combined together that maintain their physical properties	nongold
35	conductivity is a property of a material; substance	nongold
36	sugar is made of carbon, hydrogen, oxygen	nongold
37	to add means to increase	nongold
38	a solid is a kind of substance	nongold
39	to convert means to change	nongold
40	a solution is made of one substance dissolved in another substance	nongold
41	to be a combination of means to be made of	nongold
42	if something is dissolved , then that something is the solute	nongold
43	water is an thermal; thermal energy conductor	nongold
44	a solution is formed by one substance being dissolved in another substance	nongold
45	decomposing is similar to separating	nongold
46	carbohydrates are made of sugars	nongold
47	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
48	separate is similar to break down	nongold
49	solution is a kind of liquid	nongold
50	sugary means high in sugar	nongold
51	water contains dissolved oxygen	nongold
52	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
53	heating salt water causes the water to evaporate while the salt remains	nongold
54	moisture means liquid; liquid water	nongold
55	all elements are a kind of pure substance	nongold
56	ethanol is a kind of substance	nongold
57	a source of something emits; produces; generates; provides that something	nongold
58	food is a kind of substance	nongold
59	boiling is when liquids are heated above their boiling point	nongold
60	if something transfers something else then that something is a source of something else	nongold
61	alcohol is a kind of liquid	nongold
62	evaporation is a stage in the water cycle process	nongold
63	if heat is added to a substance then that substance absorbs that heat	nongold
64	if something emits something else then that something increases the amount of that something else	nongold
65	a mixture usually is made of objects with different physical properties	nongold
66	dough is a kind of mixture of sugar, butter, flour and salt	nongold
67	conversion is a kind of process	nongold
68	evaporation causes amount of water to decrease	nongold
69	material means substance	nongold
70	a producer is a source of sugar; food energy in an ecosystem	nongold
71	when two substances together form a compound then those substances cannot be physically separated	nongold
72	evaporating is a kind of phase change	nongold
73	if something causes a process then that something is required for that process	nongold
74	process is similar to method	nongold
75	a process is a kind of event	nongold
76	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
77	a source of heat can be used to heat something	nongold
78	a source of heat can be used to heat something	nongold
79	glucose is a kind of substance	nongold
80	dissolving is a kind of  mixing	nongold
81	evaporation is when water is drawn back up into the air in the water cycle	nongold
82	an object; material; substance comes from that object or material's source	nongold
83	water is a kind of matter	nongold
84	a part of a process means a stage in a process	nongold
85	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
86	absorbing energy causes objects; materials; substances to heat	nongold
87	pasteurization is a kind of process	nongold
88	to be made of something means to be formed of that something	nongold
89	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
90	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
91	soda water is a kind of carbonated beverage	nongold
92	to disperse means to separate	nongold
93	adding heat means increasing temperature	nongold
94	change is a kind of process	nongold
95	conductivity is a kind of physical property	nongold
96	In the solution salt water , the solvent is water	nongold
97	if something is made of something; a material then that something contains that something; that material	nongold
98	a powder mix is a kind of substance	nongold
99	an insulator is the opposite of a conductor	nongold
