Question	The magnitude of the gravitational force between two planets depends on the	question
Answer	distance between the planets.	answer
0	if something causes something else then that something else depends on that something	nongold
1	to be dependent on something means to depend on that something	nongold
2	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	gold
3	a planet is a kind of celestial object; body	nongold
4	gravity is a kind of force	nongold
5	as distance from an object decreases , the the pull of gravity on that object increases	nongold
6	a star is a kind of celestial object; celestial body	nongold
7	a planet is a kind of location	nongold
8	planets orbit stars	nongold
9	gravity causes orbits	nongold
10	to depend on; to rely on; to need means to require	nongold
11	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	gold
12	furthest; farthest means greatest; most; highest in distance	nongold
13	high is similar to increase	nongold
14	both means two	nongold
15	the Sun is a kind of star	nongold
16	an increase is a kind of change	nongold
17	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
18	planets have cleared their orbits	nongold
19	to measure means to calculate	nongold
20	greater means higher; more in value	nongold
21	as the distance from an object increases , the force of gravity on that object will decrease	nongold
22	to be affected by something is similar to depending on something	nongold
23	if a value decreases then that value may become; may reach zero; 0	nongold
24	astronomy is the study of celestial (objects, bodies)	nongold
25	the four planets farthest from the sun are made of gas	nongold
26	the four planets closest to the sun are made of rock	nongold
27	affected means changed	nongold
28	far means great in distance	nongold
29	extreme means very high in value	nongold
30	if two objects are apart from each other then matter is between those two objects	nongold
31	to add means to increase	nongold
32	variable means able to change	nongold
33	planets in the solar system orbit the Sun	nongold
34	gravitational fore is a kind of non-contact force	nongold
35	a planet is a kind of place	nongold
36	a galaxy is a kind of celestial body; celestial object	nongold
37	answering questions requires information	nongold
38	an increase is the opposite of a decrease	nongold
39	if a property affects a value then that property is needed to calculate that value	nongold
40	increase means more	nongold
41	closer means lower; less; a decrease in distance	nongold
42	all planets orbit the sun in the same direction	nongold
43	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
44	events occur at a specific place; at a specific time; with a specific frequency	nongold
45	an event is a kind of action	nongold
46	a star is usually larger than a planet	nongold
47	gravity pulls objects towards planets	nongold
48	Earth is a kind of planet	nongold
49	far is the opposite of close	nongold
50	the mass of a planet causes the pull of gravity on that planet	gold
51	astronomical unit is a measure of distance between Earth and the Sun	nongold
52	the sun is a kind of yellow dwarf	nongold
53	constant means not changing	nongold
54	a source of something emits; produces; generates; provides that something	nongold
55	low is similar to decrease	nongold
56	a motion is a kind of event; action	nongold
57	determining often requires measuring; observing	nongold
58	a dwarf planet is usually much smaller in size; in mass than other planets	nongold
59	a decrease is a kind of change	nongold
60	distance is a property of space and includes ordered values of close; far	nongold
61	to lower means to decrease	nongold
62	less is similar to decrease	nongold
63	a factor impacts something	nongold
64	matter; materials; substances are made of atoms; particles	nongold
65	close means low in distance	nongold
66	the mass of an object causes the gravitational force exerted by that object	nongold
67	gravitational potential energy is a kind of potential energy	nongold
68	can be means able to be	nongold
69	higher means greater; above in value; amount; number	nongold
70	gravitational potential energy is a measure of the product of weight and height	nongold
71	as distance from a source of something increases , that something will decrease	nongold
72	Uranus is a kind of planet	nongold
73	something that happens is a kind of event	nongold
74	objects are made of materials; substances; matter	nongold
75	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
76	calculation means measurement	nongold
77	an part of an object is smaller than the entire object	nongold
78	astronomical body means celestial body	nongold
79	proximity means distance	nongold
80	force requires energy	nongold
81	a particle is a kind of object	nongold
82	a galaxy contains dust; stars; planets	nongold
83	to reduce means to decrease	nongold
84	a pull is a kind of force	nongold
85	if something emits something else then that something increases the amount of that something else	nongold
86	a force is a kind of push or pull on an object	nongold
87	definite is the opposite of variable	nongold
88	distant means great in distance	nongold
89	strong means high in strength	nongold
90	force causes the speed of an object to increase; to decrease	nongold
91	planets reflect the light of the sun	nongold
92	less is the opposite of more	nongold
93	motion is when moves an object; something to a direction	nongold
94	Mars is a kind of planet	nongold
95	Pluto is a kind of dwarf planet	nongold
96	larger means greater; higher; more; increase in size	nongold
97	a  solution  is a kind of object	nongold
98	particles in objects are a kind of matter	nongold
99	to change means to cause a change	nongold
