Question	Which characteristic is found ONLY in mammals?	question
Answer	glands that make milk	answer
0	glands that make milk are parts of only a mammal	gold
1	to be found in means to be contained in	nongold
2	found in means existing in	nongold
3	feature is synonymous with characteristic	nongold
4	if something is a part of something then that something can be found in that something	gold
5	trait is synonymous with characteristic	nongold
6	make means produce	nongold
7	characteristic means property	nongold
8	milk is a kind of food	nongold
9	milk is a kind of food	nongold
10	what an object is made of is a kind of characteristic	nongold
11	an inherited characteristic is a kind of characteristic	nongold
12	a mammal is a kind of animal	nongold
13	a part of something means a characteristic of something	gold
14	an animal is a kind of living thing	nongold
15	an animal is a kind of organism	nongold
16	an organism is a living thing	nongold
17	aspect of something is similar to part of something	nongold
18	trait means property	nongold
19	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
20	a property of something is a feature of that something	nongold
21	contains means located in	nongold
22	if something is located  in somewhere , then something can be found in somewhere	nongold
23	a human is a kind of mammal	nongold
24	to cause means to make	nongold
25	dairy is a kind of food	nongold
26	a part of something is present in that something	nongold
27	reproductive behavior is an inherited characteristic	nongold
28	a living thing is a kind of object	nongold
29	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
30	species is an inherited characteristic	nongold
31	a behavior is a kind of characteristic	nongold
32	made up of means contains; made of	nongold
33	made of is similar to contains	nongold
34	unique  is the opposite of diverse	nongold
35	a structure is a kind of feature	nongold
36	an adaptation is a kind of characteristic	nongold
37	a human is a kind of animal	nongold
38	to make means to form	nongold
39	a source of something emits; produces; generates; provides that something	nongold
40	if something is a part of something else then that something else contains that something	nongold
41	production is similar to making	nongold
42	classifying is when one sorts something by kind; type	nongold
43	dairy is a source of Vitamin D	nongold
44	a function is a kind of characteristic	nongold
45	if something is made of something; a material then that something contains that something; that material	nongold
46	to contain means to have inside	nongold
47	mammals is a kind of class	nongold
48	a producer is a kind of living thing	nongold
49	to be made of something means to be formed of that something	nongold
50	to be formed by is similar to being produced by	nongold
51	a plant is a kind of organism	nongold
52	products are formed; are produced; are created	nongold
53	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
54	animals taste flavors	nongold
55	if something is located in some place , then the presence of that something can be found in that location	nongold
56	sense is a kind of characteristic of an animal	nongold
57	fur is usually part of a mammal	nongold
58	milk is a kind of liquid at room temperature	nongold
59	food is a kind of substance	nongold
60	organisms can be found in their habitats	nongold
61	a food contains nutrients for living things	nongold
62	a cat is a kind of mammal	nongold
63	a plant is a kind of living thing	nongold
64	developing means making	nongold
65	composed of means made of	nongold
66	emit means produce	nongold
67	organisms are a part of an environment	nongold
68	if something is a source of something else then that something usually contains that something else	nongold
69	if something is made by something else then that something is affected by that something else	nongold
70	provide is similar to give; make	nongold
71	synthesis means to make	nongold
72	mammals birth; give birth to live young	nongold
73	creating means making	nongold
74	the body is a part of an organism	nongold
75	providing something means making;delivering something	nongold
76	a body system is a part of the body; an animal	nongold
77	an animal; living thing requires nutrients for survival	nongold
78	producing is similar to causing	nongold
79	green plants are a kind of producer	nongold
80	the color of; coloration of fur is an inherited characteristic	nongold
81	internal organs are a part of the body	nongold
82	animals are a part of the biological kingdom Animalia	nongold
83	form means kind	nongold
84	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
85	a kind of something is an example of that something	nongold
86	to be characterized by  a property means to have that property	nongold
87	food is what an animal eats	nongold
88	a monkey is a kind of mammal	nongold
89	an animal is a kind of consumer	nongold
90	smell is used for  finding food by some animals	nongold
91	smell is a property of an object; a material; a substance	nongold
92	sweet is a kind of flavor	nongold
93	a type is synonymous with a kind	nongold
94	aspect is similar to property	nongold
95	if something causes an increase in something else then that something produces that something else	nongold
96	converting is similar to producing	nongold
97	to be made of means to consist of	nongold
98	human is a kind of organism	nongold
99	RNA are found in the nucleus of the cell	nongold
