Question	Most stars are similar to each other in	question
Answer	composition.	answer
0	stars generally have the same chemical composition	gold
1	most means over 50% of something	nongold
2	a star is a kind of celestial object; celestial body	nongold
3	composition means the (materials, substances) of which something is composed	nongold
4	composition is a property of an object; matter	nongold
5	if two objects are similar , then the two objects share properties	nongold
6	if something is copied then that something will be the same; similar; identical	nongold
7	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
8	chemical composition is a kind of property	nongold
9	stars can be classified by temperature; color; chemical composition; brightness	nongold
10	in common is similar to the same	nongold
11	composition is a kind of information	nongold
12	classifying is when one sorts something by kind; type	nongold
13	to be made of means to consist of	nongold
14	different is the opposite of the same	nongold
15	similarity means the same property	nongold
16	to change means to become different	nongold
17	if something changes , then that something is not the same	nongold
18	usually means most of the time	nongold
19	to tell the difference between things means to classify those things	nongold
20	not is similar to the opposite of	nongold
21	classifying means grouping objects; materials by their properties	nongold
22	a type of something is a kind of property of that something	nongold
23	the  property of something is the same for the things of same kind	nongold
24	to be made of something means to be formed of that something	nongold
25	similar means in common	nongold
26	identical is the opposite of different	nongold
27	material composition is a kind of chemical property	nongold
28	mostly means being the most	nongold
29	each is similar to individual	nongold
30	stellar means related to stars	nongold
31	to categorize means to classify	nongold
32	a galaxy is made of stars	nongold
33	a star is a source of light; light energy through nuclear reactions	nongold
34	unique  is the opposite of diverse	nongold
35	a type is synonymous with a kind	nongold
36	the Sun is a kind of star	nongold
37	same means identical; equal in value; amount; number; quantity	nongold
38	identical means copy	nongold
39	main-sequences stars are a kind of star	nongold
40	composed of means made of	nongold
41	if something has no impact on something else then that something else stays the same	nongold
42	if two things are made from the same objects; material then those two things are similar	nongold
43	a star produces light and heat	nongold
44	greatest means largest; highest; most amount of something	nongold
45	a star is made of gases	nongold
46	stay the same means not changing	nongold
47	main-sequence stars are generally yellow	nongold
48	a white dwarf is a kind of star	nongold
49	a star's type is determined by the star's mass	nongold
50	the parts of something make up that something	nongold
51	to belong to a group means to be classified in that group	nongold
52	classify is similar to characterize	nongold
53	classifying requires comparing	nongold
54	made up of means contains; made of	nongold
55	the composition of something can be used to identify that something	nongold
56	a yellow dwarf is a kind of main-sequence star	nongold
57	resemble means similar characteristics	nongold
58	apart is the opposite of together	nongold
59	opposite is a kind of different	nongold
60	stars are located light years apart from each other	nongold
61	to remain means to stay the same	nongold
62	to be characterized by  a property means to have that property	nongold
63	category means kind	nongold
64	furthest; farthest means greatest; most; highest in distance	nongold
65	a planet is a kind of celestial object; body	nongold
66	to match means to be the same	nongold
67	a cluster of stars is made of stars	nongold
68	to distinguish means to tell the difference between	nongold
69	a structure of something is synonymous with a part of that something	nongold
70	a galaxy is a kind of very large system of stars	nongold
71	to belong to a class means to be a kind of something	nongold
72	if something is made of something else then that something can be broken down into that something else	nongold
73	to vary means to differ	nongold
74	to belong to a group means to be a kind of something	nongold
75	if something is a part of something else then that something else contains that something	nongold
76	to be made of is similar to collection	nongold
77	Alpha Mensae is a kind of main-sequence star	nongold
78	if something is a source of something else then that something usually contains that something else	nongold
79	the properties of something are used for describing that something	nongold
80	system is similar to structure	nongold
81	Proxima Centauri is a kind of star	nongold
82	a moon is a kind of celestial object; body	nongold
83	made of is similar to contains	nongold
84	a whole is formed by its parts	nongold
85	yellow dwarf is a kind of small star	nongold
86	a galaxy contains dust; stars; planets	nongold
87	the sun is a kind of yellow dwarf	nongold
88	a source of something emits; produces; generates; provides that something	nongold
89	to classify means to decide what class something belongs to	nongold
90	a kind of something is an example of that something	nongold
91	a galaxy is a kind of celestial body; celestial object	nongold
92	stars change type during their life cycles	nongold
93	changed is the opposite of unchanged	nongold
94	another means different	nongold
95	a star is very hot in temperature	nongold
96	can be means able to be	nongold
97	a typical galaxy contains billions of stars	nongold
98	to group means to separate	nongold
99	a piece is a part of a whole	nongold
