Question	Which of the following allows the planets to stay in orbit?	question
Answer	the Sun's gravity	answer
0	to be used for is similar to allowing	nongold
1	staying means not changing	nongold
2	keeping means staying	nongold
3	to remain means to stay where it is	nongold
4	the Sun is a kind of star	gold
5	gravity causes orbits	gold
6	revolving  around something means orbiting that something	nongold
7	planets orbit stars	gold
8	if something is required for something else then that something allows that something else	nongold
9	a vehicle for something allows; enables that something to occur	nongold
10	causing is similar to allowing	gold
11	a planet is a kind of celestial object; body	nongold
12	the Earth revolves around the sun	nongold
13	to enable means to allow	nongold
14	a star is a kind of celestial object; celestial body	nongold
15	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
16	to stay means to continue to exist	nongold
17	to remain means to not change	nongold
18	planets have cleared their orbits	nongold
19	the sun is a kind of yellow dwarf	nongold
20	a revolution occurs when something revolves around something else	nongold
21	revolving is a kind of motion	nongold
22	planets in the solar system orbit the Sun	nongold
23	a planet completes one orbit around its star over a period of one planetary year	nongold
24	live is similar to stay	nongold
25	all planets orbit the sun in the same direction	nongold
26	a source of something emits; produces; generates; provides that something	nongold
27	to be used for something means to be required by that something	nongold
28	stay the same means not changing	nongold
29	high is similar to increase	nongold
30	orbiting is a kind of action	nongold
31	a star is a source of light; light energy through nuclear reactions	nongold
32	orbit means orbital path	nongold
33	astronomy is the study of celestial (objects, bodies)	nongold
34	to add means to increase	nongold
35	the sun is a source of light; light energy called sunlight	nongold
36	allowing is a kind of controlling	nongold
37	not allowed to means can not	nongold
38	a star produces light and heat	nongold
39	to remain means to stay the same	nongold
40	can be means able to be	nongold
41	requiring is similar to needing help	nongold
42	a star is usually larger than a planet	nongold
43	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
44	answering questions requires information	nongold
45	the sun  is the source of energy for physical cycles on Earth	nongold
46	helping something has a  positive impact on that something	nongold
47	to depend on; to rely on; to need means to require	nongold
48	a motion is a kind of event; action	nongold
49	provide is similar to give; make	nongold
50	orbit is a kind of characteristic	nongold
51	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
52	to slow; to slow down decreases speed	nongold
53	to change means to have an effect	nongold
54	Mars is a kind of planet	nongold
55	the sun is a source of radiation; heat called sunlight	nongold
56	to help; to benefit means to be of use	nongold
57	if something causes a process then that something is required for that process	nongold
58	moons orbit planets	nongold
59	requiring something means needing that something	nongold
60	form means kind	nongold
61	to maintain means to not change	nongold
62	variable means able to change	nongold
63	revolving is a kind of action	nongold
64	low is similar to decrease	nongold
65	a type is synonymous with a kind	nongold
66	a star requires energy	nongold
67	solution is similar to a positive impact	nongold
68	affected means changed	nongold
69	to keep something occurring means to cause that something to occur	nongold
70	an orbit is a kind of regular path	nongold
71	extreme means very high in value	nongold
72	to convert means to change	nongold
73	the Sun is the  star that is closest to Earth	nongold
74	events occur at a specific place; at a specific time; with a specific frequency	nongold
75	to serve as means to be used as	nongold
76	greatest means largest; highest; most amount of something	nongold
77	to emit means to release	nongold
78	to give is similar to to cause	nongold
79	composed of means made of	nongold
80	approximately means about	nongold
81	to turn means to change	nongold
82	objects are made of materials; substances; matter	nongold
83	solar energy is a kind of energy	nongold
84	motionless means staying in the same place	nongold
85	to lower means to decrease	nongold
86	a  solution  is a kind of object	nongold
87	a component of something means a part of that something	nongold
88	an increase is the opposite of a decrease	nongold
89	if something has no impact on something else then that something else stays the same	nongold
90	Earth is a kind of planet	nongold
91	a planet rotating causes cycles of day and night on that planet	nongold
92	best means most positive	nongold
93	to enable is similar to cause	nongold
94	a planet is exposed to the heat of the star around which it revolves	nongold
95	warm means medium heat energy; temperature	nongold
96	if something has the ability to do something else , then that something can do that something else	nongold
97	a component means a part of	nongold
98	a living thing is a kind of object	nongold
99	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
