Question	When the Northern Hemisphere is tilted toward the Sun, what season is occurring in Australia?	question
Answer	winter	answer
0	summer is when a hemisphere is tilted towards the sun	gold
1	winter is when a hemisphere is tilted away from the sun	nongold
2	winter is a kind of season	gold
3	summer is a kind of season	nongold
4	Australia is located in the southern hemisphere	gold
5	winter is a part of the year	nongold
6	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
7	winter in the Northern Hemisphere is during the summer in the Southern Hemisphere	nongold
8	the Southern Hemisphere is a kind of hemisphere of Earth	nongold
9	the Northern Hemisphere is a kind of hemisphere of Earth	gold
10	winter is the opposite of summer	nongold
11	winter in the Southern Hemisphere is during the summer in the Nouthern Hemisphere	gold
12	the Earth being tilted on its rotating axis causes seasons	nongold
13	winter in a hemisphere occurs when the Pole located in that hemisphere is tilted away from the Sun	nongold
14	Autumn is a kind of season	nongold
15	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
16	winter means environmental; outdoor temperature decreases	nongold
17	spring is a kind of season	nongold
18	a hemisphere is a part of Earth	nongold
19	season is a major yearly temperature change	nongold
20	the Southern Hemisphere is located south of the Northern Hemisphere	nongold
21	every summer  is a kind of period of time	nongold
22	to happen means to occur	nongold
23	Austria is located in the northern hemisphere	nongold
24	winter has cold temperatures;weather	nongold
25	events occur at a specific place; at a specific time; with a specific frequency	nongold
26	summer has hot temperatures; weather	nongold
27	a hemisphere is a kind of place	nongold
28	the Western Hemisphere is a kind of hemisphere of Earth	nongold
29	seasons cause change to the environment	nongold
30	each season occurs once per year	nongold
31	spring has warm temperatures; weather	nongold
32	high is similar to increase	nongold
33	the Eastern Hemisphere is a kind of hemisphere of Earth	nongold
34	August is during the winter in the southern hemisphere	nongold
35	different seasons occur during different times of the year	nongold
36	spring follows winter	nongold
37	annual means once per year	nongold
38	north is the opposite of south	nongold
39	January is during the winter in the northern hemisphere	nongold
40	toward is the opposite of away	nongold
41	summer follows spring	nongold
42	winter follows fall	nongold
43	an increase is a kind of change	nongold
44	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
45	Earth orbiting the Sun causes seasons to change	nongold
46	South America is a kind of continent	nongold
47	fall is a kind of season	nongold
48	a change is a kind of event	nongold
49	motion is when moves an object; something to a direction	nongold
50	to add means to increase	nongold
51	something that happens is a kind of event	nongold
52	toward is a kind of direction	nongold
53	the Sun is a kind of star	nongold
54	a continent is a kind of location	nongold
55	affected means changed	nongold
56	June is during the summer in the northern hemisphere	nongold
57	temperature is a property of weather	nongold
58	June is during the winter in the southern hemisphere	nongold
59	weather changes from seasons to seasons	nongold
60	to pass means to occur	nongold
61	Antarctica is located in the southern hemisphere	nongold
62	event is similar to occurrence	nongold
63	to turn means to change	nongold
64	An example of a seasonal change; adaptation is plants dying;  becoming dormant in the winter	nongold
65	South Africa is located in the southern hemisphere	nongold
66	South Africa is located in the southern hemisphere	nongold
67	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
68	to vary means to change	nongold
69	the winter solstice is on June 21st in the southern hemisphere	nongold
70	months are a kind of unit for measuring time	nongold
71	answering questions requires information	nongold
72	a type is synonymous with a kind	nongold
73	the summer solstice is on June 21st in the northern hemisphere	nongold
74	colder; cooler means lower in temperature	nongold
75	December is during the winter in the northern hemisphere	nongold
76	snow falls during the winter in some environments	nongold
77	New South Wales is a state located in Australia	nongold
78	Antarctica is extremely cold in temperature	nongold
79	Heard Island and McDonald Islands (Australia) is located in the southern hemisphere	nongold
80	fall means autumn	nongold
81	a cycle happens; occurs repeatedly	nongold
82	seasonal changes are made in response to changes in the environment	nongold
83	cooler means colder	nongold
84	north; northward is a kind of direction	nongold
85	Ashmore and Cartier Islands (Australia) is located in the southern hemisphere	nongold
86	yearly means every year	nongold
87	a motion is a kind of event; action	nongold
88	cold means low in temperature	nongold
89	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
90	low is similar to decrease	nongold
91	August is a kind of month	nongold
92	years are a kind of unit for measuring time	nongold
93	towards means closer to something	nongold
94	phase means state	nongold
95	North America is located in the Northern Hemisphere	nongold
96	an increase is the opposite of a decrease	nongold
97	warmer means greater; higher in temperature; warmth	nongold
98	a process is a kind of event	nongold
99	the sun setting is a kind of event	nongold
