Question	Which of the following best describes a change in Earth's atmosphere made by early photosynthetic life?	question
Answer	increased level of oxygen	answer
0	early photosynthetic life increases the  oxygen level in Earth's atmosphere	gold
1	to add means to increase	nongold
2	an increase is a kind of change	gold
3	an increase is the opposite of a decrease	nongold
4	photosynthesis is a source of oxygen	gold
5	a decrease is a kind of change	nongold
6	oxygen is a kind of gas at room temperature	nongold
7	the photosynthetic life performs photosynthesis	gold
8	level is similar to amount; quantity	nongold
9	increase means more	nongold
10	Earth is a kind of planet	nongold
11	high is similar to increase	nongold
12	plants are a source of oxygen through photosynthesis	nongold
13	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
14	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
15	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
16	oxygenated means having oxygen	nongold
17	releasing something into the atmosphere increases the amount of that something in the atmosphere	nongold
18	low is similar to decrease	nongold
19	atmospheric means of the atmosphere	nongold
20	atmosphere means  air	nongold
21	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
22	an animal; bacterium requires oxygen for survival; to breathe	nongold
23	the properties of something are used for describing that something	nongold
24	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
25	a source of something increases the amount of that something	nongold
26	less is similar to decrease	nongold
27	hydrogen is a kind of gas at room temperature	nongold
28	to reduce means to decrease	nongold
29	to lower means to decrease	nongold
30	photosynthesis is a kind of chemical  process	nongold
31	life means living things	nongold
32	photosynthesizing means performing photosynthesis	nongold
33	as the amount of a source of something decreases , the amount of that something will decrease	nongold
34	Earth has air	nongold
35	as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet; the atmosphere will increase	nongold
36	photosynthesis stores; captures energy	nongold
37	if something emits something else then that something increases the amount of that something else	nongold
38	heat means temperature increases	nongold
39	if something causes an increase in something else then that something produces that something else	nongold
40	variable means able to change	nongold
41	to change means to cause a change	nongold
42	air is a part of the environment	nongold
43	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
44	absorbing something from the air decreases the  amount of  that something in the air	nongold
45	air is a kind of gas	nongold
46	In the photosynthesis process oxygen has the role of  waste product	nongold
47	when carbon dioxide in the atmosphere is absorbed by plants , the amount of carbon dioxide in the atmosphere is reduced in the atmosphere	nongold
48	organisms mean life	nongold
49	to breathe in means to absorb air	nongold
50	adding heat means increasing temperature	nongold
51	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
52	oxygen rich means a high amount of oxygen	nongold
53	oxygen gas is made of only  oxygen element	nongold
54	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
55	oxygen  is a kind of element	nongold
56	the Earth's atmosphere is made of 78 percent nitrogen by mass	nongold
57	affected means changed	nongold
58	as the population of plants decreases , carbon in the atmosphere will increase	nongold
59	a source of something emits; produces; generates; provides that something	nongold
60	water is made of hydrogen and oxygen	nongold
61	increasing is a kind of order	nongold
62	gas is a kind of substance	nongold
63	a change is a kind of event	nongold
64	heat means heat energy	nongold
65	photosynthesis is a kind of chemical reaction	nongold
66	as the cause of something decreases , that something will decrease	nongold
67	gaseous means of gas	nongold
68	the emission of something is when something is added into the atmosphere	nongold
69	deplete is similar to decrease	nongold
70	to cause means to make	nongold
71	oxygen has a positive impact on air quality	nongold
72	the air is a kind of substance	nongold
73	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
74	greater means higher; more in value	nongold
75	if there is a loss of something then that something decreases	nongold
76	the atmosphere contains gases; liquids; solids	nongold
77	carbon dioxide can be found in the air	nongold
78	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
79	too much is similar to increase	nongold
80	carbon dioxide is a kind of gas	nongold
81	a process is a kind of event	nongold
82	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
83	as atmospheric temperature increases , the amount of water vapor able to be held by the atmosphere will increase	nongold
84	a part of a process means a stage in a process	nongold
85	saturation of oxygen means oxidized	nongold
86	change is a kind of process	nongold
87	the Earth's atmosphere is made of 1.288 percent argon by mass	nongold
88	oxygen is more common than hydrogen on Earth	nongold
89	less is the opposite of more	nongold
90	absorbing something from the air means removing that something from Earth's atmosphere	nongold
91	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
92	a  gas is a kind of  element	nongold
93	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
94	faster means an increase; higher in speed	nongold
95	can be means able to be	nongold
96	if something causes a process then that something is required for that process	nongold
97	hydrogen is a kind of element	nongold
98	air is a kind of matter	nongold
99	to be used for something means to be required by that something	nongold
