Question	Which of the following properties of a substance is conserved during thermal expansion?	question
Answer	mass	answer
0	thermal expansion is a property of matter and includes ordered values of high; low	nongold
1	increasing heat causes thermal expansion	gold
2	thermal expansion is a kind of physical property	nongold
3	expand is a kind of change	nongold
4	expand is a kind of change in volume	nongold
5	mass is a property of objects; matter	gold
6	mass; weight is a property of matter; objects; materials	nongold
7	temperature is a measure of heat energy	gold
8	expand means increase in volume	nongold
9	heat energy is synonymous with thermal energy	nongold
10	temperature changing does not cause mass to change	gold
11	matter; energy is always conserved in any physical or chemical process	nongold
12	an increase is a kind of change	gold
13	heat means heat energy	gold
14	structure is a property of an object; a material; a substance	nongold
15	mass; weight is an extensive property	nongold
16	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
17	heat means temperature increases	nongold
18	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
19	substances are made of matter	gold
20	a type of something is a kind of property of that something	nongold
21	matter; materials; substances are made of atoms; particles	nongold
22	objects are made of materials; substances; matter	gold
23	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
24	thermal energy is a kind of energy	nongold
25	heating means adding heat	nongold
26	temperature is an intensive property	nongold
27	an object has properties	nongold
28	a decrease is a kind of change	nongold
29	weight is a property of objects; matter	nongold
30	material means substance	nongold
31	materials are made of matter	nongold
32	as amount; size of something increases , the intensive properties of that something will not change	nongold
33	high is similar to increase	nongold
34	to add means to increase	nongold
35	if  a  material is heated , then the  material will expand	nongold
36	to conserve means to not change	gold
37	an increase is the opposite of a decrease	nongold
38	volume is a property of matter	nongold
39	if the volume of a substance; of a matter expands while the mass remains the same , then the molecules in that substance; matter move farther apart	nongold
40	particles in objects are a kind of matter	nongold
41	if gas is heated then that gas will expand; rise	nongold
42	as the temperature of something increases , the intensive properties of that something will not change	nongold
43	adding heat means increasing temperature	nongold
44	the effects of something is a property of that something	nongold
45	expand means increase in size	nongold
46	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
47	affected means changed	nongold
48	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
49	can be means able to be	nongold
50	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
51	mass is a kind of physical property	nongold
52	density is a measure of mass of an object over volume; divided by volume	nongold
53	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
54	water expanding when it freezes is a physical property of water	nongold
55	water is a kind of matter	nongold
56	compress is the opposite of expand	nongold
57	heat is a kind of energy	nongold
58	absorbing energy causes objects; materials; substances to heat	nongold
59	as the amount; size of something increases , the extensive properties of that something will increase	nongold
60	hot means high in heat energy; temperature	nongold
61	a liquid is a kind of substance	nongold
62	as the amount of heat energy of a substance; of an object increases , the amount of kinetic energy will increase	nongold
63	variable means able to change	nongold
64	as state of matter changes , mass will not change	nongold
65	liquids expand more than solids when heated	nongold
66	density is an intensive property	nongold
67	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
68	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
69	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
70	temperature is a measure of kinetic energy of molecules	nongold
71	gas is a kind of substance	nongold
72	a solid is a kind of substance	nongold
73	if an object is made of a material then that object has the properties of that material	nongold
74	mass is a measure of the amount of matter in an object	nongold
75	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
76	gas is a kind of material	nongold
77	weight is a kind of property	nongold
78	mass is similar to size	nongold
79	volume is an extensive property	nongold
80	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
81	form means kind	nongold
82	what something needs is a property of that something	nongold
83	a container contains objects; material; substances	nongold
84	water is a kind of substance	nongold
85	if something is given , then that something is not missing	nongold
86	phase changes do not change mass	nongold
87	composition is a property of an object; matter	nongold
88	water is an thermal; thermal energy conductor	nongold
89	to lower means to decrease	nongold
90	low is similar to decrease	nongold
91	a property of something is a feature of that something	nongold
92	constant means not changing	nongold
93	heat energy can change the state of matter	nongold
94	expand means spread out	nongold
95	a  chemical property is a kind of  property	nongold
96	heat means the transfer of thermal energy	nongold
97	less is similar to decrease	nongold
98	size is an extensive property	nongold
99	density is a kind of physical property	nongold
