Question	Which of the following keeps the planets in our solar system in orbit around the Sun?	question
Answer	gravitational force	answer
0	to keep something occurring means to cause that something to occur	gold
1	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	gold
2	planets orbit stars	gold
3	planets in the solar system orbit the Sun	gold
4	to keep a process or event happening is similar to causing that process or event to happen	nongold
5	revolving  around something means orbiting that something	nongold
6	a planet is a kind of celestial object; body	nongold
7	gravity is a kind of force	nongold
8	keeping means staying	nongold
9	orbiting is a kind of action	nongold
10	moons orbit planets	nongold
11	the Sun is a kind of star	gold
12	the Earth revolves around the sun	nongold
13	gravity causes orbits	gold
14	orbit means orbital path	nongold
15	Earth is a kind of planet	nongold
16	a star is a kind of celestial object; celestial body	nongold
17	a planet completes one orbit around its star over a period of one planetary year	nongold
18	Celestial bodies move in orbits in space around other celestial bodies	nongold
19	to maintain means to not change	nongold
20	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
21	if an object escapes the gravitational pull of a planet then that object is no longer affected by the gravitational pull of that planet	nongold
22	the solar system is a kind of system	nongold
23	gravitational fore is a kind of non-contact force	nongold
24	force requires energy	nongold
25	the solar system contains eight planets	nongold
26	the sun is the strongest source of gravity in the solar system	nongold
27	to keep something from happening means to prevent that something	nongold
28	a pull is a kind of force	nongold
29	an event is a kind of action	nongold
30	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
31	planets have cleared their orbits	nongold
32	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
33	the mass of a planet causes the pull of gravity on that planet	nongold
34	a force is a kind of push or pull on an object	nongold
35	gravity pulls objects towards planets	nongold
36	the moon orbits the Earth	nongold
37	if something is required for a process then keeping that something from reaching that process can stop that process	nongold
38	a satellite orbits a planet	nongold
39	a motion is a kind of event; action	nongold
40	to stay means to continue to exist	nongold
41	orbit is a kind of characteristic	nongold
42	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
43	keeping is similar to storing	nongold
44	high is similar to increase	nongold
45	system means a set of objects	nongold
46	inhibitor means something that prevents something from happening	nongold
47	revolving is a kind of motion	nongold
48	to remain means to stay where it is	nongold
49	a process is a kind of event	nongold
50	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
51	a planet is a kind of location	nongold
52	a planet is exposed to the heat of the star around which it revolves	nongold
53	extreme means very high in value	nongold
54	Neptune is a kind of planet in the solar system	nongold
55	something that happens is a kind of event	nongold
56	intense means extreme	nongold
57	a magnetic field is a kind of force	nongold
58	revolving is a kind of action	nongold
59	our Sun is located at the center of our solar system	nongold
60	the mass of an object causes the gravitational force exerted by that object	nongold
61	magnetism is a kind of force	nongold
62	a component of something means a part of that something	nongold
63	to cause an event is similar to being involved in that event	nongold
64	a component means a part of	nongold
65	an increase is a kind of change	nongold
66	a planet is a kind of place	nongold
67	can be means able to be	nongold
68	pulling is a kind of motion	nongold
69	events occur at a specific place; at a specific time; with a specific frequency	nongold
70	to give is similar to to cause	nongold
71	additional force is similar to outside force	nongold
72	to cause is similar to bring	nongold
73	a factor impacts something	nongold
74	the sun setting is a kind of event	nongold
75	increase means more	nongold
76	variable means able to change	nongold
77	all planets orbit the sun in the same direction	nongold
78	moons; comets; planets are part of the solar system	nongold
79	an increase is the opposite of a decrease	nongold
80	to give off means to be the source of	nongold
81	staying means not changing	nongold
82	the lowest gravitational pull is during a quarter moon	nongold
83	to remain means to not change	nongold
84	maintain is similar to control	nongold
85	a restriction can be used to limit something; keep something low	nongold
86	to depend on; to rely on; to need means to require	nongold
87	force causes the speed of an object to increase; to decrease	nongold
88	Uranus is a kind of planet	nongold
89	the sun is  the largest celestial body in our solar system	nongold
90	a moon is a kind of celestial object; body	nongold
91	both means two	nongold
92	a change is a kind of event	nongold
93	not is similar to the opposite of	nongold
94	causing means influencing	nongold
95	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
96	a type is synonymous with a kind	nongold
97	to happen means to occur	nongold
98	movements of celestial bodies are a kind of event	nongold
99	Mars is a kind of planet	nongold
