Question	In which layer of the Sun does nuclear fusion occur?	question
Answer	core	answer
0	nuclear fusion occurs in the sun's core	nongold
1	the core is a kind of layer of the sun	gold
2	the inner core is a layer of the Earth	nongold
3	the  outer core is a layer of the Earth	nongold
4	nucleus is synonymous with core; center	nongold
5	nuclear fusion in a star's core generates energy for the star to (burn, shine)	gold
6	to happen means to occur	nongold
7	the inner core is the most dense layer of Earth	nongold
8	nuclear fusion causes star formation	nongold
9	the outer core is the layer that is closest to  the center of the earth	nongold
10	nuclear fusion is a kind of nuclear reaction	nongold
11	the Sun is a kind of star	gold
12	lithosphere is a  layer of the Earth	nongold
13	the inner core is located in the center of the earth	nongold
14	nuclear fusion is a kind of process	nongold
15	nuclear fusion is a kind of process	nongold
16	a layer of the atmosphere is similar to a region of the atmosphere	nongold
17	nuclear reactions in stars causes stars to produce light; energy; nuclear energy	nongold
18	the sun is made of hydrogen and helium	nongold
19	the mantle is a layer of the Earth	nongold
20	asthenosphere is a layer of the Earth	nongold
21	a structure of something is synonymous with a part of that something	nongold
22	Earth is a kind of planet	nongold
23	sunlight is a kind of light	nongold
24	nuclear fusion is when atomic nuclei of low atomic number fuse	nongold
25	sunlight is a kind of solar energy	nongold
26	nuclear fusion is a source of energy	nongold
27	sunlight means solar energy	nongold
28	nuclear fusion converts hydrogen into helium	nongold
29	a star is a source of light; light energy through nuclear reactions	nongold
30	events occur at a specific place; at a specific time; with a specific frequency	nongold
31	Earth's atmosphere has different layers	nongold
32	a cycle happens; occurs repeatedly	nongold
33	the sun is a kind of yellow dwarf	nongold
34	protons and neutrons are formed during nuclear fusion	nongold
35	thermosphere is a  layer of Earth's atmosphere	nongold
36	a process is a kind of event	nongold
37	an event is a kind of action	nongold
38	to pass means to occur	nongold
39	products are formed; are produced; are created	nongold
40	sunlight produces heat	nongold
41	the sun is the source of solar energy called sunlight	nongold
42	sunshine means sunlight	nongold
43	a moon is a kind of celestial object; body	nongold
44	the crust is a layer of the Earth	nongold
45	nuclear energy is a kind of energy	nongold
46	our Sun is located at the center of our solar system	nongold
47	something that happens is a kind of event	nongold
48	a part of a process means a stage in a process	nongold
49	a star is a kind of celestial object; celestial body	nongold
50	to produce means to result in	nongold
51	to be made of something means to be formed of that something	nongold
52	the photosphere is a kind of region of the sun	nongold
53	a component of something means a part of that something	nongold
54	state means form	nongold
55	to be made of means to consist of	nongold
56	a phase of the moon is a kind of state	nongold
57	the Earth revolves around the sun	nongold
58	the sun is a source of radiation; heat called sunlight	nongold
59	a change is a kind of event	nongold
60	event is similar to occurrence	nongold
61	if something is insoluble in something , then they will remain separated	nongold
62	if something releases something else then that something is the source of that something else	nongold
63	a source of something emits; produces; generates; provides that something	nongold
64	made up of means contains; made of	nongold
65	can be means able to be	nongold
66	to be formed by is similar to being produced by	nongold
67	a whole is formed by its parts	nongold
68	take place means happen	nongold
69	the sun setting is a kind of event	nongold
70	contains means located in	nongold
71	composed of means made of	nongold
72	to contain means to have inside	nongold
73	a planet is a kind of celestial object; body	nongold
74	nuclear reactor generates electrical power	nongold
75	emit means produce	nongold
76	the mantle is the thickest; largest layer of the Earth	nongold
77	occur is similar to appear	nongold
78	to add means to combine	nongold
79	the solar system contains the moon	nongold
80	a motion is a kind of event; action	nongold
81	a component means a part of	nongold
82	the sun is a source of light; light energy called sunlight	nongold
83	solar energy is a kind of heat energy	nongold
84	to cause means to result in	nongold
85	a nuclear reaction can be found in a nuclear power plant	nongold
86	a step in a process means a stage in a process	nongold
87	a part of something is present in that something	nongold
88	the sun  is the source of energy for physical cycles on Earth	nongold
89	a vehicle for something allows; enables that something to occur	nongold
90	a star produces light and heat	nongold
91	the sun rising; setting occurs once per day	nongold
92	a physical reaction is a kind of process	nongold
93	a physical property is a kind of property	nongold
94	a human is a kind of animal	nongold
95	if something enters something else then that something is in that something else	nongold
96	all elements are a kind of pure substance	nongold
97	if something generates energy for something else then that something powers that something else	nongold
98	Mars is a kind of planet	nongold
99	to generate means to form	nongold
