Question	Why should plants be included in investigations about the water cycle?	question
Answer	Plants are part of the water cycle through the process of transpiration.	answer
0	transpiration is a kind of process of the water cycle	nongold
1	investigating a stage of something means investigating that something	gold
2	evaporation is a stage in the water cycle process	gold
3	In the water cycle , transpiration always follows plant uptake	nongold
4	An example of a physical cycle is the water cycle	nongold
5	transpiration is when water vapor moves from plants;leaves into the atmosphere	gold
6	transpiration usually happens in the leaves of a plant	nongold
7	In the water cycle , condensation always follows transpiration	nongold
8	the water cycle occurs on Earth	nongold
9	investigating is a kind of process	nongold
10	a part of a process means a stage in a process	gold
11	a cycle is a kind of process	nongold
12	condensation is a stage in the water cycle process	nongold
13	plants control the amount of water in their leaves through transpiration	nongold
14	investigating the life cycle of a living thing requires that living thing to be alive	nongold
15	studying is similar to investigating	nongold
16	infiltration is a stage in the water cycle process	nongold
17	runoff is a stage in the water cycle process	nongold
18	precipitation is a stage in the water cycle process	nongold
19	water absorbs solar energy in the water cycle	nongold
20	a cycle happens; occurs repeatedly	nongold
21	In the water cycle , evaporation always follows collection in bodies of water	nongold
22	water is a kind of water phase	nongold
23	examining is a kind of process	nongold
24	In the water cycle , plant uptake can follow collection in groundwater	nongold
25	evaporation is when water is drawn back up into the air in the water cycle	gold
26	In the water cycle , collection in groundwater always follows infiltration	nongold
27	investigation sometimes requires experimentation	nongold
28	investigating sometimes requires measuring	nongold
29	investigating requires gathering information	nongold
30	organisms move through the stages of the life cycle	nongold
31	In the water cycle , condensation always follows evaporation	nongold
32	to study means to examine	nongold
33	the nitrogen cycle is a cyclical process, with stages of nitrogen fixation, nitrification, assimilation, ammonification, denitrification	nongold
34	a stem is often a part of plant	nongold
35	In the water cycle , transportation can follow condensation	nongold
36	In the water cycle , infiltration can follow runoff	nongold
37	a process is a kind of event	nongold
38	a plant is a kind of living thing	nongold
39	answering questions requires information	nongold
40	a process usually requires all of the stages in that process	nongold
41	a step in a process means a stage in a process	nongold
42	In the water cycle , precipitation always follows transportation	nongold
43	water is a kind of substance	nongold
44	In the water cycle , collection in bodies of water can follow runoff	nongold
45	the rock cycle is a cyclical process, with stages of formation, weathering	nongold
46	In the water cycle , precipitation can follow condensation	nongold
47	a research team is made of humans	nongold
48	evaporation is a kind of process	nongold
49	to discover means to make a discovery	nongold
50	an organism is a living thing	nongold
51	water is a kind of object	nongold
52	if something causes a process then that something is required for that process	nongold
53	research is used for learning	nongold
54	In the water cycle , runoff always follows collection as snow; collection as ice	nongold
55	including means containing	nongold
56	a plant is a kind of organism	nongold
57	making a valid conclusion in an investigation requires collecting relevant evidence	nongold
58	a source of something emits; produces; generates; provides that something	nongold
59	green plants are a kind of producer	nongold
60	part means role	nongold
61	water is a kind of matter	nongold
62	organisms mean life	nongold
63	growth is a stage in the life cycle process	nongold
64	a tree is a kind of plant	nongold
65	all living things have life cycles	nongold
66	heat means heat energy	nongold
67	events occur at a specific place; at a specific time; with a specific frequency	nongold
68	the glaciers has the role of storing fresh water in the water cycle	nongold
69	water is a renewable resource	nongold
70	an animal is a kind of living thing	nongold
71	process is similar to method	nongold
72	living things perform biological processes	nongold
73	In the water cycle , runoff can follow precipitation	nongold
74	conversion is a kind of process	nongold
75	studying is similar to observing	nongold
76	Earth's revolution is a kind of cycle	nongold
77	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
78	vegetation means plants	nongold
79	water is a kind of liquid at room temperature	nongold
80	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
81	to be used for something means to be required by that something	nongold
82	a plants; living things require water for survival; to grow	nongold
83	lifetime is similar to life cycle	nongold
84	decomposition is a stage in the carbon cycle process	nongold
85	water is a part of an environment	nongold
86	high is similar to increase	nongold
87	an event is a kind of action	nongold
88	cycle is similar to pattern	nongold
89	the last stage of a life cycle occurs at the end of a life cycle	nongold
90	the formation of something is a kind of process	nongold
91	In the water cycle , melting snow; melting ice always follows collection as snow; collection as ice	nongold
92	a plant is a member of a plant species	nongold
93	researcher is a kind of scientist	nongold
94	to be involved in something means to have a role in something	nongold
95	making a valid conclusion in an investigation requires a testable hypothesis	nongold
96	aquatic animals; plants live in bodies of water	nongold
97	affected means changed	nongold
98	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
99	to run through means to transfer	nongold
