Question	A pot of cold water was heated on a stove until the water boiled. Which of the following best explains why the water was able to boil?	question
Answer	The cold water absorbed heat from the pot.	answer
0	absorbing energy causes objects; materials; substances to heat	nongold
1	a pot is a kind of object	nongold
2	a pot is a kind of container	gold
3	if heat is added to a substance then that substance absorbs that heat	gold
4	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	gold
5	a pot is used for cooking food	nongold
6	a stove is used for cooking by generating heat	nongold
7	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
8	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
9	a stove generates heat for cooking usually	gold
10	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
11	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
12	if liquid is boiling then that liquid is hot	nongold
13	pot;pan;frying pan is made of metal for cooking	gold
14	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
15	water is an thermal; thermal energy conductor	nongold
16	pots are used for cooking liquid food usually	nongold
17	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
18	moisture means liquid; liquid water	nongold
19	a hot substance is a source of heat	nongold
20	metal is a thermal; thermal energy conductor	gold
21	heating means adding heat	nongold
22	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
23	a burner is a part of a  stove	nongold
24	if heat is absorbed from a source then that heat source will cool	nongold
25	water is a kind of liquid at room temperature	gold
26	boiling is when liquids are heated above their boiling point	nongold
27	a stove is a kind of machine	nongold
28	heat energy is synonymous with thermal energy	nongold
29	a hot; warm something is a source of heat	nongold
30	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
31	heat means heat energy	nongold
32	a liquid is a kind of substance	nongold
33	being  on something; placed in something; placed over something means touching  that something	nongold
34	water is a kind of substance	gold
35	temperature is a measure of heat energy	nongold
36	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
37	an object; material; substance comes from that object or material's source	nongold
38	hot means high in heat energy; temperature	nongold
39	thermal conduction is when heat flows from warmer object to cooler object	nongold
40	a burner is a kind of object; surface	nongold
41	a thermal conductor is made of materials that conduct thermal energy	nongold
42	conductivity is a property of a material; substance	nongold
43	if one surface; one substance; one object touches something then one is exposed to that something	gold
44	when a cooler object touches a warmer object , thermal conduction occurs	nongold
45	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
46	if too much heat is transferred to an object then that object may burn	nongold
47	a container contains objects; material; substances	nongold
48	if something comes from something else then that something else is a source of that something	nongold
49	a source of something emits; produces; generates; provides that something	gold
50	if something is places over a heat source then that something is exposed to that heat source	nongold
51	cold means low in temperature	nongold
52	hot is the opposite of  cold	nongold
53	if heat is conducted to an object then that object will become hot	nongold
54	to give off means to be the source of	nongold
55	if heat is transferred to an object , then the object will get hot	nongold
56	if an object is made of a material then that object has the properties of that material	nongold
57	if an object is hot then the surfaces of that object are hot	nongold
58	warm means medium heat energy; temperature	nongold
59	fire causes burning	nongold
60	where something  comes from is a source of that something	nongold
61	an insulator is the opposite of a conductor	nongold
62	gas is a kind of material	nongold
63	metal is a kind of material	nongold
64	heating is the opposite of cooling	nongold
65	a source of heat can be used to heat something	nongold
66	a source of heat can be used to heat something	nongold
67	cooking food requires adding heat energy to the food	nongold
68	water is a kind of object	nongold
69	gas is a kind of substance	nongold
70	to add means to increase	gold
71	if a container contains something then that container touches that something	gold
72	can be means able to be	nongold
73	the heat energy in the cooler object increases in thermal conduction	nongold
74	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
75	heat is a kind of energy	nongold
76	an electric stove changes electrical energy into heat energy	nongold
77	a container is a kind of object	nongold
78	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
79	fire transfers heat through waves	nongold
80	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
81	a burner is made of metal	nongold
82	cool means cold	nongold
83	an increase is the opposite of a decrease	nongold
84	adding heat means increasing temperature	nongold
85	gas is a kind of object	nongold
86	heat energy  can be used to heat up  an object	nongold
87	thermal energy is a kind of energy	nongold
88	if something transfers something else then that something is a source of something else	nongold
89	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
90	boiling is a kind of event	nongold
91	warm means warm temperature	nongold
92	cooking is a kind of process	nongold
93	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
94	best means most positive	nongold
95	to combust means to catch fire	nongold
96	to be used for something means to be required by that something	nongold
97	high is similar to increase	nongold
98	heat means the transfer of thermal energy	nongold
99	warm is similar to hot	nongold
