Question	Air is made up of many gases. Which gas is found in the greatest amount?	question
Answer	Nitrogen	answer
0	greatest means largest; highest; most amount of something	gold
1	to be found in means to be contained in	gold
2	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
3	carbon dioxide can be found in the air	nongold
4	made up of means contains; made of	nongold
5	nitrogen is a kind of gas	nongold
6	nitrogen is a kind of element	nongold
7	highest means largest; greatest; most in height	nongold
8	largest amount means most	nongold
9	lowest means least in value; amount; number	nongold
10	air is a kind of gas	nongold
11	found in means existing in	nongold
12	oxygen is a kind of gas at room temperature	nongold
13	the Earth's atmosphere is made of 78 percent nitrogen by mass	gold
14	hydrogen is a kind of gas at room temperature	nongold
15	the air is a kind of substance	nongold
16	if something is a part of something then that something can be found in that something	nongold
17	air is a kind of matter	nongold
18	atmosphere means  air	gold
19	carbon dioxide is a kind of gas	nongold
20	the atmosphere contains gases; liquids; solids	nongold
21	oxygen  is a kind of element	nongold
22	many means high in number	nongold
23	largest means greatest in size	nongold
24	gas is a kind of substance	nongold
25	composed of means made of	nongold
26	contains means located in	nongold
27	gaseous means of gas	nongold
28	a  gas is a kind of  element	nongold
29	to be made of means to consist of	nongold
30	matter; materials; substances are made of atoms; particles	nongold
31	to be made of something means to be formed of that something	nongold
32	substances are made of elements	nongold
33	including means containing	nongold
34	hydrogen is a kind of element	nongold
35	the Earth's atmosphere is made of 23.133 percent oxygen by mass	gold
36	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	gold
37	made of is similar to contains	gold
38	furthest; farthest means greatest; most; highest in distance	nongold
39	an  element is a kind of atom	nongold
40	concentration means amount	nongold
41	higher means greater; above in value; amount; number	nongold
42	quantity means amount	nongold
43	oxygen gas is made of only  oxygen element	nongold
44	an atom is a kind of object	nongold
45	substances are made of matter	nongold
46	if something is made of something; a material then that something contains that something; that material	nongold
47	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	gold
48	atmospheric means of the atmosphere	nongold
49	N means nitrogen	nongold
50	an element is a kind of  substance	nongold
51	high is similar to increase	nongold
52	level is similar to amount; quantity	nongold
53	an element is made of one kind of atoms	nongold
54	to contain means to have inside	nongold
55	least is the opposite of greatest	nongold
56	ammonia is made of nitrogen and hydrogen	nongold
57	the Earth's atmosphere is made of 1.288 percent argon by mass	nongold
58	to be formed by is similar to being produced by	nongold
59	objects are made of materials; substances; matter	nongold
60	if something is a part of something else then that something else contains that something	nongold
61	legumes contain nitrogen	nongold
62	the air is a kind of mixture	nongold
63	carbon is a kind of element	nongold
64	all elements are a kind of pure substance	nongold
65	a container contains objects; material; substances	nongold
66	a liquid is a kind of substance	nongold
67	nitrogen as an elemental gas is more stable than nitrogen compounds	nongold
68	oxygenated means having oxygen	nongold
69	to exhale means to release	nongold
70	form means kind	nongold
71	if something is made of something else then that something can be broken down into that something else	nongold
72	to add means to increase	nongold
73	can be means able to be	nongold
74	vapor is synonymous with gas	nongold
75	materials are made of matter	nongold
76	amount is similar to abundance	nongold
77	elements in noble gases family are gases at room temperature	nongold
78	to be filled with means to contain	nongold
79	composition means the (materials, substances) of which something is composed	nongold
80	denitrification is when nitrogen becomes part of the lithosphere	nongold
81	carbon dioxide is more dense than air	nongold
82	a pure substance is made of only one kind of atom; molecule	nongold
83	an atom is the smallest particle; unit that has the properties of an element	nongold
84	gas is a kind of state of matter	nongold
85	air mass means a volume of air	nongold
86	Earth has air	nongold
87	the basic unit of matter is atom	nongold
88	water is made of hydrogen and oxygen	nongold
89	sulfur is a kind of element	nongold
90	gas is a kind of object	nongold
91	a source of something emits; produces; generates; provides that something	nongold
92	hydrogen contains chemical energy	nongold
93	water vapor is found in the atmosphere	nongold
94	an increase is the opposite of a decrease	nongold
95	the nitrogen cycle is a cyclical process, with stages of nitrogen fixation, nitrification, assimilation, ammonification, denitrification	nongold
96	fewest means lowest; least in number	nongold
97	atom cannot be divided into smaller substances	nongold
98	contain is similar to store	nongold
99	an atom is exceptionally small in size	nongold
