Question	Which adaptation allows a walrus to stay warm in cold water?	question
Answer	thick layer of blubber	answer
0	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
1	blubber is often a part of sea mammals for keeping warm by providing thermal insulation	gold
2	a walrus is a kind of sea mammal	gold
3	temperature is a measure of heat energy	nongold
4	adaptations are used for survival	nongold
5	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
6	thickness is a property of an object and includes ordered  values of thin; thick	nongold
7	an adaptation is a kind of characteristic	nongold
8	heat means temperature increases	nongold
9	staying warm means keeping warm	nongold
10	to enable means to allow	nongold
11	an adaptation is an adaptive feature	nongold
12	staying warm has a positive impact on an animal's survival; health	nongold
13	keeping cool means not increasing temperature	nongold
14	an adaptation is a kind of change	nongold
15	adapting is when a living thing responds to a change in an environment	nongold
16	cold means low in temperature	nongold
17	thickness is  a measure of how thick an object  is	nongold
18	if a living thing becomes too cold then that living thing will die	gold
19	an animal usually requires a warm body temperature for survival	nongold
20	colder; cooler means lower in temperature	nongold
21	thin means small in width	nongold
22	moisture means liquid; liquid water	nongold
23	to remain means to stay the same	nongold
24	causing is similar to allowing	nongold
25	to be used for is similar to allowing	nongold
26	helping something has a  positive impact on that something	nongold
27	an animal is a kind of living thing	gold
28	heat means heat energy	nongold
29	an animal requires warmth for survival	nongold
30	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
31	keeping warm is the opposite of becoming  cold	gold
32	stay the same means not changing	nongold
33	animals adapt to their environment	nongold
34	an aquatic animal is a kind of animal	nongold
35	animals; living things require water for survival	nongold
36	water is a kind of liquid at room temperature	nongold
37	staying means not changing	nongold
38	blubber is a kind of fat	gold
39	a body of water is a kind of environment	gold
40	aquatic animal means water animal	nongold
41	thick fur; thick feathers can be used for keeping warm	nongold
42	warm up means increase temperature	nongold
43	heating means adding heat	nongold
44	a living thing is a kind of object	nongold
45	cooler means colder	nongold
46	to remain means to stay where it is	nongold
47	aquatic animals; plants live in bodies of water	nongold
48	if a living thing requires something then that something has a positive impact on that living thing	nongold
49	to lower means to decrease	nongold
50	if something is required for something else then that something allows that something else	nongold
51	an animal is a kind of organism	nongold
52	warmer means greater; higher in temperature; warmth	nongold
53	the body of a mammal is a source of heat	nongold
54	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	gold
55	water is a kind of substance	nongold
56	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
57	to reduce means to decrease	nongold
58	high is similar to increase	nongold
59	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
60	changes in an environment cause animals; plants to adapt to survive	nongold
61	water is a part of an environment	nongold
62	adaptation is when an organism develops a trait over time for survival	nongold
63	an increase is the opposite of a decrease	nongold
64	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
65	live is similar to stay	nongold
66	An example of an adaptation for flight in birds is feathers; wings; hollow bones	nongold
67	become warm means get warm	nongold
68	staying cool is the opposite of becoming hot	nongold
69	providing warmth is synonymous with keeping warm	nongold
70	cool means cold	nongold
71	dry means low in amount of water; wetness; moisture	nongold
72	warm means warm temperature	nongold
73	an organism is a living thing	nongold
74	become cold means get cold	nongold
75	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
76	cold temperatures usually have a negative impact on organisms	nongold
77	keeping means staying	nongold
78	something in a cold place becomes cold	nongold
79	adapt is similar to evolve	nongold
80	a body of water is a source of water	nongold
81	Physical adaptation; structural adaptation is a physical  change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
82	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
83	well-suited is similar to adapted	nongold
84	a plant; living thing requires food for survival	nongold
85	staying cool has a positive impact on a human's comfort	nongold
86	fur is usually part of a mammal	nongold
87	floating on water is a kind of adaptation	nongold
88	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
89	increase means more	nongold
90	a salamander is a kind of aquatic animal	nongold
91	to remain means to not change	nongold
92	a plant is a kind of living thing	nongold
93	to depend on; to rely on; to need means to require	nongold
94	moist means high in moisture	nongold
95	an adaptation is an advantage	nongold
96	a bird is a kind of living thing	nongold
97	skin is the first; outermost layer around the body of some animals	nongold
98	material means substance	nongold
99	warm; becoming warm means heat is added	nongold
