Question	Elisa was classifying types of energy as either potential or kinetic. Which is a type of potential energy?	question
Answer	chemical energy	answer
0	a type is synonymous with a kind	gold
1	classifying is when one sorts something by kind; type	nongold
2	chemical energy is a kind of potential energy	gold
3	potential energy is a kind of energy	nongold
4	changes potential energy into kinetic energy through motion	nongold
5	chemical energy is a kind of energy	nongold
6	potential is a kind of ability	nongold
7	classifying means grouping objects; materials by their properties	nongold
8	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
9	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
10	kinetic energy is a kind of mechanical energy	nongold
11	potential energy means stored energy	nongold
12	food is a kind of chemical energy	nongold
13	as kinetic energy increases , the potential energy will decrease	nongold
14	classify is similar to characterize	nongold
15	to belong to a class means to be a kind of something	nongold
16	a type of something is a kind of property of that something	nongold
17	gravitational potential energy is a kind of potential energy	nongold
18	form means kind	nongold
19	a kind of something is classified as that something	nongold
20	if the amount of electricity converted from the potential energy of an object is less than the amount of potential energy in the object , then the  potential energy is converted into other energy other than electricity	nongold
21	to categorize means to classify	nongold
22	stopping a moving object changes kinetic energy into potential energy	nongold
23	cellular energy is a kind of chemical energy	nongold
24	particles in a liquid have more kinetic energy than particles in a solid	nongold
25	category means kind	nongold
26	hydrogen contains chemical energy	nongold
27	potential energy is a measure of the energy of an object due to position relative to other objects	nongold
28	classifying requires comparing	nongold
29	particles in a gas have more kinetic energy than particles in a liquid	nongold
30	variety means different kinds; different types	nongold
31	to tell the difference between things means to classify those things	nongold
32	motion is a source of kinetic energy in an object	nongold
33	fossil fuels have high potential energy	nongold
34	objects contain chemical energy	nongold
35	different types of matter have different chemical properties	nongold
36	An example of an object with kinetic energy is an object in motion	nongold
37	answering questions requires information	nongold
38	matter; materials; substances are made of atoms; particles	nongold
39	can be means able to be	nongold
40	a kind of something is an example of that something	nongold
41	an event is a kind of action	nongold
42	classification is a kind of process	nongold
43	chemical reactions cause new substances; different substances to form	nongold
44	all elements are a kind of pure substance	nongold
45	heat is a kind of energy	nongold
46	classifying is a kind of science process	nongold
47	a source of something emits; produces; generates; provides that something	nongold
48	both means two	nongold
49	different substances usually have different amount of chemical energy	nongold
50	opposite is a kind of different	nongold
51	substances have chemical properties	nongold
52	an element is a kind of  substance	nongold
53	chemical reactions cause chemical change	nongold
54	combining; mixing two substances chemically causes chemical reactions	nongold
55	to classify means to decide what class something belongs to	nongold
56	temperature is a measure of kinetic energy of molecules	nongold
57	an  element is a kind of atom	nongold
58	substances are made of elements	nongold
59	particles in objects are a kind of matter	nongold
60	substances are made of matter	nongold
61	the potential energy in fossil fuels mostly are converted into thermal energy	nongold
62	hydrogen is a kind of element	nongold
63	atoms are made of particles	nongold
64	to be made of something means to be formed of that something	nongold
65	chemical change is a kind of chemical reaction	nongold
66	a component means a part of	nongold
67	a component of something means a part of that something	nongold
68	material means substance	nongold
69	to depend on; to rely on; to need means to require	nongold
70	fuel contains chemical energy	nongold
71	chemical compounds contain chemical bonds between atoms; between elements	nongold
72	compressing an object increases the potential energy in the object	nongold
73	nuclear energy is a kind of energy	nongold
74	a molecule is made of atoms chemically combined; bonded	nongold
75	carbohydrates store chemical energy	nongold
76	to be used for something means to be required by that something	nongold
77	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
78	composed of means made of	nongold
79	if something causes a process then that something is required for that process	nongold
80	a particle is a kind of object	nongold
81	a process is a kind of event	nongold
82	an element is made of one kind of atoms	nongold
83	oxygen  is a kind of element	nongold
84	not is similar to the opposite of	nongold
85	an atom is a kind of object	nongold
86	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
87	high is similar to increase	nongold
88	a chemical reaction is a kind of process	nongold
89	electrical energy is a kind of energy	nongold
90	according to is similar to be determined by	nongold
91	variable means able to change	nongold
92	compound is a kind of chemical	nongold
93	combustibility is a kind of  chemical property	nongold
94	combustion means fire converts chemical energy into light energy and heat energy	nongold
95	an element is a kind of material	nongold
96	a molecule is a kind of particle	nongold
97	if something generates energy for something else then that something powers that something else	nongold
98	the bonds of chemical compounds contain chemical energy	nongold
99	made up of means contains; made of	nongold
