Question	Which property of an object can be described as smooth?	question
Answer	texture	answer
0	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	gold
1	smooth is a kind of texture	gold
2	texture is a kind of physical property	nongold
3	texture means how an object feels	nongold
4	rough is the opposite of smooth	nongold
5	the texture of an object can sometimes be told by looking at the object	nongold
6	a surface is a part of an object	gold
7	structure is a property of an object; a material; a substance	nongold
8	a surface is a kind of object	nongold
9	an object has properties	nongold
10	a surface is a part of a material	nongold
11	flatness is a property of a surface; the shape of an object and includes ordered values of uneven; flat	nongold
12	the properties of something are used for describing that something	nongold
13	luster is a property of  an object; a material and includes ordered values of dull; shiny	nongold
14	a property of something is a feature of that something	nongold
15	touch can be used for detecting texture	nongold
16	a living thing is a kind of object	nongold
17	sand has a rough surface	nongold
18	can be means able to be	nongold
19	the composition of the soil causes the texture of the soil to be different	nongold
20	to be characterized by  a property means to have that property	nongold
21	different types of soil have different textures	nongold
22	objects are made of materials; substances; matter	nongold
23	a wall is a kind of surface	nongold
24	felt is high in roughness	nongold
25	thickness is a property of an object and includes ordered  values of thin; thick	nongold
26	an part of an object is smaller than the entire object	nongold
27	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
28	a physical property is a kind of property	nongold
29	surface area is a property of shape	nongold
30	a structure of something is synonymous with a part of that something	nongold
31	wood has a smooth surface	nongold
32	characteristic means property	nongold
33	gritty is simiar to  rough	nongold
34	color is a property of  an object; a material	nongold
35	surface type is a kind of characteristic	nongold
36	asphalt is a smooth surface	nongold
37	a landform is a kind of object	nongold
38	the  property of something is the same for the things of same kind	nongold
39	down is soft	nongold
40	flat means level	nongold
41	soft is a kind of touch sensation	nongold
42	carpet has a rough surface	nongold
43	a rough surface is a part of sandpaper	nongold
44	shape is a property of an object	nongold
45	a structure is a kind of feature	nongold
46	to scrape means to scratch	nongold
47	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
48	form means kind	nongold
49	inclined means sloping	nongold
50	if someone walks on a surface then that someone touches that surface	nongold
51	material means substance	nongold
52	an object is made of its parts	nongold
53	depth is a property of the shape of an object	nongold
54	variability of shape; variability of volume is a kind of physical property	nongold
55	as the roughness of something increases , the friction of that something will increase when its surface moves against another surface	nongold
56	thickness is  a measure of how thick an object  is	nongold
57	if an object is made of a material then that object has the properties of that material	nongold
58	if something exists on a surface then that surface contains that something	nongold
59	feature is synonymous with characteristic	nongold
60	appearance is a property of objects; materials	nongold
61	as roughness of a surface increases , friction will increase	nongold
62	an apple is smooth on the surface	nongold
63	soft is a kind of hardness	nongold
64	aspect is similar to property	nongold
65	a component of something means a part of that something	nongold
66	shape is a kind of physical property	nongold
67	composition is a property of an object; matter	nongold
68	if an object is made of something then the parts of that object are made of that something	nongold
69	shape of the parts of something is a property of that something	nongold
70	an animal is a kind of living thing	nongold
71	state of matter is a kind of physical property	nongold
72	particles in objects are a kind of matter	nongold
73	high is similar to increase	nongold
74	color is a kind of physical; visual property	nongold
75	rubbing  is a kind of motion	nongold
76	fur is usually soft in texture	nongold
77	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
78	what an object is made of is a kind of characteristic	nongold
79	a property is similar to a factor	nongold
80	a can is a kind of object	nongold
81	motion; movement means moving; to move	nongold
82	composed of means made of	nongold
83	a component means a part of	nongold
84	what something needs is a property of that something	nongold
85	a covering is a kind of object	nongold
86	low means down	nongold
87	increase means more	nongold
88	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
89	shape is a property of the appearance of an object	nongold
90	landform means surface feature; physical feature; land feature	nongold
91	hardness is an intensive property	nongold
92	a type is synonymous with a kind	nongold
93	length is a property of the shape of an object	nongold
94	size is an extensive property	nongold
95	aspect of something is similar to part of something	nongold
96	the effects of something is a property of that something	nongold
97	concrete is usually a smooth surface	nongold
98	a type of something is a kind of property of that something	nongold
99	surfaces sometimes cause objects to break	nongold
