Question	Which of the following is a chemical property of matter?	question
Answer	flammability	answer
0	flammability means the ability to be flammable	nongold
1	flammability is a kind of chemical property	gold
2	a  chemical property is a kind of  property	nongold
3	a chemical property is the opposite of a physical property	nongold
4	a type of something is a kind of property of that something	nongold
5	substances have chemical properties	nongold
6	the effects of something is a property of that something	nongold
7	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
8	substances are made of matter	nongold
9	durability is a property of materials; objects and includes ordered values of durable; not durable	nongold
10	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
11	objects are made of materials; substances; matter	nongold
12	composition is a property of an object; matter	nongold
13	An example of a chemical property is how a material reacts chemically	nongold
14	matter; materials; substances are made of atoms; particles	nongold
15	material composition is a kind of chemical property	nongold
16	durability is a kind of property	nongold
17	reaction to light is a kind of chemical property	nongold
18	an object has properties	nongold
19	materials are made of matter	nongold
20	chemical composition is a kind of property	nongold
21	a physical property is a kind of property	nongold
22	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
23	state of matter is a kind of physical property	nongold
24	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
25	structure is a property of an object; a material; a substance	nongold
26	An example of a chemical property is the elements a compound is made of	nongold
27	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
28	state of matter at room temperature is a kind of physical property	nongold
29	a property of something is a feature of that something	nongold
30	combustibility is a kind of  chemical property	nongold
31	the chemistry of something is similar to what that something is made of	nongold
32	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
33	definite is the opposite of variable	nongold
34	chemical reactions cause chemical change	nongold
35	matter is made of molecules	nongold
36	a bonding property is a kind of chemical property	nongold
37	not is similar to the opposite of	nongold
38	to be made of something means to be formed of that something	nongold
39	water is a kind of matter	nongold
40	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
41	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
42	characteristic means property	nongold
43	compressibility is a property of  matter and includes ordered values of compressible; not compressible	nongold
44	if an object is made of a material then that object has the properties of that material	nongold
45	mass; weight is a property of matter; objects; materials	nongold
46	substances are made of elements	nongold
47	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
48	affected means changed	nongold
49	substances are made of molecules	nongold
50	strength is a property of an object; a material	nongold
51	liquid is a kind of state of matter	nongold
52	material means substance	nongold
53	chemical compounds contain chemical bonds between atoms; between elements	nongold
54	compound is a kind of chemical	nongold
55	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
56	gas is a kind of state of matter	nongold
57	chemicals means substances	nongold
58	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
59	color is a property of  an object; a material	nongold
60	combining; mixing two substances chemically causes chemical reactions	nongold
61	particles in objects are a kind of matter	nongold
62	an atom is a kind of object	nongold
63	conductivity is a property of a material; substance	nongold
64	a molecule is made of atoms chemically combined; bonded	nongold
65	carbon is a kind of element	nongold
66	condition means the state of the property	nongold
67	taste is a kind of property	nongold
68	chemical change is a kind of chemical reaction	nongold
69	different types of matter have different chemical properties	nongold
70	conductivity is a kind of physical property	nongold
71	combustion is a kind of chemical change	nongold
72	appearance is a property of objects; materials	nongold
73	solid is a kind of state of matter	nongold
74	form means kind	nongold
75	strength is a kind of property	nongold
76	a living thing is a kind of object	nongold
77	if something is made of something; a material then that something contains that something; that material	nongold
78	all elements are a kind of pure substance	nongold
79	chemical reactions cause new substances; different substances to form	nongold
80	an element is made of one kind of atoms	nongold
81	the properties of something are used for describing that something	nongold
82	a molecule is a kind of object	nongold
83	an element is a kind of material	nongold
84	an element is a kind of  substance	nongold
85	a source of something emits; produces; generates; provides that something	nongold
86	an animal is a kind of living thing	nongold
87	the number of parts of something is a property of that something	nongold
88	water is a kind of substance	nongold
89	chemical reaction means chemical bonds change	nongold
90	can be means able to be	nongold
91	hydrogen is a kind of element	nongold
92	a molecule is the smallest particle; unit that has the properties of a compound	nongold
93	metal is a kind of material	nongold
94	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
95	catenation is a property of atoms	nongold
96	an  element is a kind of atom	nongold
97	a product is a kind of object	nongold
98	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
99	a surface is a part of a material	nongold
