Question	When is wood a nonrenewable resource?	question
Answer	When more trees are harvested than are replanted.	answer
0	wood is a renewable resource	nongold
1	wood is a kind of resource	nongold
2	replanting  a plant means replacing that plant	nongold
3	trees are a renewable resource	nongold
4	trees are a kind of resource	nongold
5	logging is when humans cut down trees; forests for wood	nongold
6	trees are a kind of natural resource	nongold
7	plants are a kind of resource	nongold
8	harvesting is a kind of using	gold
9	a tree contains wood	gold
10	increase means more	nongold
11	a tree is a kind of plant	nongold
12	to depend on; to rely on; to need means to require	nongold
13	green plants are a kind of producer	nongold
14	roots are a part of a plant; tree	nongold
15	if something is a raw material in a process then that something is required for that process	nongold
16	a tree is a kind of living thing	nongold
17	to be used for something means to be required by that something	nongold
18	renewable is the opposite of nonrenewable	gold
19	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
20	a renewable resource is a kind of natural resource	nongold
21	planting is a kind of human action	nongold
22	a renewable resource is a kind of naturally replaced resource	nongold
23	a plant is a kind of living thing	nongold
24	a nonrenewable resource is limited in supply	nongold
25	producing is a kind of process	nongold
26	wood is a kind of biomass	nongold
27	to add means to increase	nongold
28	wood is a kind of object	nongold
29	wood is a kind of natural material	nongold
30	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
31	high is similar to increase	nongold
32	to produce means to provide	nongold
33	timber companies cut down trees	nongold
34	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
35	a leaf is a part of a tree	nongold
36	growing is a kind of process	nongold
37	a process is a kind of event	nongold
38	a producer is a kind of living thing	nongold
39	less is similar to decrease	nongold
40	a redwood tree is a kind of tree	nongold
41	requiring something means needing that something	nongold
42	a source of something emits; produces; generates; provides that something	nongold
43	an increase is the opposite of a decrease	nongold
44	fossil fuels are a nonrenewable resource	nongold
45	an event is a kind of action	nongold
46	an oak is a kind of tree	nongold
47	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
48	less is the opposite of more	nongold
49	a forest contains  lots of plants; trees	nongold
50	if something causes a process then that something is required for that process	nongold
51	an increase is a kind of change	nongold
52	less means a reduced amount	nongold
53	to provide something means to be the source of that something	nongold
54	a part of a process means a stage in a process	nongold
55	emit means produce	nongold
56	as the use of renewable resources use of renewable resources increases , use of nonrenewable resources will decrease	nongold
57	a plant; living thing requires nutrients to grow	nongold
58	bark is a part of a tree	nongold
59	farming is a kind of process	nongold
60	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
61	wood is a kind of nonmetal	nongold
62	largest amount means most	nongold
63	a process usually requires all of the stages in that process	nongold
64	renewable resources are often available for many years	nongold
65	greater means higher; more in value	nongold
66	a forest is a kind of ecosystem	nongold
67	An example of replacing a natural resource is planting new trees where a forest once stood	nongold
68	planting trees is the opposite of cutting down trees	nongold
69	make means produce	nongold
70	life means living things	nongold
71	to contribute is similar to produce	nongold
72	wood is usually sturdy	nongold
73	vegetation means plants	nongold
74	an inexhaustible resource is a kind of renewable resource	nongold
75	deplete is similar to decrease	nongold
76	growth is a kind of process	nongold
77	a branch is a part of a tree	nongold
78	using less of a resource means conserving that resource	nongold
79	planting trees has a  positive impact on an ecosystem	nongold
80	an animal; living thing requires nutrients for survival	nongold
81	a natural resource is a kind of environmental factor	nongold
82	if something is required then that something must be provided	nongold
83	products are formed; are produced; are created	nongold
84	to reduce means to decrease	nongold
85	harming something has a  negative impact on; effect on that something	nongold
86	grass does not contain wood	nongold
87	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
88	if something causes an increase in something else then that something produces that something else	nongold
89	some species of tree are deciduous	nongold
90	affected means changed	nongold
91	if something requires something else then that something requires a source of that something else	nongold
92	planting trees is sometimes a human activity	nongold
93	a plant is a kind of organism	nongold
94	a tree is a kind of matter	nongold
95	low is similar to decrease	nongold
96	nonrenewable resources will eventually be depleted	nongold
97	an organism is a living thing	nongold
98	generate means produce	nongold
99	natural gas is a nonrenewable resource	nongold
