Question	Students are learning about the natural resources in Maryland. One group of students researches information about renewable natural resources in the state. The other group researches information about nonrenewable natural resources in the state. The resources the students investigate include plants, animals, soil, minerals, water, coal, and oil. Which nonrenewable natural resource heats homes?	question
Answer	natural gas	answer
0	coal is a kind of fossil fuel	nongold
1	coal is a nonrenewable resource	nongold
2	natural gas is a kind of fossil fuel	nongold
3	animals are a renewable resource	nongold
4	fossil fuels are a nonrenewable resource	nongold
5	a plant is a kind of living thing	nongold
6	natural gas is a nonrenewable resource	gold
7	Maryland is a kind of region	nongold
8	oil is a kind of fossil fuel	nongold
9	a renewable resource is a kind of natural resource	nongold
10	plants are a kind of resource	nongold
11	minerals are a nonrenewable resource	nongold
12	petroleum is a kind of fossil fuel	nongold
13	oil is a nonrenewable resource	nongold
14	a fossil fuel is a kind of natural resource	nongold
15	fossil fuels are a kind of energy resource	nongold
16	an animal is a kind of living thing	nongold
17	An example of using natural gas is heating homes	nongold
18	heat means heat energy	nongold
19	a plant is a kind of organism	nongold
20	Maryland is a state located in the United States of America	nongold
21	a student is a kind of human	nongold
22	an animal is a kind of organism	nongold
23	investigating requires gathering information	nongold
24	natural gas is a source of heat by burning	gold
25	water is a renewable resource	nongold
26	oil is a kind of energy resource	nongold
27	water is a kind of natural resource	nongold
28	water is a kind of natural resource	nongold
29	coal is used for generating heat by burning	nongold
30	a plants; living things require water for survival; to grow	nongold
31	natural gas is used for heating building by burning	nongold
32	renewable is the opposite of nonrenewable	nongold
33	soil is a renewable resource for growing plants	nongold
34	coal is a kind of fuel	nongold
35	vegetation means plants	nongold
36	research is used for learning	nongold
37	investigating is a kind of process	nongold
38	a human is a kind of animal	nongold
39	a house is a kind of building	nongold
40	a home is a kind of building	nongold
41	a source of something emits; produces; generates; provides that something	nongold
42	a house is a kind of home	nongold
43	a source of heat can be used to heat something	nongold
44	a source of heat can be used to heat something	gold
45	natural gas is used for generating heat by burning in a furnace; in a stove	nongold
46	green plants are a kind of producer	nongold
47	studying is similar to investigating	nongold
48	oil is a kind of substance; matter	nongold
49	learning; studying information causes one to know that information	nongold
50	answering questions requires information	nongold
51	carbon dioxide is a kind of gas	nongold
52	oil is a kind of liquid	nongold
53	oil is a kind of liquid	nongold
54	plants are a part of the environment	nongold
55	data means information	nongold
56	heating means adding heat	nongold
57	plants are a source of biofuel	nongold
58	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
59	plant and animal matter means organic matter	nongold
60	a plant; living thing requires food for survival	nongold
61	heat is a kind of energy	nongold
62	investigating sometimes requires measuring	nongold
63	a plant requires soil for survival; to grow	nongold
64	gas is a kind of substance	nongold
65	investigation sometimes requires experimentation	nongold
66	gas is a kind of material	nongold
67	an animal is a kind of consumer	nongold
68	natural gas is formed by heat and pressure acting on the remains of prehistoric animals	nongold
69	a living thing is a kind of object	nongold
70	fossil fuel contains chemical energy	nongold
71	an organism is a living thing	nongold
72	natural gas is used for generating electricity by burning in a power plant	nongold
73	an energy source is a kind of resource	nongold
74	a  plant requires sunlight for photosynthesis	nongold
75	a renewable resource is a kind of naturally replaced resource	nongold
76	soil contains nutrients for plants	nongold
77	to belong to a group means to be a kind of something	nongold
78	roots are a part of a plant; tree	nongold
79	some minerals are nutrients	nongold
80	oil is  insoluble in water	nongold
81	a material is a kind of resource	nongold
82	animals; living things require water for survival	nongold
83	forming coal; fossil fuels requires decaying vegetation	nongold
84	natural gas is used for cooking food by burning	nongold
85	state means form	nongold
86	to be used for something means to be required by that something	nongold
87	an inexhaustible resource is a kind of renewable resource	nongold
88	coal is a kind of object	nongold
89	metal is a nonrenewable resource	nongold
90	soil is a kind of material	nongold
91	oil is used for producing electricity	nongold
92	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
93	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
94	food is a source of energy for animals; plants	nongold
95	a natural resource is a kind of environmental factor	nongold
96	if studying something is used to learn about something then that something is a source of information	nongold
97	water is an thermal; thermal energy conductor	nongold
98	temperature is a measure of heat energy	nongold
99	water is a kind of substance	nongold
