Question	Why are most fossils found in sedimentary rocks?	question
Answer	Organisms can be preserved in sedimentary rock.	answer
0	organisms can be preserved in sedimentary rock	gold
1	nearly all fossils are found in sedimentary rock	gold
2	to be found in means to be contained in	nongold
3	sedimentary is a kind of rock	nongold
4	fossil means preserved remains of ancient organisms	gold
5	preserved means from the past; from long ago	nongold
6	found in means existing in	nongold
7	if something is a part of something then that something can be found in that something	nongold
8	most means over 50% of something	nongold
9	only fossils formed from organisms that lived in the sea are found in the oldest layers of sedimentary rock	nongold
10	an animal is a kind of organism	nongold
11	an organism is a living thing	nongold
12	sedimentary rocks are formed by deposition; cementation	nongold
13	usually means most of the time	nongold
14	if fossils of an organism change depending on the level in which they were found then that species of organism changed over time	nongold
15	mostly means being the most	nongold
16	sedimentary rocks are made of small particles	nongold
17	organisms mean life	nongold
18	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
19	fossils are formed when layers of sediment cover the remains of organisms over time	nongold
20	an animal is a kind of living thing	nongold
21	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	nongold
22	organisms are a part of an environment	nongold
23	greatest means largest; highest; most amount of something	nongold
24	sediment is formed from rock	nongold
25	an ecosystem contains a large community of; large numbers of living organisms	nongold
26	largest amount means most	nongold
27	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
28	can be means able to be	nongold
29	organisms can be found in their habitats	nongold
30	if fossils of an animal or plant are found in a place then that animal or plant used to live in that place	nongold
31	life means living things	nongold
32	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
33	sediment is a kind of matter	nongold
34	a rock is usually a solid	nongold
35	rock is a kind of nonliving thing	nongold
36	conclusions can be drawn about changes in organisms over time by determining the age of fossils of those organisms	nongold
37	if something is located  in somewhere , then something can be found in somewhere	nongold
38	organisms are made of carbon	nongold
39	sediment is formed by weathering	nongold
40	no longer means used to be	nongold
41	rock is made of minerals	nongold
42	An example of a fossil is the bones of an extinct animal	nongold
43	shale is a kind of sedimentary rock	nongold
44	a component of something means a part of that something	nongold
45	a structure of something is synonymous with a part of that something	nongold
46	composed of means made of	nongold
47	a component means a part of	nongold
48	if a fossil is of an organism that cannot be identified then that organism is probably extinct	nongold
49	classifying is when one sorts something by kind; type	nongold
50	a part of something is present in that something	nongold
51	a dinosaur is a kind of extinct animal	nongold
52	a source of something emits; produces; generates; provides that something	nongold
53	to conserve means to not change	nongold
54	a living thing is a kind of object	nongold
55	an ecosystem contains nonliving things	nongold
56	a mollusk is a kind of animal	nongold
57	a deep sea animal is a kind of marine organism	nongold
58	landform means surface feature; physical feature; land feature	nongold
59	a bacterium is a kind of organism	nongold
60	metamorphosed rock is a kind of rock	nongold
61	rock is a kind of material	nongold
62	shells can be fossilized	nongold
63	a diatom is a kind of organism	nongold
64	to create means to make	nongold
65	a fungus is a kind of organism	nongold
66	all living and nonliving materials are made of elements	nongold
67	increase means more	nongold
68	if something is made of something else then that something can be broken down into that something else	nongold
69	an environment means an area	nongold
70	prehistoric means before 300000000 years ago	nongold
71	an animal is a member of an animal species	nongold
72	made up of means contains; made of	nongold
73	a type is synonymous with a kind	nongold
74	an increase is a kind of change	nongold
75	high means a lot of something	nongold
76	bones can be fossilized	nongold
77	to produce means to create	nongold
78	to be made of means to consist of	nongold
79	index fossils are formed from species that existed for a relatively short time	nongold
80	an aquatic animal is a kind of animal	nongold
81	where something  comes from is a source of that something	nongold
82	low is similar to decrease	nongold
83	an organism is made of organic matter	nongold
84	remains mean parts of a dead organism	nongold
85	little is similar to decrease	nongold
86	to belong to a class means to be a kind of something	nongold
87	a process is a kind of event	nongold
88	fewest means lowest; least in number	nongold
89	form means kind	nongold
90	a body of water is a kind of environment	nongold
91	to form means to create	nongold
92	dead organisms decay	nongold
93	lowest means least in value; amount; number	nongold
94	to make means to form	nongold
95	cold environments contain few organisms	nongold
96	an ocean is a kind of body of water	nongold
97	a plant is a kind of organism	nongold
98	a living thing is made of cells	nongold
99	a shell is a kind of fossil	nongold
