Question	About how much of Earth's surface is covered by oceans?	question
Answer	about 70%	answer
0	oceans cover 70% of the surface of the earth	gold
1	the surface of the Earth is made of 70% ocean	nongold
2	an ocean is a kind of body of water	nongold
3	oceans contains most of  earth's water	nongold
4	most means over 50% of something	nongold
5	under water means covered by water; in water	nongold
6	sea means ocean	nongold
7	oceans are located on Earth	nongold
8	if the surface of an object contains something then that object is covered with that something	nongold
9	Earth is a kind of planet	nongold
10	bodies of water are located on Earth's surface	nongold
11	a covering is a kind of object	nongold
12	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
13	an ocean is a kind of habitat	nongold
14	a surface is a part of an object	nongold
15	an ocean contains waves	nongold
16	organisms are located on Earth's surface	nongold
17	Earth's surface is made of rock	nongold
18	the ground means Earth's surface	nongold
19	if something exists on a surface then that surface contains that something	nongold
20	greatest means largest; highest; most amount of something	nongold
21	oceans are the source of most of water vapor in the atmosphere	nongold
22	an aquatic animal is a kind of animal	nongold
23	approximately means about	nongold
24	a body of water contains water	nongold
25	a surface is a kind of object	nongold
26	glaciers cover 10% of land  on Earth	nongold
27	high is similar to increase	nongold
28	largest amount means most	nongold
29	mostly means being the most	nongold
30	answering questions requires information	nongold
31	a body of water is a kind of environment	nongold
32	to add means to increase	nongold
33	aquatic animals; plants live in bodies of water	nongold
34	usually means most of the time	nongold
35	an environment means an area	nongold
36	aquatic animal means water animal	nongold
37	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
38	affected means changed	nongold
39	an animal is a kind of living thing	nongold
40	the percentage of freshwater is 3% of total water on Earth	nongold
41	a surface is a part of a material	nongold
42	the ocean contains large amounts of salt water	nongold
43	storms;rain cause bodies of water to increase amount of water they contain	nongold
44	furthest; farthest means greatest; most; highest in distance	nongold
45	a lot means large in amount; quantity	nongold
46	water is a part of an environment	nongold
47	ocean animal is similar to water animal	nongold
48	something that contains water is similar to a body of water	nongold
49	one in  two means half; 50%	nongold
50	a type is synonymous with a kind	nongold
51	troposphere contains 75% the gases	nongold
52	freshwater is a kind of water	nongold
53	oceans are a part of the hydrosphere on earth	nongold
54	little is similar to decrease	nongold
55	water is a kind of substance	nongold
56	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	nongold
57	far means great in distance	nongold
58	water is a kind of object	nongold
59	an organism is a living thing	nongold
60	lowest means least in value; amount; number	nongold
61	percents; ratios are a kind of data	nongold
62	extreme means very high in value	nongold
63	an increase is a kind of change	nongold
64	a half of Earth is a hemisphere of Earth	nongold
65	marine is similar to water	nongold
66	ocean temperatures change slowly	nongold
67	lots means much	nongold
68	water level is similar to ocean level	nongold
69	the ground is part of the Earth	nongold
70	underwater means below water	nongold
71	natural events usually cause changes to Earth's surface	nongold
72	including means containing	nongold
73	a continent is a kind of large land mass	nongold
74	a body of water is a source of water	nongold
75	little means low in amount	nongold
76	a planet contains environments	nongold
77	less means a reduced amount	nongold
78	an increase is the opposite of a decrease	nongold
79	worldwide temperature means atmospheric temperature	nongold
80	organisms mean life	nongold
81	covering something is a kind of protection	nongold
82	less is similar to decrease	nongold
83	low is similar to decrease	nongold
84	variable means able to change	nongold
85	concentration means amount	nongold
86	the Earth contains many ecosystems	nongold
87	person is synonymous with human	nongold
88	increase means more	nongold
89	organisms lived in the water when they first appeared on Earth	nongold
90	water is a kind of liquid at room temperature	nongold
91	maritime means close to the ocean	nongold
92	topography means the physical features of a planet's surface	nongold
93	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
94	to lower means to decrease	nongold
95	water is a kind of matter	nongold
96	Earth contains water; ice; (steam, water vapor)	nongold
97	to turn means to change	nongold
98	made up of means contains; made of	nongold
99	life means living things	nongold
