Question	Which behavior of a dog is the best example of a learned behavior?	question
Answer	coming when called	answer
0	a dog is a kind of animal	nongold
1	communication is a learned behavior	nongold
2	conditioned behavior is a kind of learned behavior	nongold
3	a behavior is a kind of characteristic	gold
4	an animal is a kind of living thing	nongold
5	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
6	An example of following orders is coming when called	gold
7	if an animal is trained to do something then that something is a learned behavior	nongold
8	actions mean behavior	nongold
9	a kind of something is an example of that something	nongold
10	an animal is a kind of organism	nongold
11	skills are learned characteristics; behaviors	nongold
12	a living thing is a kind of object	nongold
13	a prairie dog is a kind of animal	nongold
14	a learned characteristic is a kind of acquired characteristic	nongold
15	answering questions requires information	nongold
16	animal instinct means instinctive behavior	nongold
17	social behavior is a kind of learned behavior	nongold
18	an animal knows how to do  instinctive behaviors when it is born	nongold
19	a human is a kind of animal	nongold
20	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
21	a cat is a kind of animal	nongold
22	trait is synonymous with characteristic	nongold
23	following orders is a learned characteristic	gold
24	dogs can hear  sounds with higher frequency  than human can	nongold
25	trait means property	nongold
26	intelligence is an acquired characteristic	nongold
27	a puppy is a young; baby dog	nongold
28	locomotion is a generally learned behavior	nongold
29	animals learn some behaviors from watching their parents	nongold
30	a dog weighs, on average 32 kg	nongold
31	some dogs are trained to bark; to scratch at the door when they want to go outside	nongold
32	doing something more is a kind of conditioned behavior	nongold
33	arrival is a kind of movement	nongold
34	an organism is a living thing	nongold
35	best means most positive	nongold
36	a cat is a kind of mammal	nongold
37	learning; studying information causes one to know that information	nongold
38	using tools is a learned characteristic	nongold
39	instruction is a kind of information	nongold
40	returning is similar to bringing	nongold
41	an event is a kind of action	nongold
42	howling is a kind of behavior	nongold
43	rolling in mud is a learned behavior	nongold
44	action means activity	nongold
45	a trick is a learned behavior	nongold
46	determining is similar to learning	nongold
47	fur is often part of an animal	nongold
48	fur is usually part of a mammal	nongold
49	sense is a kind of characteristic of an animal	nongold
50	can be means able to be	nongold
51	aspect of something is similar to part of something	nongold
52	ability is a kind of characteristic	nongold
53	a cat is a kind of carnivore	nongold
54	high is similar to increase	nongold
55	bringing is a kind of action	nongold
56	human is a kind of organism	nongold
57	a motion is a kind of event; action	nongold
58	curiosity is a kind of human quality	nongold
59	learned behaviors are learned over the  lifetime of the animal	nongold
60	a component of something means a part of that something	nongold
61	speaking is a kind of communication	nongold
62	a type is synonymous with a kind	nongold
63	a structure of something is synonymous with a part of that something	nongold
64	an inherited characteristic is a kind of characteristic	nongold
65	food is a kind of object	nongold
66	learning about something sometimes requires observing that something	nongold
67	coat means fur coat	nongold
68	a part of something means a characteristic of something	nongold
69	begging for food is a kind of conditioned behavior	nongold
70	where something  comes from is a source of that something	nongold
71	a plant is a kind of organism	nongold
72	personality is an acquired characteristic	nongold
73	senses are an inherited characteristic	nongold
74	to act on means to affect	nongold
75	better means good	nongold
76	a component means a part of	nongold
77	motion is when moves an object; something to a direction	nongold
78	form means kind	nongold
79	characteristic means property	nongold
80	the color of; coloration of fur is an inherited characteristic	nongold
81	an ear is a kind of body part	nongold
82	talking is when a human produces sound to communicate	nongold
83	an object is made of its parts	nongold
84	a demonstration is similar to an example	nongold
85	a plant is a kind of living thing	nongold
86	preferences are generally learned characteristics	nongold
87	hearing is a kind of sense	nongold
88	person is synonymous with human	nongold
89	an adaptation is a kind of characteristic	nongold
90	sound can be used for communication by animals	nongold
91	to cause is similar to bring	nongold
92	affected means changed	nongold
93	a predator avoiding some types of prey is a learned behavior	nongold
94	performance is similar to ability	nongold
95	event is similar to occurrence	nongold
96	to impact means to affect	nongold
97	a process is a kind of event	nongold
98	impact means effect	nongold
99	knowing sometimes requires determing	nongold
