Question	Which of the following actions is most likely part of a test to find the hardness of a mineral sample?	question
Answer	scratching the sample with a nail	answer
0	a nail is a kind of object	nongold
1	measuring the hardness of minerals requires  scratching those materials	gold
2	if a mineral can be scratched by a fingernail then that mineral is soft	nongold
3	a motion is a kind of event; action	nongold
4	an event is a kind of action	nongold
5	if one mineral can scratch another mineral then that other mineral is softer than that one mineral	nongold
6	hardness is a measure of a mineral's ability to resist scratching	nongold
7	a mineral is a kind of object	nongold
8	to scrape means to scratch	nongold
9	if a material scratches easily then that material has low hardness	nongold
10	action means activity	nongold
11	a mineral is a kind of solid; natural material	nongold
12	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
13	brushing is a kind of action	nongold
14	actions mean behavior	nongold
15	rubbing  is a kind of motion	nongold
16	testing often requires measuring	gold
17	experiment is synonymous with test	nongold
18	a surface is a part of a material	nongold
19	to discover means to find	nongold
20	a surface is a part of an object	nongold
21	a tool is a kind of object	nongold
22	placing is a kind of action	nongold
23	rock is a kind of material	nongold
24	scraping an object may cause small particles to break off of that object	nongold
25	soft is a kind of hardness	nongold
26	testing the streak of a mineral requires the powdered form of that mineral	nongold
27	revolving is a kind of action	nongold
28	action can cause change	nongold
29	a surface is a kind of object	nongold
30	a rock is a kind of object	nongold
31	forming is a kind of action	nongold
32	sample is similar to small amount of substance; matter	nongold
33	hardness is an intensive property	nongold
34	friction occurs when two object's surfaces move against each other	nongold
35	a scratch is a kind of wound	nongold
36	if an object is made of a material then that object has the properties of that material	nongold
37	material means substance	nongold
38	nails are often made of iron	nongold
39	concluding is a kind of action	nongold
40	a hand is a kind of object	nongold
41	rock is made of minerals	nongold
42	bringing is a kind of action	nongold
43	process is similar to method	nongold
44	hardness is a kind of physical property	nongold
45	passing is a kind of action	nongold
46	friction acts to counter the motion of two objects when their surfaces are touching	nongold
47	a process is a kind of event	nongold
48	a finger is a part of a hand	nongold
49	to happen means to occur	nongold
50	experimentation requires measuring	nongold
51	laying down is a kind of action	nongold
52	trial is synonymous with test	nongold
53	becoming is a kind of action	nongold
54	following an order means performing an action on command	nongold
55	instrument means tool	nongold
56	something that happens is a kind of event	nongold
57	to detect means to find	nongold
58	an part of an object is smaller than the entire object	nongold
59	friction causes the temperature of an object to increase	nongold
60	can be means able to be	nongold
61	a living thing is a kind of object	nongold
62	a hand is a part of the body	nongold
63	answering questions requires information	nongold
64	flowing is a kind of action	nongold
65	burning is a kind of action	nongold
66	recycling is a kind of action	nongold
67	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
68	discarding is a kind of action	nongold
69	a type is synonymous with a kind	nongold
70	dissolving is a kind of action	nongold
71	an organism eating is a kind of action	nongold
72	an object has properties	nongold
73	seeking something means trying to find; searching for something	nongold
74	the function of something is what that something  is used to do	nongold
75	often is similar to likely	nongold
76	iron nails are made of iron	nongold
77	leaving something on is a kind of action	nongold
78	sitting is a kind of action	nongold
79	form means kind	nongold
80	high is similar to increase	nongold
81	rubbing against something is a kind of contact	nongold
82	to produce means to result in	nongold
83	result means outcome	nongold
84	objects are made of materials; substances; matter	nongold
85	to rub; to rub together means to move against	nongold
86	examining sometimes requires measuring	nongold
87	to cause means to result in	nongold
88	rolling over is a kind of action	nongold
89	determining often requires measuring; observing	nongold
90	affected means changed	nongold
91	an animal is a kind of living thing	nongold
92	if something performs a task then that task is that something's function	nongold
93	when a mineral is rubbed on a streak plate , some of the material breaks off and forms a powder	nongold
94	examining is a kind of process	nongold
95	best means most positive	nongold
96	unit is similar to part	nongold
97	to act on means to affect	nongold
98	high-quality means positive	nongold
99	to add means to increase	nongold
