Question	All the ponds in an area dried up during a drought. The population of which of the following animals that live in the area is most affected by the drought?	question
Answer	frog	answer
0	some frogs live in ponds	nongold
1	a frog is a kind of aquatic animal	gold
2	a pond is a kind of body of water	gold
3	drought means available water decreases in an environment	gold
4	drying up means losing all water	gold
5	a frog is a kind of animal	nongold
6	causing is a kind of affecting	nongold
7	to impact means to affect	gold
8	a pond is a kind of environment	nongold
9	a drought occurs over a period of months; years	nongold
10	aquatic animals; plants live in bodies of water	gold
11	a frog is a kind of amphibian	nongold
12	a frog is an adult form of a frog	nongold
13	a drought is a kind of natural event	nongold
14	drought is when amount of precipitation decreases	nongold
15	a drought is a kind of natural disaster	nongold
16	a drought is a kind of slow environmental change	nongold
17	aquatic animal means water animal	gold
18	animals; living things require water for survival	nongold
19	an aquatic animal is a kind of animal	nongold
20	a pond is a kind of habitat	nongold
21	harming an animal species causes that animal's population to decrease	nongold
22	drying means amount of water; amount of liquid; wetness decreases	gold
23	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
24	harming an animal species has a  negative impact on the population size of that species	nongold
25	harming something has a  negative impact on; effect on that something	gold
26	an environment means an area	gold
27	if something affects a part of something else then that something affects that something else	nongold
28	as water increases in an environment , the population of aquatic animals will increase	nongold
29	population is a measure of the number of a species in an environment	nongold
30	a frog eats insects	nongold
31	an animal is a member of an animal species	nongold
32	a population is made of one type of organism in an area	nongold
33	if an organism dies then the population of that organism will decrease	nongold
34	affected means changed	nongold
35	an organism is a living thing	nongold
36	impact means effect	nongold
37	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
38	a pond is smaller; shallower than a lake	nongold
39	harming an environment causes harm to the living things; to the organisms in that environment	nongold
40	negative impact is the opposite of positive impact	nongold
41	an animal is a kind of living thing	nongold
42	an animal; living thing requires nutrients for survival	nongold
43	negative impacts on a species will decrease populations of a species	nongold
44	organisms; living things live in their habitat; their home	nongold
45	an animal is a kind of organism	nongold
46	to reduce means to decrease	nongold
47	the  mature form of a frog is called a frog	nongold
48	as the available water in an environment increases , the populations of organisms in that environment will increase	nongold
49	an ecosystem contains a large community of; large numbers of living organisms	nongold
50	water is a part of an environment	nongold
51	life means living things	nongold
52	affecting an organism's niche means affecting that organism	nongold
53	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
54	organisms are a part of an environment	nongold
55	a body of water is a kind of environment	nongold
56	to cause means to have an effect	nongold
57	an increase is the opposite of a decrease	nongold
58	animals; living things live and feed in their habitats; near their habitats	gold
59	a plant is a kind of organism	nongold
60	a reptile is a kind of animal	nongold
61	a plants; living things require water for survival; to grow	nongold
62	if members of a species are born; survive then the population of that species increases	nongold
63	as the cause of something decreases , that something will decrease	nongold
64	less is similar to decrease	nongold
65	a plant is a kind of living thing	nongold
66	organisms mean life	nongold
67	loss of resources has a negative impact on  the organisms in an area	nongold
68	a dry environment is low in availability of water	nongold
69	to lower means to decrease	nongold
70	if the population of an animal decreases then that animal may no longer be found in that place	nongold
71	low is similar to decrease	nongold
72	as available water decreases , the population of plants will decrease	nongold
73	an amphibian is a kind of animal	nongold
74	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
75	if a living thing requires something then that something has a positive impact on that living thing	nongold
76	a negative impact is a kind of consequence; risk	nongold
77	carnivores; omnivores; herbivores are a kind of animal	nongold
78	a plant is a member of a plant species	nongold
79	positive impacts on a species will increase populations of a species	nongold
80	survive means live	nongold
81	survive means live	nongold
82	freshwater is a kind of water	nongold
83	if a living thing dies then that living thing is dead	nongold
84	if an animal cannot fly; climb then that animal will be more affected by a flood	nongold
85	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
86	as the population of an animal decreases , the population of that animal's source of food will decrease	nongold
87	nonliving; non-living; die is the opposite of living; alive; live	nongold
88	all living things have life cycles	nongold
89	to be affected by something is similar to depending on something	nongold
90	decreasing something negative has a positive impact on a thing	nongold
91	the temperature; pH of water has an impact on the health of that water	nongold
92	a mammal is a kind of animal	nongold
93	as the supply of food in an environment decreases , the population of animals in that environment will decrease	nongold
94	adverse effect means negative impact	nongold
95	decreasing something positive has a negative impact on a thing	nongold
96	a wetland is a kind of ecosystem	nongold
97	an animal requires a habitat for survival	nongold
98	if something is required for a process then that something positively impacts that process	nongold
99	if something is made by something else then that something is affected by that something else	nongold
