Question	Kevin is observing the sky on a clear night. With the unaided eye he is able to see Venus, Mars, Jupiter, and Saturn. Why would Venus appear to be brighter than the other planets?	question
Answer	It reflects the most sunlight toward Earth.	answer
0	Jupiter is a kind of planet	gold
1	Jupiter is a kind of outer planet	nongold
2	Venus reflects more sunlight toward Earth than other planets	gold
3	Earth is a planet that is closer to the  Sun than Jupiter	nongold
4	if an object reflects light toward the eye then that object can be seen	nongold
5	Venus is a kind of planet	gold
6	Saturn is a kind of planet	gold
7	Mars is a kind of planet	gold
8	planets reflect the light of the sun	gold
9	Jupiter is the planet that is fifth closest to the Sun	gold
10	Venus is closer to the sun than Earth	nongold
11	a planet is a kind of celestial object; body	nongold
12	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
13	Mars is a kind of inner planet	nongold
14	if an object reflects more light then that object is more easily seen	nongold
15	the sun is a source of light; light energy called sunlight	nongold
16	Earth is a kind of planet	nongold
17	the sun is the source of solar energy called sunlight	nongold
18	as the light reflected off of an object increases , the object will appear to be brighter	gold
19	Saturn is the planet that is sixth closest to the Sun	gold
20	increase means more	nongold
21	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
22	sunlight means solar energy	nongold
23	sunlight is a kind of solar energy	nongold
24	an increase is the opposite of a decrease	nongold
25	brighter means higher; greater in brightness	nongold
26	Venus is the planet that is second closest to the  Sun	nongold
27	a star is a kind of celestial object; celestial body	nongold
28	sunlight is a kind of light	nongold
29	brightness means amount of light	nongold
30	intensity of sunlight is similar to amount of sunlight	nongold
31	as a source of light becomes closer , that source will appear brighter	gold
32	toward is the opposite of away	nongold
33	reflection is when light is reflected from one object; one place to  another object; another place	nongold
34	the asteroid belt is located between Mars and Jupiter	nongold
35	less is similar to decrease	nongold
36	the Sun is a kind of star	nongold
37	an increase is a kind of change	nongold
38	when sunlight strikes something , that something receives sunlight	nongold
39	less is the opposite of more	nongold
40	viewing means observing light	nongold
41	sunshine means sunlight	nongold
42	as the size of a source of light increases , that source of light will appear brighter	nongold
43	less means a reduced amount	nongold
44	eyes can sense;detect light energy for seeing	nongold
45	a star produces light and heat	nongold
46	the moon reflects sunlight towards the Earth	nongold
47	to add means to increase	nongold
48	solar energy is a kind of light	nongold
49	a star is usually larger than a planet	nongold
50	Venus has moon-like phases	nongold
51	eyes are used for seeing by animals by sensing light	nongold
52	seeing is used for sensing visual things	nongold
53	a decrease is a kind of change	nongold
54	greater means higher; more in value	nongold
55	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
56	if an object reflects a light of a certain color then the object appears to be that color	nongold
57	high is similar to increase	nongold
58	the Sun has average brightness compared to other stars	nongold
59	closer means lower; less; a decrease in distance	nongold
60	low is similar to decrease	nongold
61	towards means closer to something	nongold
62	brightness is a property of a light source	nongold
63	largest amount means most	nongold
64	observe means see	nongold
65	sight means to see	nongold
66	eyes are a part of a human for seeing	nongold
67	the sun is not a star in the night sky	nongold
68	seeing requires light	nongold
69	the Sun is the  star that is closest to Earth	nongold
70	Mars is the planet that is fourth closest to the  Sun	gold
71	brightness is a kind of property	nongold
72	bright means a lot of light	nongold
73	if something emits something else then that something increases the amount of that something else	nongold
74	light reflecting off of an object causes that object to be visible to the observer	nongold
75	to see means to look	nongold
76	the sunlight occurs during the day	nongold
77	darker objects absorb more light than light colored objects	nongold
78	eyes are usually part of an animal for seeing	nongold
79	sunlight produces heat	nongold
80	how something  appears is how that something  looks	nongold
81	Earth is greater in mass than Mars	nongold
82	to lower means to decrease	nongold
83	a planet is a kind of location	nongold
84	looking is similar to observing	nongold
85	to reduce means to decrease	nongold
86	to reflect light means to scatter light	nongold
87	as distance from an object decreases , that object will appear larger	nongold
88	bright means bright; light in color	nongold
89	as distance from a source of something increases , that something will decrease	nongold
90	appearing is similar to seeming	nongold
91	can be means able to be	nongold
92	furthest; farthest means greatest; most; highest in distance	nongold
93	being in the sun is synonymous with being in the sunlight	nongold
94	sight is a kind of sense	nongold
95	if something is outside during the day , then that something will reflect enough light to be seen	nongold
96	receiving sunlight  is synonymous with absorbing sunlight	nongold
97	light means light energy	nongold
98	the sun is a source of radiation; heat called sunlight	nongold
99	to be in the sun means to be in the sunlight	nongold
