Question	Which characteristic is shared by Earth and the Moon?	question
Answer	an orbit created by the force of gravity	answer
0	orbit is a kind of characteristic	nongold
1	the moon orbits the Earth	gold
2	moons orbit planets	nongold
3	planets orbit stars	nongold
4	what an object is made of is a kind of characteristic	nongold
5	Earth is a kind of planet	nongold
6	the Moon is Earth's moon	nongold
7	a part of something means a characteristic of something	nongold
8	characteristic means property	nongold
9	feature is synonymous with characteristic	nongold
10	trait is synonymous with characteristic	nongold
11	revolving  around something means orbiting that something	gold
12	a moon is a kind of celestial object; body	nongold
13	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
14	gravity causes orbits	gold
15	a planet is a kind of celestial object; body	nongold
16	gravity is a kind of force	gold
17	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
18	moons are large; solid; spherical	nongold
19	trait means property	nongold
20	orbiting is a kind of action	nongold
21	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
22	a structure is a kind of feature	nongold
23	an inherited characteristic is a kind of characteristic	nongold
24	if two objects are similar , then the two objects share properties	nongold
25	all planets orbit the sun in the same direction	nongold
26	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
27	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
28	orbit means orbital path	nongold
29	personality is an acquired characteristic	nongold
30	the moon's orbit is elliptical	nongold
31	the Earth revolves around the sun	gold
32	planets in the solar system orbit the Sun	nongold
33	different celestial body has different gravity	nongold
34	a function is a kind of characteristic	nongold
35	a learned characteristic is a kind of acquired characteristic	nongold
36	to impact means to affect	nongold
37	the moon orbiting the Earth occurs approximately 13 times per year	nongold
38	sense is a kind of characteristic of an animal	nongold
39	type of moon; kind of moon means moon phase	nongold
40	opposite is a kind of different	nongold
41	the shape of body parts is an inherited characteristic	nongold
42	astronomy is the study of celestial (objects, bodies)	nongold
43	a behavior is a kind of characteristic	nongold
44	both means two	nongold
45	the Sun is a kind of star	nongold
46	the  property of something is the same for the things of same kind	nongold
47	to cause means to have an effect	nongold
48	different is the opposite of the same	nongold
49	a moon is a kind of satellite	nongold
50	if two things have the same features then those two things are alike	nongold
51	the size of an organism is an inherited characteristic	nongold
52	the condition of parts of an organism are acquired characteristics	nongold
53	shape is a kind of characteristic	nongold
54	affected means changed	nongold
55	similarity means the same property	nongold
56	the moon rotates on its axis	nongold
57	the effects of something is a property of that something	nongold
58	inherited characteristics are a kind of hereditary information	nongold
59	communicating means sharing information	nongold
60	a star is a kind of celestial object; celestial body	nongold
61	high is similar to increase	nongold
62	senses are an inherited characteristic	nongold
63	species is an inherited characteristic	nongold
64	a type of something is a kind of property of that something	nongold
65	if something is not the same as something else then that something is different from that something else	nongold
66	impact means effect	nongold
67	to increase is similar to to create	nongold
68	a property of something is a feature of that something	nongold
69	to change means to become different	nongold
70	if something changes , then that something is not the same	nongold
71	to vary means to differ	nongold
72	the length of body parts is an inherited characteristic	nongold
73	a planet's  moon is smaller than that planet	nongold
74	if two things perform the same function then those two things are similar	nongold
75	answering questions requires information	nongold
76	causing is a kind of affecting	nongold
77	to be characterized by  a property means to have that property	nongold
78	an orbit is a kind of regular path	nongold
79	if something has no impact on something else then that something else stays the same	nongold
80	the moon orbiting the Earth occurs once per month	nongold
81	the number of body parts of an organism is an inherited characteristic	nongold
82	if two things are made from the same objects; material then those two things are similar	nongold
83	the earth has more mass than the moon	nongold
84	Earth is made of rock	nongold
85	surface type is a kind of characteristic	nongold
86	to be made of something means to be formed of that something	nongold
87	an event is a kind of action	nongold
88	something being independent of something means that thing is not affected by that something	nongold
89	not is similar to the opposite of	nongold
90	to change means to have an effect	nongold
91	an animal is a kind of living thing	nongold
92	the properties of something are used for describing that something	nongold
93	planets have cleared their orbits	nongold
94	an object is made of its parts	nongold
95	a motion is a kind of event; action	nongold
96	ability is a kind of characteristic	nongold
97	a structure of something is synonymous with a part of that something	nongold
98	preferences are generally learned characteristics	nongold
99	unique  is the opposite of diverse	nongold
