Question	Which of the following properties of a substance is conserved during thermal expansion?	question
Answer	mass	answer
0	thermal expansion is a property of matter and includes ordered values of high; low	nongold
1	increasing heat causes thermal expansion	gold
2	thermal expansion is a kind of physical property	nongold
3	to conserve means to not change	gold
4	mass is a property of objects; matter	nongold
5	temperature is a measure of heat energy	gold
6	as state of matter changes , mass will not change	nongold
7	temperature changing does not cause mass to change	gold
8	mass is a kind of physical property	nongold
9	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
10	heat energy is synonymous with thermal energy	nongold
11	mass is a measure of the amount of matter in an object	nongold
12	expand is a kind of change	nongold
13	heat means temperature increases	nongold
14	heat means heat energy	gold
15	matter; energy is always conserved in any physical or chemical process	nongold
16	to add means to increase	nongold
17	material means substance	nongold
18	if  a  material is heated , then the  material will expand	nongold
19	phase changes do not change mass	nongold
20	expand means increase in volume	nongold
21	expand is a kind of change in volume	nongold
22	objects are made of materials; substances; matter	nongold
23	mass has no impact on boiling; melting; freezing point	nongold
24	an increase is a kind of change	gold
25	mass; weight is a property of matter; objects; materials	gold
26	a physical property is a kind of property	nongold
27	state of matter at room temperature is a kind of physical property	nongold
28	density is a measure of mass of an object over volume; divided by volume	nongold
29	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
30	conductivity is a property of a material; substance	nongold
31	liquid is a kind of state of matter	nongold
32	adding heat means increasing temperature	nongold
33	substances are made of matter	gold
34	a decrease is a kind of change	nongold
35	heating means adding heat	nongold
36	affected means changed	nongold
37	a liquid is a kind of substance	nongold
38	to reduce means to decrease	nongold
39	to lower means to decrease	nongold
40	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
41	as the heat  of an object increases , the mass of the object will stay the same	nongold
42	liquids expand more than solids when heated	nongold
43	variable means able to change	nongold
44	if the volume of a substance; of a matter expands while the mass remains the same , then the molecules in that substance; matter move farther apart	nongold
45	ability to undergo a phase change is a property of a substance; material	nongold
46	an object has properties	nongold
47	if gas is heated then that gas will expand; rise	nongold
48	heat means the transfer of thermal energy	nongold
49	a  chemical property is a kind of  property	nongold
50	as the temperature of something increases , the intensive properties of that something will not change	nongold
51	temperature is an intensive property	nongold
52	density is a kind of physical property	nongold
53	a solid is a kind of substance	nongold
54	to limit means to decrease	nongold
55	high is similar to increase	nongold
56	state of matter is a kind of physical property	nongold
57	conductivity is a kind of physical property	nongold
58	volume is a property of matter	nongold
59	mass; weight is an extensive property	nongold
60	to retain means to not change	nongold
61	solid is a kind of state of matter	nongold
62	temperature changing can cause volume of the object to change	nongold
63	change is a kind of impact	nongold
64	materials are made of matter	nongold
65	increase means more	nongold
66	the heat energy in the cooler object increases in thermal conduction	nongold
67	an increase is the opposite of a decrease	nongold
68	to maintain means to not change	nongold
69	an air mass has similar temperature and moisture throughout it	nongold
70	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
71	if an object is made of a material then that object has the properties of that material	nongold
72	adding something is a kind of change	nongold
73	a phase change is a kind of physical change	nongold
74	as the mass of an object increases , the density of that object will increase	nongold
75	water is an thermal; thermal energy conductor	nongold
76	the effects of something is a property of that something	nongold
77	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
78	gas is a kind of state of matter	nongold
79	as amount; size of something increases , the intensive properties of that something will not change	nongold
80	to impact means to affect	nongold
81	loss is a kind of change	nongold
82	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
83	air mass means a volume of air	nongold
84	a chemical property is the opposite of a physical property	nongold
85	moisture is a property of air mass and includes ordered values of dry; humid	nongold
86	material composition is a kind of chemical property	nongold
87	can be means able to be	nongold
88	water is a kind of liquid at room temperature	nongold
89	extreme means very high in value	nongold
90	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
91	as a substance dissolves in water , the mass of the substance will stay the same	nongold
92	a source of something emits; produces; generates; provides that something	nongold
93	less is similar to decrease	nongold
94	a type of something is a kind of property of that something	nongold
95	heat energy can change the state of matter	nongold
96	as the specific heat of a material decreases , the temperature of the material will increase given the same amount of energy	nongold
97	structure is a property of an object; a material; a substance	nongold
98	a component means a part of	nongold
99	made up of means contains; made of	nongold
