Question	What type of energy travels through the body of a microscope that allows the specimen to be seen by a student?	question
Answer	light	answer
0	a microscope is a kind of tool for observing small things	nongold
1	microscope is used to see small things; microscopic things; specimens by biologists by making them appear bigger	gold
2	a type is synonymous with a kind	gold
3	a student is a kind of human	gold
4	light means light energy	gold
5	viewing means observing light	nongold
6	a type of something is a kind of property of that something	nongold
7	if something is visible , then that something can be observed	nongold
8	if an object reflects light toward the eye then that object can be seen	nongold
9	to see means to look	nongold
10	to view means to see	nongold
11	look at means observe	nongold
12	visible means able to be seen	nongold
13	seeing requires light	nongold
14	an electron microscope is used for seeing very small objects by making them appear bigger	nongold
15	light is a kind of energy	gold
16	light is a kind of energy	nongold
17	light reflecting off of an object causes that object to be visible to the observer	nongold
18	observe means see	nongold
19	eyes can sense;detect light energy for seeing	gold
20	to be used for is similar to allowing	nongold
21	a vehicle for something allows; enables that something to occur	nongold
22	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
23	optical tools are used for observing materials up close; in greater detail	nongold
24	seeing is used for sensing visual things	nongold
25	an electron microscope creates a picture	nongold
26	eyes are used for seeing by animals by sensing light	nongold
27	studying  something usually requires seeing that something	nongold
28	sight means to see	nongold
29	to enable means to allow	nongold
30	light is a kind of wave	nongold
31	microscopic means very small in size	nongold
32	visible light is a kind of  light	nongold
33	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
34	a human is a kind of animal	gold
35	looking is similar to observing	nongold
36	travel means to move	nongold
37	a magnifying glass is a kind of tool for observing small things	nongold
38	causing is similar to allowing	nongold
39	magnifying glass is used to see  small things by making objects appear bigger	nongold
40	if something is required for something else then that something allows that something else	nongold
41	visible light is able to be seen without using equipment	nongold
42	sunlight is a kind of light	nongold
43	if an object reflects more light then that object is more easily seen	nongold
44	to reflect light means to scatter light	nongold
45	media; medium means the material something travel through	nongold
46	observable means visible	nongold
47	eyes are a part of a human for seeing	nongold
48	refraction is when light passes from one medium to another medium	nongold
49	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
50	image means visual depiction of an object	nongold
51	human eyes can only see light in the range of visible light	nongold
52	moving is similar to travelling	nongold
53	different types of light have different wavelengths	nongold
54	An example of observing things is taking a picture	nongold
55	reflecting light; sound is the opposite of absorbing light; sound	nongold
56	light is a kind of electromagnetic radiation	nongold
57	reflection is when light is reflected from one object; one place to  another object; another place	nongold
58	UV light is a kind of light	nongold
59	light enters the eye through the pupil	nongold
60	an animal is a kind of living thing	nongold
61	inventing a tool allows; enables that tool to be used	nongold
62	eyes are usually part of an animal for seeing	gold
63	a surface is a part of an object	nongold
64	lab equipment is often used for measuring; observing	nongold
65	a source of something emits; produces; generates; provides that something	nongold
66	solar energy is a kind of light	nongold
67	a living thing is a kind of object	nongold
68	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
69	to get a better look at means to see better	nongold
70	a convex lens causes light to refract and concentrate to magnify distant objects	nongold
71	instrument means tool	nongold
72	a body part is a kind of object	nongold
73	an animal is a kind of organism	nongold
74	the eyes are part of the head used for seeing	nongold
75	waves can travel through matter	nongold
76	measuring is a kind of observing	nongold
77	to illuminate means to light up	nongold
78	not visible means cannot be seen	nongold
79	light comes to the focal point after passing the convex lens	nongold
80	objects are made of materials; substances; matter	nongold
81	a surface is a kind of object	nongold
82	an part of an object is smaller than the entire object	nongold
83	room contains walls	nongold
84	refraction is a property of light	nongold
85	an image transmits visual information	nongold
86	a human hand is large enough to be visible	nongold
87	if an object is in the light then that object is blocking the light	nongold
88	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
89	an instrument is a piece of equipment	nongold
90	heat is a kind of energy	nongold
91	detecting is similar to observing	nongold
92	an x ray is a kind of electromagnetic energy	nongold
93	can be means able to be	nongold
94	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
95	a white object reflects all visible light	nongold
96	electromagnetic energy is a kind of energy	nongold
97	studying is similar to observing	nongold
98	to pass means to travel	nongold
99	inspect; observe means examine	nongold
