Question	Which of these is most likely caused by the action of water, wind, and animals?	question
Answer	erosion	answer
0	wind causes erosion	nongold
1	wind and rain; storms cause erosion	nongold
2	soil erosion means soil loss through wind;water; animals	gold
3	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
4	action can cause change	nongold
5	a motion is a kind of event; action	nongold
6	erosion is a kind of change	nongold
7	weathering is a kind of erosion	nongold
8	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	gold
9	an animal is a kind of living thing	nongold
10	erosion is a kind of destructive force	nongold
11	erosion is a kind of process	nongold
12	erosion usually causes harm to the environment	nongold
13	weathering; erosion usually occurs over a period of many years	nongold
14	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
15	an animal is a kind of organism	nongold
16	flowing is a kind of action	nongold
17	weather is a source of wind and water for the weathering process	nongold
18	action means activity	nongold
19	an event is a kind of action	nongold
20	water causes the most soil and rock erosion	nongold
21	rain causes erosion	nongold
22	soil erosion is a kind of slow; natural process	nongold
23	forming is a kind of action	nongold
24	soil erosion is a kind of event	nongold
25	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
26	erosion of soil has a  negative impact on the environment; soil quality	nongold
27	overgrazing increases soil erosion	nongold
28	erosion; storms can cause a landslide	nongold
29	to wash away is a kind of movement by moving water	nongold
30	a body of water is a kind of environment	nongold
31	actions mean behavior	nongold
32	dissolving is a kind of action	nongold
33	wind means moving air	nongold
34	to cause means to have an effect	nongold
35	water is a part of an environment	nongold
36	erosion sometimes decreases the amount of nutrients in soil	nongold
37	to be a source of something means to cause that something	nongold
38	An example of movement is washing away	nongold
39	a body of water is a source of water	nongold
40	a human is a kind of animal	nongold
41	erosion causes deposition	nongold
42	wind   is a kind of airflow	nongold
43	In the erosion process roots of plants are an inhibitor	nongold
44	flowing is a kind of motion	nongold
45	rainwater is a kind of water	nongold
46	erosion causes a river to become deeper and wider	nongold
47	a landform is a kind of natural formation	nongold
48	the wind causes the surface of the water to change its direction toward the direction of the wind	nongold
49	tree roots reduce soil erosion	nongold
50	landform means surface feature; physical feature; land feature	nongold
51	becoming is a kind of action	nongold
52	natural events usually cause changes to Earth's surface	nongold
53	waves are made of moving water	nongold
54	an ocean contains waves	nongold
55	the wind blowing across the surface of ocean causes wind-water interaction	nongold
56	impact means effect	nongold
57	causing is a kind of affecting	nongold
58	damage means harm	nongold
59	soil is usually part of an environment	nongold
60	an aquatic animal is a kind of animal	nongold
61	revolving is a kind of action	nongold
62	water is a kind of natural resource	nongold
63	water is a kind of natural resource	nongold
64	weathering is a kind of process	nongold
65	to cause something means to contribute to that something happening	nongold
66	a river is a kind of flowing body of water	nongold
67	a component means a part of	nongold
68	storm is a kind of weather; weather event	nongold
69	aquatic animal means water animal	nongold
70	due to means caused by	nongold
71	animals; living things require water for survival	nongold
72	movement is a kind of change	nongold
73	an ocean is a kind of body of water	nongold
74	bringing is a kind of action	nongold
75	storms;rain cause bodies of water to increase amount of water they contain	nongold
76	rain is a kind of water	nongold
77	water is a kind of object	nongold
78	soil is formed by rocks eroding	nongold
79	a shore is the land found at the edge of a body of water	nongold
80	soil is formed by weathering	nongold
81	change is a kind of impact	nongold
82	water is a kind of substance	nongold
83	often is similar to likely	nongold
84	the effects of something is a property of that something	nongold
85	affected means changed	nongold
86	a tide is a kind of natural event	nongold
87	a floodplain is a kind of land; landform	nongold
88	to change means to cause a change	nongold
89	causing means influencing	nongold
90	organisms are a part of an environment	nongold
91	a landslide is a kind of natural event	nongold
92	a riverbed is a part of a river	nongold
93	weathering occurs at the surface of the Earth	nongold
94	runoff is a kind of water	nongold
95	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
96	a landform is a kind of object	nongold
97	a body of water contains water	nongold
98	land is a kind of landform	nongold
99	laying down is a kind of action	nongold
