Question	Water at 20°C in an uncovered pan is evaporating very slowly. What could be done to the water to make it evaporate more quickly?	question
Answer	Heat it.	answer
0	a pan is a kind of object	nongold
1	a pan;frying pan is a kind of container for cooking; food	nongold
2	rapidly means quickly	nongold
3	fast means quickly	nongold
4	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
5	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
6	as the temperature of a liquid increases , that liquid will evaporate quicker	gold
7	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
8	temperature is a measure of heat energy	gold
9	heating means adding heat	gold
10	quickly means in a short period of time	nongold
11	the heat energy in the cooler object increases in thermal conduction	nongold
12	water is an thermal; thermal energy conductor	nongold
13	if one surface; one substance; one object touches something then one is exposed to that something	nongold
14	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
15	water is a kind of liquid at room temperature	gold
16	water is a kind of substance	nongold
17	heat energy is synonymous with thermal energy	nongold
18	adding heat means increasing temperature	gold
19	when a cooler object touches a warmer object , thermal conduction occurs	nongold
20	pot;pan;frying pan is made of metal for cooking	nongold
21	heat means heat energy	gold
22	a liquid is a kind of substance	nongold
23	metal is a thermal; thermal energy conductor	nongold
24	to add means to increase	nongold
25	evaporation is a kind of process	nongold
26	heat means temperature increases	nongold
27	to slow; to slow down decreases speed	nongold
28	being  on something; placed in something; placed over something means touching  that something	nongold
29	heat energy  can be used to heat up  an object	nongold
30	if an object is made of a material then that object has the properties of that material	nongold
31	gas is a kind of material	nongold
32	increase means more	nongold
33	a container contains objects; material; substances	nongold
34	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
35	material means substance	nongold
36	a container is a kind of object	nongold
37	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
38	a source of something emits; produces; generates; provides that something	nongold
39	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
40	thermal conduction is when heat flows from warmer object to cooler object	nongold
41	if a container contains something then that container touches that something	nongold
42	a hot; warm something is a source of heat	nongold
43	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
44	a liquid is a kind of fluid	nongold
45	hot means high in heat energy; temperature	nongold
46	a thermal conductor is made of materials that conduct thermal energy	nongold
47	water is a kind of object	nongold
48	a source of heat can be used to heat something	nongold
49	a source of heat can be used to heat something	nongold
50	moisture means liquid; liquid water	nongold
51	to give off means to be the source of	nongold
52	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
53	gas is a kind of substance	nongold
54	if liquid is boiling then that liquid is hot	nongold
55	conductivity is a property of a material; substance	nongold
56	a surface is a part of a material	nongold
57	adding heat to an object sometimes causes chemical reactions	nongold
58	if heat is conducted to an object then that object will become hot	nongold
59	an increase is the opposite of a decrease	nongold
60	gas is a kind of object	nongold
61	evaporating is a kind of phase change	nongold
62	to reduce means to decrease	nongold
63	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
64	as the temperature of a liquid increases , the rate of evaporation of that liquid will increase	nongold
65	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
66	high is similar to increase	nongold
67	conduction is a kind of process	nongold
68	a hot substance is a source of heat	nongold
69	boiling is when liquids are heated above their boiling point	nongold
70	a surface is a part of an object	nongold
71	an part of an object is smaller than the entire object	nongold
72	to lower means to decrease	nongold
73	evaporation causes amount of water to decrease	nongold
74	if heat is added to a substance then that substance absorbs that heat	nongold
75	an increase is a kind of change	nongold
76	a hot plate is a source of heat	nongold
77	if something is places over a heat source then that something is exposed to that heat source	nongold
78	to be used for something means to be required by that something	nongold
79	metal is a kind of material	nongold
80	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
81	objects are made of materials; substances; matter	nongold
82	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
83	a burner is a kind of object; surface	nongold
84	fast is the opposite of slow	nongold
85	if something emits something else then that something increases the amount of that something else	nongold
86	a reaction is a kind of process	nongold
87	to cause means to make	nongold
88	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
89	to emit means to release	nongold
90	if an object is hot then the surfaces of that object are hot	nongold
91	make means produce	nongold
92	evaporation is a stage in the water cycle process	nongold
93	can be means able to be	nongold
94	faster means an increase; higher in speed	nongold
95	solar energy is a kind of heat energy	nongold
96	evaporation is when water is drawn back up into the air in the water cycle	nongold
97	water is a kind of matter	nongold
98	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
99	a decrease is a kind of change	nongold
