Question	In New York State, an observer will usually see the Sun rise in the	question
Answer	east	answer
0	New York; New York State is a state located in the United States of America	nongold
1	the sun rises in the east	gold
2	the sun sets in the west	nongold
3	observe means see	nongold
4	a star is a kind of celestial object; celestial body	nongold
5	sight means to see	nongold
6	viewing means observing light	nongold
7	a planet is a kind of celestial object; body	nongold
8	to see means to look	nongold
9	to view means to see	nongold
10	sight is a kind of sense	nongold
11	the Sun is a kind of star	nongold
12	rising is a kind of motion	nongold
13	rising means height; altitude increases	nongold
14	seeing is used for sensing visual things	nongold
15	New York is closer to the North Pole than Florida	nongold
16	old is the opposite of new	nongold
17	motion is when moves an object; something to a direction	nongold
18	N means newton	nongold
19	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
20	new means different from the former one	nongold
21	the sun rising; setting occurs once per day	nongold
22	sunlight is a kind of light	nongold
23	the sun rising is a kind of event	nongold
24	Earth is a kind of planet	nongold
25	a new moon is a kind of phase of the moon	nongold
26	sight means vision	nongold
27	setting is a kind of motion	nongold
28	a moon is a kind of celestial object; body	nongold
29	eyes are usually part of an animal for seeing	nongold
30	the sun setting is a kind of event	nongold
31	looking is similar to observing	nongold
32	astronomy is the study of celestial (objects, bodies)	nongold
33	rising means elevation	nongold
34	phase means state	nongold
35	a planet is a kind of location	nongold
36	the new moon is when the lighted half of the moon faces the Sun	nongold
37	high is similar to increase	nongold
38	the sun is a source of light; light energy called sunlight	nongold
39	a state is a kind of place	nongold
40	eyes can sense;detect light energy for seeing	nongold
41	seeing requires light	nongold
42	distance is a property of space and includes ordered values of close; far	nongold
43	sunlight is a kind of solar energy	nongold
44	rising means moving upward	nongold
45	the Earth revolves around the sun	nongold
46	if an object reflects light toward the eye then that object can be seen	nongold
47	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
48	eyes are a part of a human for seeing	nongold
49	the new moon is when the dark half of the moon faces the Earth	nongold
50	measuring is a kind of observing	nongold
51	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
52	the sun rising and setting causes cycles of day and night	nongold
53	to travel up means to rise	nongold
54	state means form	nongold
55	New Mexico is a state located in the United States of America	nongold
56	affected means changed	nongold
57	to add means to increase	nongold
58	look at means observe	nongold
59	an increase is a kind of change	nongold
60	a motion is a kind of event; action	nongold
61	the moon rising occurs once per day	nongold
62	answering questions requires information	nongold
63	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
64	New South Wales is a state located in Australia	nongold
65	new solar systems are made of dust and gas	nongold
66	variable means able to change	nongold
67	furthest; farthest means greatest; most; highest in distance	nongold
68	an event is a kind of action	nongold
69	can be means able to be	nongold
70	being in the sun is synonymous with being in the sunlight	nongold
71	a planet is a kind of place	nongold
72	not looking means not seeing	nongold
73	unchanged means not changed	nongold
74	state of matter means physical state	nongold
75	the Sun is the  star that is closest to Earth	nongold
76	events occur at a specific place; at a specific time; with a specific frequency	nongold
77	eyes are used for seeing by animals by sensing light	nongold
78	an increase is the opposite of a decrease	nongold
79	to be in the sun means to be in the sunlight	nongold
80	the sun is the source of solar energy called sunlight	nongold
81	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
82	far means great in distance	nongold
83	hot means high in heat energy; temperature	nongold
84	a human is a kind of animal	nongold
85	gas is a kind of state of matter	nongold
86	something that happens is a kind of event	nongold
87	the sun is a kind of yellow dwarf	nongold
88	objects are made of materials; substances; matter	nongold
89	a source of something emits; produces; generates; provides that something	nongold
90	determining often requires measuring; observing	nongold
91	a new season occurs four times per year	nongold
92	the eyes are part of the head used for seeing	nongold
93	astronomical body means celestial body	nongold
94	a new season occurs once per 3.0 months	nongold
95	yogurt is a kind of food	nongold
96	increase means more	nongold
97	Mars is a kind of planet	nongold
98	the sun is a source of radiation; heat called sunlight	nongold
99	definite is the opposite of variable	nongold
