Question	The gravitational force between two objects depends on the distance between the objects and each object's	question
Answer	mass	answer
0	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	gold
1	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
2	if something causes something else then that something else depends on that something	nongold
3	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
4	to depend on; to rely on; to need means to require	nongold
5	to be affected by something is similar to depending on something	nongold
6	gravity is a kind of force	nongold
7	to be dependent on something means to depend on that something	nongold
8	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
9	the mass of an object causes the gravitational force exerted by that object	nongold
10	as the mass of an object increases , the force of gravity on that object will increase	gold
11	the mass of a planet causes the pull of gravity on that planet	nongold
12	as distance from an object decreases , the the pull of gravity on that object increases	gold
13	gravity causes orbits	nongold
14	a planet is a kind of celestial object; body	nongold
15	gravitational fore is a kind of non-contact force	nongold
16	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
17	weight is a measure of the force of the gravity on the mass of an object	nongold
18	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
19	high is similar to increase	nongold
20	affected means changed	nongold
21	mass; weight is a property of matter; objects; materials	nongold
22	both means two	nongold
23	gravity pulls objects towards planets	nongold
24	mass is a property of objects; matter	nongold
25	needing something means depending on that something	nongold
26	an increase is a kind of change	nongold
27	furthest; farthest means greatest; most; highest in distance	nongold
28	variable means able to change	nongold
29	weight means the force of gravity acting on an object	nongold
30	as the distance from an object increases , the force of gravity on that object will decrease	nongold
31	to add means to increase	nongold
32	determining often requires measuring; observing	nongold
33	matter; materials; substances are made of atoms; particles	nongold
34	a particle is a kind of object	nongold
35	objects are made of materials; substances; matter	nongold
36	if two objects are apart from each other then matter is between those two objects	nongold
37	extreme means very high in value	nongold
38	proximity means distance	nongold
39	an increase is the opposite of a decrease	nongold
40	if an object escapes the gravitational pull of a planet then that object is no longer affected by the gravitational pull of that planet	nongold
41	a  solution  is a kind of object	nongold
42	distance is a property of space and includes ordered values of close; far	nongold
43	particles in objects are a kind of matter	nongold
44	to slow; to slow down decreases speed	nongold
45	closer means lower; less; a decrease in distance	nongold
46	Weight is  the  force of gravity acting on an object	nongold
47	far is the opposite of close	nongold
48	close means low in distance	nongold
49	can be means able to be	nongold
50	gravitational potential energy is a measure of the product of weight and height	nongold
51	pair means two	nongold
52	density is a measure of mass of an object over volume; divided by volume	nongold
53	constant means not changing	nongold
54	mass is similar to size	nongold
55	low is similar to decrease	nongold
56	if there is no gravitational pull , then the weight of an object will be equal to zero	nongold
57	to vary means to change	nongold
58	weight is a property of objects; matter	nongold
59	as the force  of gravity changes , the mass of the object will stay the same	nongold
60	according to is similar to be determined by	nongold
61	definite is the opposite of variable	nongold
62	greatest means largest; highest; most amount of something	nongold
63	causing means influencing	nongold
64	mass is a measure of the amount of matter in an object	nongold
65	apart is the opposite of together	nongold
66	to lower means to decrease	nongold
67	less is similar to decrease	nongold
68	motion is when moves an object; something to a direction	nongold
69	far means great in distance	nongold
70	length is a measure of distance from one end of an object to the other end of that object	nongold
71	greater means higher; more in value	nongold
72	form means kind	nongold
73	low means down	nongold
74	massive means great in mass	nongold
75	near; close is the opposite of far; away	nongold
76	a decrease is a kind of change	nongold
77	a source of something emits; produces; generates; provides that something	nongold
78	two objects are usually different in size	nongold
79	a weight is a kind of object	nongold
80	intense means extreme	nongold
81	a type is synonymous with a kind	nongold
82	lowest means least in value; amount; number	nongold
83	force requires energy	nongold
84	to turn means to change	nongold
85	as the mass of an oject decreases , the force of gravity on that object will decrease	nongold
86	as amount; size of something increases , the intensive properties of that something will not change	nongold
87	a land mass is a kind of object	nongold
88	a container contains objects; material; substances	nongold
89	low is the opposite of high	nongold
90	to convert means to change	nongold
91	if something is made by something else then that something is affected by that something else	nongold
92	consistent means constant	nongold
93	to change means to have an effect	nongold
94	little is similar to decrease	nongold
95	a motion is a kind of event; action	nongold
96	particles in a liquid are close to each other	nongold
97	as the force  of gravity changes , the weight of the object will change	nongold
98	seconds are a kind of unit for measuring time	nongold
99	an object has properties	nongold
