Question	What happens when oil and water are mixed?	question
Answer	The oil and water remain separate.	answer
0	oil is a kind of substance; matter	gold
1	oil is a kind of liquid	nongold
2	oil is a kind of liquid	nongold
3	if something is insoluble in something , then they will remain separated	gold
4	to remain means to stay the same	nongold
5	a mixture is a kind of substance	nongold
6	an mixture is formed by two or more substances combined together physically	nongold
7	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
8	water is a kind of substance	gold
9	combining; mixing two substances chemically causes chemical reactions	nongold
10	stay the same means not changing	nongold
11	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
12	to remain means to not change	nongold
13	a liquid is a kind of substance	nongold
14	water is a kind of liquid at room temperature	nongold
15	dissolving is a kind of  mixing	nongold
16	to disperse means to separate	nongold
17	decomposing is similar to separating	nongold
18	oil is  insoluble in water	gold
19	to remain means to stay where it is	nongold
20	if something has no impact on something else then that something else stays the same	nongold
21	An example of a suspension is oil mixed with water	nongold
22	to change means to become different	nongold
23	heat means heat energy	nongold
24	moisture means liquid; liquid water	nongold
25	temperature is a measure of heat energy	nongold
26	water is more dense than oil	nongold
27	to happen means to occur	nongold
28	if something changes , then that something is not the same	nongold
29	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
30	separate is similar to break down	nongold
31	to add means to increase	nongold
32	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
33	apart is the opposite of together	nongold
34	water is a kind of matter	nongold
35	same means identical; equal in value; amount; number; quantity	nongold
36	a component means a part of	nongold
37	a solution is a kind of mixture	nongold
38	a source of something emits; produces; generates; provides that something	nongold
39	different is the opposite of the same	nongold
40	heating means adding heat	nongold
41	to convert means to change	nongold
42	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
43	if two things are made from the same objects; material then those two things are similar	nongold
44	cooking oil is a kind of oil	nongold
45	high is similar to increase	nongold
46	affected means changed	nongold
47	chemical reactions cause new substances; different substances to form	nongold
48	to stay means to continue to exist	nongold
49	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
50	a container contains objects; material; substances	nongold
51	An example of a mixture is sand; clay; soil mixed together	nongold
52	to split means to break down	nongold
53	stirring is when something moves an object in a circular motion for mixing	nongold
54	if the component of something changed , then the whole thing will change	nongold
55	gas is a kind of substance	nongold
56	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
57	hot means high in heat energy; temperature	nongold
58	products are formed; are produced; are created	nongold
59	a component of something means a part of that something	nongold
60	heat energy is synonymous with thermal energy	nongold
61	if two objects move apart from each other then those two objects separate from each other	nongold
62	can be means able to be	nongold
63	variable means able to change	nongold
64	to be formed by is similar to being produced by	nongold
65	opposite is a kind of different	nongold
66	to turn means to change	nongold
67	material means substance	nongold
68	combustion is a kind of chemical change	nongold
69	water is a kind of object	nongold
70	the air is a kind of mixture	nongold
71	an object is made of its parts	nongold
72	heat is a kind of energy	nongold
73	to be made of something means to be formed of that something	nongold
74	something that happens is a kind of event	nongold
75	if something is not the same as something else then that something is different from that something else	nongold
76	taking in and releasing means exchanging	nongold
77	no longer means used to be	nongold
78	a product is a kind of object	nongold
79	not is similar to the opposite of	nongold
80	if something is made of something else then that something can be broken down into that something else	nongold
81	if a solution is formed , then the  components of the solution are similar throughout	nongold
82	composed of means made of	nongold
83	if two substances are poured in the same container , then the two substances are combined	nongold
84	a producer is a kind of living thing	nongold
85	to decompose means to separate	nongold
86	the  property of something is the same for the things of same kind	nongold
87	take place means happen	nongold
88	made up of means contains; made of	nongold
89	objects are made of materials; substances; matter	nongold
90	solution is a kind of liquid	nongold
91	to retain means to remain	nongold
92	to change means to cause a change	nongold
93	adding heat means increasing temperature	nongold
94	oil is a source of energy	nongold
95	when two substances together form a compound then those substances cannot be physically separated	nongold
96	if two objects are apart from each other then matter is between those two objects	nongold
97	identical is the opposite of different	nongold
98	staying means not changing	nongold
99	a mixture usually is made of objects with different physical properties	nongold
