Question	Which of the following helps the leaves break down after they have fallen off the tree?	question
Answer	decomposers	answer
0	to help means to aid	nongold
1	if a leaf falls off of a tree then that leaf is dead	gold
2	helping something has a  positive impact on that something	nongold
3	to be used  for something means to help to do that something	nongold
4	a decomposer is a kind of living thing	nongold
5	decomposition is when a decomposer breaks down dead organisms	gold
6	to decompose means to decay	nongold
7	to help; to benefit means to be of use	nongold
8	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
9	dead organisms are the source of nutrients for decomposers	nongold
10	a tree is a kind of living thing	nongold
11	a tree is a kind of plant	gold
12	if a tree falls then that tree is dead	nongold
13	a decomposer is usually a bacterium; fungus	nongold
14	requiring is similar to needing help	nongold
15	a leaf is a kind of plant	nongold
16	if a tree is cut down then that tree will die	nongold
17	a worm is a kind of decomposer	nongold
18	a plant is a kind of organism	gold
19	a plant is a kind of living thing	nongold
20	a leaf is a part of a  green plant	nongold
21	a leaf is a part of a tree	gold
22	a fungus is a kind of living thing	nongold
23	a fungus is a kind of organism	nongold
24	helping means to assist in a change	nongold
25	to enable is to help	nongold
26	an animal is a kind of living thing	nongold
27	to be helpful means to help to do	nongold
28	death means to die	nongold
29	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
30	to make something easier means to help	nongold
31	roots are a part of a plant; tree	nongold
32	a microorganism is a kind of decomposer	nongold
33	an animal is a kind of organism	nongold
34	a leaf is a kind of object	nongold
35	a human is a kind of animal	nongold
36	crumble means break down	nongold
37	a tree contains wood	nongold
38	a living thing is a kind of object	nongold
39	a branch is a part of a tree	nongold
40	if a living thing dies then that living thing is dead	nongold
41	a bacterium is a kind of decomposer	nongold
42	an organism is a living thing	nongold
43	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
44	helping means something can be done; completed more easily; better	nongold
45	a plant; living thing requires food for survival	nongold
46	good means positive	nongold
47	a person is a kind of animal	nongold
48	person is synonymous with human	nongold
49	if something is strong then that something  does not break easily	nongold
50	best means most positive	nongold
51	an animal; living thing requires nutrients for survival	nongold
52	to break down means to break into smaller pieces	nongold
53	fire causes harm to trees; to forests; to living things	nongold
54	destruction means loss	nongold
55	an earthworm is a kind of decomposer	nongold
56	if a plant dies then that plant will not produce food	nongold
57	a plant; living thing requires nutrients to grow	nongold
58	dead organisms rot	nongold
59	negative impact is the opposite of positive impact	nongold
60	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
61	to digest means to break down food	nongold
62	to decompose means to separate	nongold
63	dropping something causes that something to fall	nongold
64	an insect is a kind of animal	nongold
65	a leaf performs photosynthesis; gas exchange	nongold
66	a tree can be replaced by planting a new tree each time one is cut down	nongold
67	if a living thing requires something then that something has a positive impact on that living thing	nongold
68	a plants; living things require water for survival; to grow	nongold
69	better means good	nongold
70	green plants are a kind of producer	nongold
71	decay has a negative impact on a thing	nongold
72	In the food chain process fungi have the role of decomposer	nongold
73	dying is the opposite of living; surviving	nongold
74	come down is similar to falling	nongold
75	remains mean parts of a dead organism	nongold
76	a forest contains  lots of plants; trees	nongold
77	damage has a negative impact on a thing	nongold
78	to depend on; to rely on; to need means to require	nongold
79	destroying something causes harm to that something	nongold
80	an event is a kind of action	nongold
81	fire destroys plants in an environment	nongold
82	a plant requires soil for survival; to grow	nongold
83	a worm is a kind of animal	nongold
84	a worm is a kind of living thing	nongold
85	cutting down trees has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
86	harming something has a  negative impact on; effect on that something	nongold
87	a redwood tree is a kind of tree	nongold
88	bark is a part of a tree	nongold
89	a trunk is a part of a tree for supporting the tree	nongold
90	an oak is a kind of tree	nongold
91	help means advantage	nongold
92	a forest is a kind of environment	nongold
93	destruction means to destroy	nongold
94	an animal requires nutrients to grow and heal	nongold
95	falling means moving downward	nongold
96	harming an organism can cause that organism to die	nongold
97	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
98	dead plants means dead plant material	nongold
99	breaking down is a kind of forming	nongold
