Question	What is the outermost structure in a plant cell?	question
Answer	cell wall	answer
0	a cell wall is the outermost structure of a plant cell	gold
1	a cell membrane is a kind of cell structure	nongold
2	a plant cell is a kind of cell	nongold
3	a cell wall is a part of a plant cell for supporting and protecting the cell membrane	nongold
4	a plant is made of plant cells	nongold
5	the cell membrane is the membrane around the cell of all living things	nongold
6	the cell membrane is a part of a cell	nongold
7	a  cell wall provides support; protection; shape; structure for  a plant cell	nongold
8	a plant cell is box-like in shape	nongold
9	a wall is a kind of object	nongold
10	a living thing is made of cells	nongold
11	a plant is a kind of living thing	nongold
12	the cell is the most basic structural unit of life	nongold
13	a cell is very small	nongold
14	a structure of something is synonymous with a part of that something	nongold
15	room contains walls	nongold
16	a cell is a kind of object	nongold
17	a plant is a kind of organism	nongold
18	a cell nucleus is a part of a cell	nongold
19	a wall is a kind of surface	nongold
20	all living things are made of cells according to the cell theory	nongold
21	system is similar to structure	nongold
22	an organism is a living thing	nongold
23	an animal cell is a kind of cell	nongold
24	the cell wall causes the plant cell to be  more rigid than the animal cell	nongold
25	the cell membrane provides support; protection for a cell	nongold
26	the cell membrane allows materials to enter and leave the cell	nongold
27	a human cell is a kind of cell	nongold
28	a plant cell contains chloroplasts	nongold
29	a chromosome is a part of a cell	nongold
30	structure is a property of an object; a material; a substance	nongold
31	the parent cell is the original cell	nongold
32	a living thing is a kind of object	nongold
33	the cell is the smallest unit of an organism that can perform all of the processes of life	nongold
34	an animal is a kind of living thing	nongold
35	position means a place in a structure	nongold
36	basic life functions occur in the cells of organisms	nongold
37	a multicellular organism is a kind of living thing	nongold
38	to contain means to have inside	nongold
39	a multicellular organism contains more than one cell	nongold
40	single-celled organism is made of only one cell	nongold
41	a multicellular organism is made of many cells	nongold
42	made up of means contains; made of	nongold
43	a chloroplast is a kind of plant cell structure	nongold
44	contains means located in	nongold
45	answering questions requires information	nongold
46	can be means able to be	nongold
47	a part of a living thing is a natural structure	nongold
48	a single-celled organism is a kind of living thing	nongold
49	chloroplast is a part of a plant cell	nongold
50	plant and animal matter means organic matter	nongold
51	cancerous cells are formed by abnormal cell division	nongold
52	outermost is similar to distant	nongold
53	a unicellular organism has one cell	nongold
54	a stem is often a part of plant	nongold
55	an animal is a kind of eukaryote	nongold
56	as the structural complexity of a cell increases , the speed with which the cell can divide decreases	nongold
57	a multicellular organism has more than one cell	nongold
58	composed of means made of	nongold
59	matter; materials; substances are made of atoms; particles	nongold
60	to add means to increase	nongold
61	vegetation means plants	nongold
62	an atom is a kind of object	nongold
63	a single-celled organism is a kind of organism	nongold
64	an animal is a kind of organism	nongold
65	a room is a kind of object	nongold
66	a source of something emits; produces; generates; provides that something	nongold
67	dead plants means dead plant material	nongold
68	a leaf is a kind of plant	nongold
69	green plants are a kind of producer	nongold
70	mitosis produces cells that are identical to the parent cell	nongold
71	a plant is a member of a plant species	nongold
72	organisms mean life	nongold
73	affected means changed	nongold
74	size; amount of space means volume	nongold
75	plant cells can perform photosynthesis	nongold
76	to be made of something means to be formed of that something	nongold
77	structure is similar to shape	nongold
78	plant parts are made of plants	nongold
79	an atom is the smallest particle; unit that has the properties of an element	nongold
80	an object is made of its parts	nongold
81	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
82	a molecule is a kind of object	nongold
83	high is similar to increase	nongold
84	a leaf is a part of a  green plant	nongold
85	cells are a smaller level of organization than tissues in living things	nongold
86	a plant; living thing requires food for survival	nongold
87	a body cell means a somatic cell	nongold
88	made of is similar to contains	nongold
89	a single-cell organism cannot specialize	nongold
90	a cell absorbs nutrients	nongold
91	cells copy DNA	nongold
92	the cells of multicellular organisms can specialize	nongold
93	the function of something is what that something  is used to do	nongold
94	living things are made of organic molecules	nongold
95	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
96	a single-celled organism's organelles are like the organs of a multi-celled organism	nongold
97	the floor is at the bottom of a room	nongold
98	the cell nucleus controls many of the functions of the cell	nongold
99	a structure is a kind of feature	nongold
