Question	What forms both valleys and canyons?	question
Answer	rivers	answer
0	a valley is formed by a river flowing	gold
1	a canyon is a kind of landform	nongold
2	a canyon is made of rock	nongold
3	most canyons are formed by flowing rivers through erosion over long periods of time	gold
4	a canyon is a very deep valley	gold
5	valley is located between mountains; hills	nongold
6	a river is a kind of flowing body of water	nongold
7	a canyon is a kind of place	nongold
8	both means two	nongold
9	a stream is a kind of body of water	nongold
10	a canyon forming occurs over a period of millions of years	nongold
11	to be made of something means to be formed of that something	nongold
12	a canyon is a very big crack in the ground	nongold
13	valley is a kind of location	nongold
14	sinkholes; caves are formed by precipitation; infiltration	nongold
15	to change into means to form	nongold
16	a cavern is a kind of land form	nongold
17	to cause the formation of means to form	nongold
18	a river is a kind of channel for water	nongold
19	the Grand Canyon is a kind of canyon	nongold
20	form means kind	nongold
21	a riverbed is a part of a river	nongold
22	the Grand Canyon was formed by the Colorado River flowing over long periods of time	nongold
23	state means form	nongold
24	to form means to create	nongold
25	a structure of something is synonymous with a part of that something	nongold
26	a river basin is a kind of land drained by a river and its tributaries	nongold
27	a landform is a kind of natural formation	nongold
28	answering questions requires information	nongold
29	a body of water contains water	nongold
30	the Colorado River is a kind of river	nongold
31	to make means to form	nongold
32	erosion causes a river to become deeper and wider	nongold
33	a source of something emits; produces; generates; provides that something	nongold
34	composed of means made of	nongold
35	soil and sediment deposited by a river are usually high; rich in nutrients	nongold
36	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
37	a landform is a kind of object	nongold
38	groundwater is a kind of water	nongold
39	when a river floods , that river deposits soil; sediment in flood plains	nongold
40	a whole is formed by its parts	nongold
41	breaking down is a kind of forming	nongold
42	flowing is a kind of motion	nongold
43	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
44	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
45	landform means surface feature; physical feature; land feature	nongold
46	soil is formed by rocks eroding	nongold
47	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
48	Virginia contains rivers	nongold
49	an arch is a kind of land formation	nongold
50	furthest; farthest means greatest; most; highest in distance	nongold
51	a mountain is a kind of landform	nongold
52	a landform is a kind of place	nongold
53	a landform is a kind of place	nongold
54	water  flows down a slope	nongold
55	a body of water is a kind of environment	nongold
56	mountainside is a part of valley	nongold
57	erosion is a kind of process	nongold
58	erosion is a kind of change	nongold
59	made up of means contains; made of	nongold
60	sediment is formed by weathering	nongold
61	an event is a kind of action	nongold
62	a cavern is a cave	nongold
63	the slope of the land causes a river to flow in a particular direction	nongold
64	soil erosion is a kind of event	nongold
65	a tunnel is a kind of hole	nongold
66	high is similar to increase	nongold
67	the formation of something is a kind of process	nongold
68	soil erosion is a kind of slow; natural process	nongold
69	a body of water is a source of water	nongold
70	forming something is a kind of change	nongold
71	a body of water is a kind of land feature	nongold
72	to be formed by is similar to being produced by	nongold
73	weathering is a kind of erosion	nongold
74	long means great in length	nongold
75	something that contains water is similar to a body of water	nongold
76	rainwater is a kind of water	nongold
77	a mountain is made of rocks; soil	nongold
78	sedimentary is a kind of rock	nongold
79	water is a kind of object	nongold
80	flowing is a kind of action	nongold
81	motion is when moves an object; something to a direction	nongold
82	low means low in elevation; height; altitude	nongold
83	a motion is a kind of event; action	nongold
84	rain causes erosion	nongold
85	groundwater is located under ground	nongold
86	ground water is a kind of water	nongold
87	a riverbank is made of soil	nongold
88	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
89	water is a kind of matter	nongold
90	weathering; erosion usually occurs over a period of many years	nongold
91	if something is made of something else then the formation of that something requires that something else	nongold
92	to add means to increase	nongold
93	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
94	to generate means to form	nongold
95	can be means able to be	nongold
96	to increase is similar to to create	nongold
97	aquifers are the largest source of drinkable water on Earth	nongold
98	denser means more dense	nongold
99	affected means changed	nongold
