Question	Stacey picks apples and puts them in a basket. When she puts her basket on a scale, the scale reads two kilograms	question
Answer	height	answer
0	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	gold
1	a scale is used for measuring weight	gold
2	height is a measure of length from the top of an object to the bottom of an object	nongold
3	an apple is a kind of fruit	nongold
4	kg means kilograms	nongold
5	an  apple is  round in shape	nongold
6	height is a property of the size of an object	nongold
7	a weight is a kind of object	nongold
8	being  on something; placed in something; placed over something means touching  that something	nongold
9	weight is a property of objects; matter	nongold
10	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
11	mass; weight is a property of matter; objects; materials	nongold
12	height is a kind of position	nongold
13	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
14	a meter is a kind of unit for measuring distance; measuring length	nongold
15	both means two	nongold
16	an  apple is  hard	nongold
17	a fruit is a kind of object	nongold
18	length is a part of size	nongold
19	highest means largest; greatest; most in height	nongold
20	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
21	measuring requires reading a measurement	nongold
22	level is similar to amount; quantity	nongold
23	quantity means amount	nongold
24	tall means great in height	nongold
25	taller means greater in height; size	nongold
26	an ounce is a kind of unit for measuring mass	nongold
27	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
28	size; amount of space means volume	nongold
29	low is the opposite of high	nongold
30	length is a measure of distance from one end of an object to the other end of that object	nongold
31	density is a measure of mass of an object over volume; divided by volume	nongold
32	low means down	nongold
33	a container contains objects; material; substances	nongold
34	greatest means largest; highest; most amount of something	nongold
35	weight means the force of gravity acting on an object	nongold
36	a balance is used for measuring mass;weight of an object; of a substance	nongold
37	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
38	low means low in elevation; height; altitude	nongold
39	a container is a kind of object	nongold
40	if an object is made of a material then that object has the properties of that material	nongold
41	a kilogram is a kind of unit for measuring mass	nongold
42	an object is an item	nongold
43	a scale is hard	nongold
44	larger means greater; higher; more; increase in size	nongold
45	higher means greater; above in value; amount; number	nongold
46	weight is a measure of the force of the gravity on the mass of an object	nongold
47	food is a kind of object	nongold
48	a living thing is a kind of object	nongold
49	heavy means a large amount of weight	nongold
50	an animal is a kind of living thing	nongold
51	Weight is  the  force of gravity acting on an object	nongold
52	shorter means smaller; less in  height	nongold
53	small is the opposite of large	nongold
54	pounds ( lb ) are a  imperial unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
55	height is an inherited characteristic	nongold
56	high means a lot of something	nongold
57	growing is when an animal's height;mass;size increase	nongold
58	an part of an object is smaller than the entire object	nongold
59	a human is a kind of animal	nongold
60	objects are made of materials; substances; matter	nongold
61	motion; movement means moving; to move	nongold
62	a tool is a kind of object	nongold
63	an apple is smooth on the surface	nongold
64	material means substance	nongold
65	meters;centimeters;kilometers are used to describe distance; describe length	nongold
66	as amount; size of something increases , the intensive properties of that something will not change	nongold
67	weight is a kind of property	gold
68	a meter stick is used to measure distance; height; length	nongold
69	a balance is a kind of instrument for measuring mass; measuring weight	nongold
70	fruit is a kind of food	nongold
71	width is a property of size; shape and includes ordered values of narrow; wide	nongold
72	a piece of something is a kind of object	nongold
73	length is a property of the shape of an object	nongold
74	a pound is a kind of unit for measuring mass	nongold
75	smaller means less; lower in size	nongold
76	growing means a plant's height;mass;size increase	nongold
77	larger; bigger is the opposite of smaller	nongold
78	lowest means least in value; amount; number	nongold
79	calculation means measurement	nongold
80	a piece is a part of a whole	nongold
81	person is synonymous with human	nongold
82	form means kind	nongold
83	a piece of an object is smaller in size than the whole object	nongold
84	pair means two	nongold
85	instrument means tool	nongold
86	light means low  in weight	nongold
87	a box is a kind of object	nongold
88	food is a kind of substance	nongold
89	high is similar to increase	nongold
90	largest means greatest in size	nongold
91	a type is synonymous with a kind	nongold
92	mass is a measure of the amount of matter in an object	nongold
93	to add means to increase	nongold
94	an animal is a kind of organism	nongold
95	an apple tree is a kind of plant	nongold
96	milliliters is a kind of unit for measuring volume of liquids	nongold
97	the volume of an object can be used to describe  the size of that object	nongold
98	greater means higher; more in value	nongold
99	structure is a property of an object; a material; a substance	nongold
