Question	Felicia noticed how air temperatures were cooler and there were fewer hours of daylight during some of the seasons. Which of the following contributes to these seasonal changes?	question
Answer	Earth revolves around the Sun.	answer
0	the Earth revolves around the sun	gold
1	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	gold
2	revolving  around something means orbiting that something	nongold
3	Earth orbiting the Sun causes seasons to change	nongold
4	daylight hours means time during which there is daylight	nongold
5	daylight means sunlight	nongold
6	Earth is a kind of planet	nongold
7	the Earth being tilted on its rotating axis causes seasons	nongold
8	Earth's tilt on its rotating axis causes seasons to change; to occur	gold
9	the Sun is a kind of star	nongold
10	a revolution occurs when something revolves around something else	nongold
11	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
12	daylight occurs during the day	nongold
13	the amount of daylight is greatest on the summer solstice	nongold
14	a planet rotating causes cycles of day and night on that planet	nongold
15	the Earth rotates on its axis	nongold
16	fewer means lower; less in number	nongold
17	when the season changes , the amount of daylight will change	nongold
18	air temperature is a kind of temperature	nongold
19	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
20	the sun rising and setting causes cycles of day and night	nongold
21	the amount of daylight is least on the winter solstice	nongold
22	season is a major yearly temperature change	nongold
23	daylight is when the sun shines on a location	nongold
24	planets in the solar system orbit the Sun	nongold
25	a planet is a kind of celestial object; body	nongold
26	the amount of daylight is greatest in the summer	nongold
27	when the seasons change from the summer to the fall , the amount of daylight will decrease	nongold
28	period of daylight is synonymous with amount of daylight	nongold
29	the moon orbits the Earth	nongold
30	a moon is a kind of celestial object; body	nongold
31	a planet completes one orbit around its star over a period of one planetary year	nongold
32	the amount of daylight is least in the winter	nongold
33	cooler means colder	nongold
34	a star is a kind of celestial object; celestial body	nongold
35	sunlight is a kind of light	nongold
36	less is similar to decrease	nongold
37	daytime means day	nongold
38	the sun is the source of solar energy called sunlight	nongold
39	a hemisphere is a part of Earth	nongold
40	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
41	amount of daylight means length of daylight	nongold
42	being around something means surrounding  that something	nongold
43	a planet is exposed to the heat of the star around which it revolves	nongold
44	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
45	colder; cooler means lower in temperature	nongold
46	a seasonal change is a kind of environmental change	nongold
47	hours are a kind of unit for measuring time	nongold
48	sunshine means sunlight	nongold
49	setting is a kind of motion	nongold
50	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
51	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
52	warmer means greater; higher in temperature; warmth	nongold
53	a decrease is a kind of change	nongold
54	the sun  is the source of energy for physical cycles on Earth	nongold
55	an increase is a kind of change	nongold
56	the sun is a source of light; light energy called sunlight	nongold
57	the intensity of sunlight is a kind of seasonal weather pattern	nongold
58	a half of Earth is a hemisphere of Earth	nongold
59	less is the opposite of more	nongold
60	annual means once per year	nongold
61	cooling means temperature decreases	nongold
62	planets have climate	nongold
63	cycles of day and night occur once per day	nongold
64	every summer  is a kind of period of time	nongold
65	our Sun is located at the center of our solar system	nongold
66	worldwide temperature means atmospheric temperature	nongold
67	an increase is the opposite of a decrease	nongold
68	a component means a part of	nongold
69	Earth's revolution is a kind of cycle	nongold
70	a component of something means a part of that something	nongold
71	to be made of something means to be formed of that something	nongold
72	sunlight produces heat	nongold
73	the sunlight occurs during the day	nongold
74	the moon rotates on its axis	nongold
75	summer is when a hemisphere is tilted towards the sun	nongold
76	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
77	a phase of the moon is a kind of state	nongold
78	each season occurs once per year	nongold
79	different seasons occur during different times of the year	nongold
80	planets orbit stars	nongold
81	orbit means orbital path	nongold
82	Earth's rotation causes time zones	nongold
83	Earth has air	nongold
84	the Moon is Earth's moon	nongold
85	the solar system contains the moon	nongold
86	winter is when a hemisphere is tilted away from the sun	nongold
87	yearly means every year	nongold
88	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
89	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
90	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
91	winter is a kind of season	nongold
92	seasonal changes are made in response to changes in the environment	nongold
93	a rotation of the moon takes 1; one month	nongold
94	a revolution of the moon around the Earth takes 1; one month	nongold
95	atmosphere means  air	nongold
96	seasons cause change to the environment	nongold
97	high is similar to increase	nongold
98	less means a reduced amount	nongold
99	increase means more	nongold
