Question	Which property of water can cause a rock to break apart?	question
Answer	Water expanding as it freezes.	answer
0	break apart means break down	nongold
1	when water freezes , that water expands	gold
2	cracking something may cause that something  to break apart	gold
3	water expanding when it freezes is a physical property of water	nongold
4	ice wedging is when ice causes rocks to crack by expanding in openings	gold
5	breaking apart rocks can cause debris	nongold
6	expand is a kind of change	nongold
7	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
8	take apart means break down	nongold
9	cycles of freezing and thawing water cause ice wedging	gold
10	to break down means to break into smaller pieces	nongold
11	frozen means solid	nongold
12	a rock is usually a solid	nongold
13	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
14	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
15	break down means change from a whole into pieces	nongold
16	breaking down is a kind of forming	nongold
17	water is a kind of liquid at room temperature	nongold
18	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
19	separating is similar to breaking	nongold
20	when something breaks , a crack may form in that something	nongold
21	rock means stone	nongold
22	water is a kind of matter	nongold
23	expand means increase in volume	nongold
24	an increase is a kind of change	nongold
25	freezing causes a solid to form	nongold
26	water is a kind of substance	nongold
27	expand means increase in size	nongold
28	ice is a kind of solid	nongold
29	liquid is a kind of state of matter	nongold
30	freezing is a kind of phase change	nongold
31	separate is similar to break down	nongold
32	dissolving is similar to breaking down	nongold
33	a decrease is a kind of change	nongold
34	ice wedging is a kind of mechanical weathering	nongold
35	a rock is a kind of object	nongold
36	temperature is a measure of heat energy	nongold
37	to add means to increase	nongold
38	rock is a kind of material	nongold
39	solid is a kind of state of matter	nongold
40	heat means heat energy	nongold
41	as density decreases ability to break apart increases	nongold
42	liquids expand more than solids when heated	nongold
43	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
44	to change means to cause a change	nongold
45	apart is the opposite of together	nongold
46	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
47	liquid water cooling causes that liquid water to freeze	nongold
48	to split means to break down	nongold
49	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
50	crumble means break down	nongold
51	to lower means to decrease	nongold
52	breaking down into pieces is a kind of change in shape	nongold
53	if two objects move apart from each other then those two objects separate from each other	nongold
54	if something is insoluble in something , then they will remain separated	nongold
55	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
56	high is similar to increase	nongold
57	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
58	expand is a kind of change in volume	nongold
59	a liquid is a kind of substance	nongold
60	break down is the opposite of put together	nongold
61	Earth's surface is made of rock	nongold
62	substances are made of matter	nongold
63	if something is made of something else then that something can be broken down into that something else	nongold
64	a physical property is a kind of property	nongold
65	to be a source of something means to cause that something	nongold
66	mechanical weathering is when rocks are broken down by mechanical means	nongold
67	to reduce means to decrease	nongold
68	state of matter at room temperature is a kind of physical property	nongold
69	composed of means made of	nongold
70	a body of water contains water	nongold
71	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
72	if the volume of a substance; of a matter expands while the mass remains the same , then the molecules in that substance; matter move farther apart	nongold
73	increase means more	nongold
74	state of matter is a kind of physical property	nongold
75	materials are made of matter	nongold
76	a motion is a kind of event; action	nongold
77	weathering; erosion usually occurs over a period of many years	nongold
78	objects are made of materials; substances; matter	nongold
79	thawing is similar to melting	nongold
80	can be means able to be	nongold
81	a crack is a kind of opening	nongold
82	heat energy can change the state of matter	nongold
83	to change into means to form	nongold
84	weathering occurs at the surface of the Earth	nongold
85	reducing is a kind of change	nongold
86	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
87	gas is a kind of state of matter	nongold
88	pulling is a kind of motion	nongold
89	to create means to make	nongold
90	Earth is made of rock	nongold
91	a source of something emits; produces; generates; provides that something	nongold
92	sliding is a kind of motion	nongold
93	an event is a kind of action	nongold
94	structure is a property of an object; a material; a substance	nongold
95	form means kind	nongold
96	a change is a kind of event	nongold
97	to turn means to change	nongold
98	formation of a state of matter is a kind of process	nongold
99	An example of a physical change is breaking an object	nongold
