Question	Which species have been on the Earth for the shortest amount of time?	question
Answer	Humans	answer
0	shortest means least; smallest in length	nongold
1	shortest means the least amount of time	gold
2	longest means greatest in length	nongold
3	humans have been on Earth for 300000 years	gold
4	length of time means period of time	nongold
5	a human is a kind of animal	gold
6	insects have been on Earth for 400000000 years	gold
7	an animal is a kind of living thing	nongold
8	human is a kind of organism	nongold
9	a human is a kind of mammal	nongold
10	furthest; farthest means greatest; most; highest in distance	nongold
11	an animal is a kind of organism	nongold
12	shorter means decreased length	nongold
13	lowest means least in value; amount; number	nongold
14	an organism is a living thing	nongold
15	species means a group of like organisms	nongold
16	Earth is a kind of planet	nongold
17	fewest means lowest; least in number	nongold
18	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
19	reptiles have been on Earth for 370000000 years	gold
20	greatest means largest; highest; most amount of something	nongold
21	a living thing is a kind of object	nongold
22	long means great in length	nongold
23	a plant is a kind of living thing	nongold
24	to a human a time period of 1000 years or more years is considered very long	nongold
25	human is similar to individual	nongold
26	Neptune has the longest solar year; planetary year in the solar system	nongold
27	fish have been on Earth for 419000000 years	gold
28	life means living things	nongold
29	person is synonymous with human	nongold
30	a plant is a kind of organism	nongold
31	least is the opposite of greatest	nongold
32	a mammal is a kind of animal	nongold
33	how long something takes is a kind of measurement of time	nongold
34	period is similar to amount of time	nongold
35	an animal is a member of an animal species	gold
36	fastest means greatest in  speed	nongold
37	a plant; living thing requires food for survival	nongold
38	an animal; living thing requires nutrients for survival	nongold
39	answering questions requires information	nongold
40	a measure of time is a length of time	nongold
41	high is similar to increase	nongold
42	fewer means lower; less in number	nongold
43	organisms lived in the water when they first appeared on Earth	nongold
44	humans live on land	nongold
45	a plant is a member of a plant species	nongold
46	least is the opposite of most	nongold
47	less is similar to decrease	nongold
48	population is a measure of the number of a species in an environment	nongold
49	plants appearing on Earth is a kind of event	nongold
50	organisms mean life	nongold
51	organisms are located on Earth's surface	nongold
52	if a species existed for a relatively short time then that species is now extinct	nongold
53	to shorten means to make shorter	nongold
54	carnivores; omnivores; herbivores are a kind of animal	nongold
55	vegetation means plants	nongold
56	less means a reduced amount	nongold
57	nonliving; non-living; die is the opposite of living; alive; live	nongold
58	organisms are a part of an environment	nongold
59	far means great in distance	nongold
60	once means one time	nongold
61	less is the opposite of more	nongold
62	a bird is a kind of living thing	nongold
63	once per means every	nongold
64	amount is similar to number	nongold
65	a type is synonymous with a kind	nongold
66	shorter means smaller; less in  height	nongold
67	Venus is a kind of planet	nongold
68	closer means lower; less; a decrease in distance	nongold
69	distant means great in distance	nongold
70	an increase is the opposite of a decrease	nongold
71	animals usually distance themselves from humans	nongold
72	length is a measure of distance from one end of an object to the other end of that object	nongold
73	a bird is a kind of animal	nongold
74	increase means more	nongold
75	all the time means at day and at night	nongold
76	length is a part of size	nongold
77	distance is a property of space and includes ordered values of close; far	nongold
78	usually means most of the time	nongold
79	the Earth contains many ecosystems	nongold
80	an event is a kind of action	nongold
81	an aquatic animal is a kind of animal	nongold
82	continuation of a species means survival of that species	nongold
83	a person is a kind of animal	nongold
84	a landform is a kind of object	nongold
85	if a living thing requires something then that something has a positive impact on that living thing	nongold
86	species is an inherited characteristic	nongold
87	organisms; living things live in their habitat; their home	nongold
88	aquatic animals; plants live in bodies of water	nongold
89	an animal is a kind of eukaryote	nongold
90	an environment is a kind of place	nongold
91	can be means able to be	nongold
92	events occur at a specific place; at a specific time; with a specific frequency	nongold
93	low is similar to decrease	nongold
94	a population is made of one type of organism in an area	nongold
95	bacteria can show significant trait changes in the shortest period of time	nongold
96	instantaneously means short in time	nongold
97	a worm is a kind of living thing	nongold
98	Tuesday is a kind of  time	nongold
99	the day time is part of one day	nongold
