Question	A female dog is having puppies. She has black fur, brown eyes, and a curly tail. She can sit, bark, and roll over on command. Which set of traits can the female dog's puppies inherit?	question
Answer	brown eyes, black fur	answer
0	a dog is a kind of animal	gold
1	eye color is an inherited characteristic	gold
2	the colors of parts of an organism are inherited characteristics	gold
3	the color of; coloration of fur is an inherited characteristic	gold
4	trait is synonymous with characteristic	gold
5	brown is a kind of color	gold
6	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
7	an inherited characteristic is a kind of characteristic	nongold
8	curly hair is an inherited characteristic	nongold
9	an animal is a kind of living thing	nongold
10	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
11	trait means property	nongold
12	black is a kind of color	gold
13	fur is often part of an animal	gold
14	an animal is a kind of organism	gold
15	if an animal's fur is a color then that animal is that color	nongold
16	bark is usually brown in color	nongold
17	color is a kind of physical; visual property	nongold
18	characteristic means property	nongold
19	species is an inherited characteristic	nongold
20	a mother is a kind of female parent	nongold
21	brown is dark in color	nongold
22	black is dark in color	nongold
23	coloration means a thing's color	nongold
24	feature is synonymous with characteristic	nongold
25	children; young is synonymous with offspring	nongold
26	a human is a kind of animal	nongold
27	a puppy is a young; baby dog	gold
28	a living thing is a kind of object	nongold
29	rolling over is a kind of action	nongold
30	bark is a kind of sound	nongold
31	dark eyes is a dominant trait in human	nongold
32	color is a property of  an object; a material	nongold
33	inherited characteristics can change over several generations	nongold
34	an adaptation is a kind of characteristic	nongold
35	rolling is a kind of motion	nongold
36	an organism is a living thing	nongold
37	hair is similar to fur	nongold
38	a learned characteristic is a kind of acquired characteristic	nongold
39	sitting is a kind of action	nongold
40	if an organism passes on its traits then future generations will have those traits	nongold
41	color is an intensive property	nongold
42	a roll is a kind of movement	nongold
43	a baby is the offspring of a parent	gold
44	a baby is the offspring of a parent	nongold
45	parents produce offspring	nongold
46	reproductive behavior is an inherited characteristic	nongold
47	a type is synonymous with a kind	nongold
48	a part of something means a characteristic of something	nongold
49	coat means fur coat	nongold
50	hair is often a part of an animal	nongold
51	to reproduce means to have; to produce offspring	nongold
52	reproduction produces; produce offspring	nongold
53	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
54	the shape of body parts is an inherited characteristic	nongold
55	the condition of parts of an organism are acquired characteristics	nongold
56	a cat is a kind of animal	nongold
57	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
58	black fur is a dominant trait in guinea pig	nongold
59	a mother births offspring	nongold
60	curly is a kind of shape	nongold
61	a tail is not part of an egg cell	nongold
62	eyes are a part of a human for seeing	nongold
63	hair; fur is  a part of skin for protection; keeping warm	nongold
64	each is similar to individual	nongold
65	a cat is a kind of carnivore	nongold
66	a father is a kind of male parent	nongold
67	eyes are usually part of an animal for seeing	gold
68	dark means dark in color	nongold
69	inherited characteristics are a kind of hereditary information	nongold
70	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
71	what an object is made of is a kind of characteristic	nongold
72	human is a kind of organism	nongold
73	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
74	coloration is a kind of adaptation for hiding;camouflage	nongold
75	answering questions requires information	nongold
76	resemble means similar characteristics	nongold
77	human is similar to individual	nongold
78	a behavior is a kind of characteristic	nongold
79	gray is a combination of black and white	nongold
80	a property of something is a feature of that something	nongold
81	following an order means performing an action on command	nongold
82	cub is a kind of offspring	nongold
83	a cat is a kind of mammal	nongold
84	appearance is a property of objects; materials	nongold
85	newborn means just born	nongold
86	white fur is white in color	nongold
87	fur is usually part of a mammal	nongold
88	mammals birth; give birth to live young	nongold
89	blood type is an inherited characteristic	nongold
90	appearance  is a kind of physical property	nongold
91	if two things have the same features then those two things are alike	nongold
92	to be characterized by  a property means to have that property	nongold
93	a baby is a kind of young animal	nongold
94	a type of something is a kind of property of that something	nongold
95	genetic variation in offspring has a positive impact on an organism's; offspring's survival; health; ability to reproduce	nongold
96	a kitten is a young; baby cat	nongold
97	a hair is a kind of object	nongold
98	an object has properties	nongold
99	can means having the ability to	nongold
