Question	Which force produces energy as heat?	question
Answer	friction	answer
0	friction occurs when two object's surfaces move against each other	nongold
1	friction causes the temperature of an object to increase	gold
2	friction is a kind of force	gold
3	friction converts mechanical energy into heat energy	nongold
4	friction causes an object to lose energy	nongold
5	a source of something emits; produces; generates; provides that something	nongold
6	friction acts to counter the motion of two objects when their surfaces are touching	nongold
7	friction exerts force on moving objects	nongold
8	a surface is a part of an object	nongold
9	a surface is a part of a material	nongold
10	a surface is a kind of object	nongold
11	as moisture of an object decreases , the friction of that object against another object will increase	nongold
12	heat means heat energy	gold
13	temperature is a measure of heat energy	gold
14	to rub; to rub together means to move against	nongold
15	thermal energy is a kind of energy	nongold
16	heat energy is synonymous with thermal energy	nongold
17	heat is a kind of energy	nongold
18	rubbing against something is a kind of contact	nongold
19	generate means produce	nongold
20	skidding causes friction	nongold
21	friction causes the speed of an object to decrease	nongold
22	an increase is a kind of change	nongold
23	force requires energy	nongold
24	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
25	a wall is a kind of surface	nongold
26	if one surface; one substance; one object touches something then one is exposed to that something	nongold
27	as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface	nongold
28	counter means reduce; stop; resist	nongold
29	friction causes speed to decrease	nongold
30	to reduce means to decrease	nongold
31	converting is similar to producing	nongold
32	an object being pushed across another object causes their surfaces to move against each other	nongold
33	a wall is a kind of object	nongold
34	to add means to increase	nongold
35	high is similar to increase	nongold
36	absorbing energy causes objects; materials; substances to heat	nongold
37	touching is when a body part makes contact with the surface of an object	nongold
38	if an object slides across another object then those objects are touching	nongold
39	a decrease is a kind of change	nongold
40	as the roughness of something increases , the friction of that something will increase when its surface moves against another surface	nongold
41	as roughness of a surface increases , friction will increase	nongold
42	rubbing  is a kind of motion	nongold
43	to lower means to decrease	nongold
44	objects are made of materials; substances; matter	nongold
45	when a cooler object touches a warmer object , thermal conduction occurs	nongold
46	heating means adding heat	nongold
47	if something causes an increase in something else then that something produces that something else	gold
48	producing thrust causes something; an animal; an object to move	nongold
49	if an object is made of a material then that object has the properties of that material	nongold
50	a force is a kind of push or pull on an object	nongold
51	a ball is a kind of object	nongold
52	producing is similar to causing	nongold
53	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
54	metal is a thermal; thermal energy conductor	nongold
55	if an object is hot then the surfaces of that object are hot	nongold
56	an increase is the opposite of a decrease	nongold
57	a rough surface is a part of sandpaper	nongold
58	a wet object is a source of water	nongold
59	a sheet of sandpaper is a kind of object	nongold
60	conductivity is a property of a material; substance	nongold
61	wheels; gears usually move against other surfaces	nongold
62	hot means high in heat energy; temperature	nongold
63	water is an thermal; thermal energy conductor	nongold
64	low is similar to decrease	nongold
65	moisture means liquid; liquid water	nongold
66	additional force is similar to outside force	nongold
67	a hot; warm something is a source of heat	nongold
68	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
69	a pull is a kind of force	nongold
70	metal is a kind of material	nongold
71	low means down	nongold
72	thermal conduction is when heat flows from warmer object to cooler object	nongold
73	a body part is a kind of object	nongold
74	emit means produce	nongold
75	water is a kind of object	nongold
76	mechanical force is a kind of mechanical energy	nongold
77	edge of a pond is a kind of surface	nongold
78	adding heat means increasing temperature	nongold
79	down is soft	nongold
80	a pool table; billiards table has a felt surface	nongold
81	increase means more	nongold
82	a cushion is a kind of object	nongold
83	heat means temperature increases	nongold
84	down feathers are a thermal; thermal energy insulator	nongold
85	non-contact forces can affect objects that are not touching	nongold
86	felt is high in roughness	nongold
87	liquid is a kind of state of matter	nongold
88	materials are made of matter	nongold
89	pulling is a kind of motion	nongold
90	when two objects are touched; are contacted; move against each other , sound is produced	nongold
91	a motion is a kind of event; action	nongold
92	material means substance	nongold
93	if something emits something else then that something increases the amount of that something else	nongold
94	wood is an thermal; thermal energy insulator	nongold
95	solid is a kind of state of matter	nongold
96	wood is a thermal; thermal energy insulator	nongold
97	water is a kind of substance	nongold
98	mechanical energy is a kind of energy	nongold
99	change is a kind of impact	nongold
