Question	Which of the following events involves a consumer and producer in a food chain?	question
Answer	A deer eats a leaf.	answer
0	a deer is a kind of animal	gold
1	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	gold
2	a deer is a kind of prey	nongold
3	a deer is a kind of herbivore	nongold
4	In the food chain process a  green plant has the role of  producer	gold
5	a producer is a kind of living thing	nongold
6	to eat means to consume food	nongold
7	an animal is a kind of consumer	nongold
8	a producer produces its own food	nongold
9	an event is a kind of action	nongold
10	producer is a kind of role in the food chain process; in an ecosystem	nongold
11	food is what an animal eats	nongold
12	green plants are a kind of producer	nongold
13	consumers eat other organisms	nongold
14	an animal needs to eat food for nutrients	nongold
15	eating an animal; a plant means killing that animal; that plant	nongold
16	a leaf performs photosynthesis; gas exchange	nongold
17	green plants provide food for themselves; animals; consumers by performing photosynthesis	gold
18	an animal is a kind of living thing	nongold
19	to cause an event is similar to being involved in that event	nongold
20	diet means what an animal eats	nongold
21	a leaf is a kind of plant	nongold
22	a plant; living thing requires food for survival	nongold
23	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
24	to be involved in something means to have a role in something	nongold
25	a consumer is a kind of organism	nongold
26	a source of something emits; produces; generates; provides that something	nongold
27	a plant is a kind of living thing	nongold
28	an animal is a kind of organism	nongold
29	a living thing is a kind of object	nongold
30	something that happens is a kind of event	nongold
31	an animal; living thing requires nutrients for survival	nongold
32	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
33	a leaf is a part of a  green plant	gold
34	a plant is a kind of organism	nongold
35	living things eat their food source	nongold
36	a vegetable is a kind of food	nongold
37	a consumer can not produce its own food	nongold
38	a motion is a kind of event; action	nongold
39	events occur at a specific place; at a specific time; with a specific frequency	nongold
40	event is similar to occurrence	nongold
41	meat means dead animal for eating	nongold
42	a process is a kind of event	gold
43	a vegetable is a kind of plant	nongold
44	an organism eating is a kind of action	nongold
45	a mammal is a kind of animal	nongold
46	a human is a kind of animal	nongold
47	a leaf is a kind of object	nongold
48	an organism is a living thing	nongold
49	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
50	to prey on an animal means to eat that animal	nongold
51	a change is a kind of event	nongold
52	meat is a kind of food	nongold
53	In the food chain process some types of plankton have the role of producer	nongold
54	a predator eats other animals for food	nongold
55	predators eat prey	nongold
56	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
57	a food contains nutrients for living things	nongold
58	prey  is a kind of animal	nongold
59	providing something means making;delivering something	nongold
60	consumption means use	nongold
61	to graze means to eat grass	nongold
62	a producer is a source of sugar; food energy in an ecosystem	nongold
63	herbivore means first-level consumer	nongold
64	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
65	make means produce	nongold
66	production is similar to making	nongold
67	become prey means get eaten	nongold
68	rabbits eat plants	nongold
69	to happen means to occur	nongold
70	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
71	products are formed; are produced; are created	nongold
72	if an organism eats something then that something is a source of frood to that organism	nongold
73	food web is synonymous with food chain	nongold
74	a deer lives in a forest	nongold
75	a role in the ecosystem is a role in the food chain process	nongold
76	prey is a kind of food for predators	nongold
77	producing is a kind of process	nongold
78	fruit is a kind of food	nongold
79	a predator usually kills its prey to eat it	nongold
80	herbivores only eat plants	nongold
81	person is synonymous with human	nongold
82	killing means harming something causing death	nongold
83	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
84	plant reproduction; seed production requires pollination	nongold
85	producers pass materials they use through the food chain	nongold
86	a fruit is a kind of object	nongold
87	to cause something means to contribute to that something happening	nongold
88	if a plant dies then that plant will not produce food	nongold
89	photosynthesis is a kind of chemical reaction	nongold
90	plants appearing on Earth is a kind of event	nongold
91	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
92	food is a kind of object	nongold
93	a part of a process means a stage in a process	nongold
94	hunting is a kind of action	nongold
95	a person is a kind of animal	nongold
96	food is a kind of substance	nongold
97	plants are the source of fruit	nongold
98	fruit is a part of a plant; tree	nongold
99	a leaf is a part of a tree	nongold
