Question	Which mixture can be easily separated by adding water and pouring it through a coffee filter?	question
Answer	salt and sand	answer
0	a filter is used for separating liquid from solid particles	gold
1	sand  is a kind of substance	nongold
2	salt water is made of salt and water	nongold
3	salt is a kind of pure substance	gold
4	salt is a kind of solid	nongold
5	sand  is a kind of solid	gold
6	sand  is a kind of mixture	nongold
7	sand is insoluble in water	nongold
8	sand is insoluble in water	gold
9	sand  is a kind of material	nongold
10	An example of a mixture is sand; clay; soil mixed together	nongold
11	sand is similar to soil	nongold
12	a filter is a kind of tool for separating liquid from solid particles	nongold
13	sand is made of small particles	nongold
14	filtration can be used for separating a mixture of a liquid and a solid	gold
15	a mixture of solids can be easily separated	nongold
16	sand is made of very small rocks; minerals	nongold
17	salt is soluble in water	gold
18	salt water is a kind of solution	nongold
19	table salt is a kind of salt	nongold
20	In the solution salt water , the solute is salt	nongold
21	moisture means liquid; liquid water	nongold
22	sand is denser than water	nongold
23	an mixture is formed by two or more substances combined together physically	nongold
24	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
25	a mixture is a kind of substance	nongold
26	heating salt water causes the water to evaporate while the salt remains	nongold
27	a solution is a kind of mixture	nongold
28	saltwater is a kind of substance	nongold
29	flowing is similar to pouring	nongold
30	a mixture usually is made of objects with different physical properties	nongold
31	to add means to combine	nongold
32	silica sand is a kind of sand	nongold
33	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
34	water is a kind of substance	gold
35	evaporation can be used for separating a mixture of a liquid and a solid	nongold
36	if two substances are poured in the same container , then the two substances are combined	nongold
37	salt is made of salt crystals	nongold
38	to disperse means to separate	nongold
39	sand is a kind of resource	nongold
40	In the solution salt water , the solvent is water	nongold
41	mixture means solids combined together that maintain their physical properties	nongold
42	to add means to increase	nongold
43	salt water is an electrical; electrical energy conductor	nongold
44	sand in water settles to the bottom of water	nongold
45	adding salt to a liquid decreases the melting point of that liquid	nongold
46	sand is always nonmagnetic	nongold
47	adding salt to a solid decreases the freezing point of that solid	nongold
48	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
49	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
50	sand has a rough surface	nongold
51	adding heat means increasing temperature	nongold
52	can be means able to be	nongold
53	neutralization is when an acid and a base react to form water and salt	nongold
54	material means substance	nongold
55	a liquid is a kind of substance	nongold
56	An example of combining two substances is pouring one substance into the other substance	nongold
57	water is a kind of liquid at room temperature	nongold
58	heating means adding heat	nongold
59	solution is a kind of liquid	gold
60	decomposing is similar to separating	nongold
61	if an event occurs by adding something then that event requires that something	nongold
62	heat means heat energy	nongold
63	sodium chloride means salt	nongold
64	An example of a mixture is salt shaken with pepper	nongold
65	pouring into is a kind of transfer	nongold
66	a solution is made of one substance dissolved in another substance	nongold
67	rock is a kind of material	nongold
68	a solution is formed by one substance being dissolved in another substance	gold
69	pouring is a kind of activity	nongold
70	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
71	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
72	pouring water onto soil causes that soil to wash away	nongold
73	a  solution  is a kind of object	nongold
74	answering questions requires information	nongold
75	water is a kind of object	nongold
76	boiling is when liquids are heated above their boiling point	nongold
77	separate is similar to break down	nongold
78	clay is a kind of material	nongold
79	salt is always nonmagnetic	nongold
80	a source of something emits; produces; generates; provides that something	nongold
81	if an object is made of a material then that object has the properties of that material	nongold
82	to decompose means to separate	nongold
83	a rock is a kind of object	nongold
84	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
85	all elements are a kind of pure substance	nongold
86	a rock is usually a solid	nongold
87	if something is made of something; a material then that something contains that something; that material	nongold
88	a solid is a kind of substance	nongold
89	temperature is a measure of heat energy	nongold
90	substances are made of elements	nongold
91	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
92	sand dunes are made of sand	nongold
93	separating is similar to breaking	nongold
94	transferring is similar to adding	nongold
95	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
96	substances are made of matter	nongold
97	a living thing is a kind of object	nongold
98	a component of something means a part of that something	nongold
99	if heat is added to a substance then that substance absorbs that heat	nongold
