Question	When Chemical X is added to a certain liquid, the chemical breaks into Substances Y and Z. It is not possible to break Substances Y and Z into simpler particles. Which statement is best supported by this evidence?	question
Answer	Substances Y and Z are elements.	answer
0	a molecule is a kind of particle	nongold
1	matter; materials; substances are made of atoms; particles	gold
2	an element is a kind of  substance	nongold
3	atoms are made of particles	nongold
4	an  element is a kind of atom	nongold
5	an element is made of one kind of atoms	nongold
6	a molecule is made of atoms chemically combined; bonded	nongold
7	substances are made of elements	nongold
8	substances are made of molecules	nongold
9	if a substance is made of one element , then the substance is called an element	nongold
10	chemical compounds contain chemical bonds between atoms; between elements	nongold
11	all elements are a kind of pure substance	gold
12	matter is made of molecules	nongold
13	substances are made of matter	nongold
14	an element cannot be decomposed into two or more different substances by simple chemical methods	gold
15	particles in objects are a kind of matter	nongold
16	a liquid is a kind of substance	nongold
17	liquid is a kind of state of matter	nongold
18	an atom is the smallest particle; unit that has the properties of an element	nongold
19	materials are made of matter	nongold
20	chemicals means substances	nongold
21	an element is a kind of material	nongold
22	objects are made of materials; substances; matter	nongold
23	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
24	a particle is a kind of object	nongold
25	atom cannot be divided into smaller substances	nongold
26	a compound can be chemically separated into the elements that it is made of	nongold
27	An example of a chemical change is acid breaking down substances	nongold
28	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
29	carbon is a kind of element	nongold
30	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
31	an atom is made of protons; neutrons; electrons	nongold
32	a pure substance is made of only one kind of atom; molecule	nongold
33	a result of something is evidence of that something	nongold
34	a molecule is the smallest particle; unit that has the properties of a compound	nongold
35	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
36	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
37	substances have chemical properties	nongold
38	a  gas is a kind of  element	nongold
39	separate is similar to break down	nongold
40	solid is a kind of state of matter	nongold
41	when something breaks , a crack may form in that something	nongold
42	if something is made of something else then that something can be broken down into that something else	nongold
43	state of matter means physical state	nongold
44	particles in a liquid are close to each other	nongold
45	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
46	gas is a kind of state of matter	nongold
47	an atom is a kind of object	nongold
48	An example of a chemical property is the elements a compound is made of	nongold
49	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
50	if something breaks , then that something cannot be used	nongold
51	compound is a kind of chemical	nongold
52	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
53	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
54	chemical reactions cause new substances; different substances to form	nongold
55	chlorine is a kind of element	nongold
56	a molecule is a kind of object	nongold
57	to break down means to break into smaller pieces	nongold
58	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
59	physical state means state of matter	nongold
60	particles in a liquid are slower than particles in a gas	nongold
61	a compound is made of two or more elements that have been chemically combined	nongold
62	adding something is a kind of change	nongold
63	state of matter is a kind of physical property	nongold
64	a chemical property is the opposite of a physical property	nongold
65	hydrogen is a kind of element	nongold
66	if something is made of something else , then that something else will be the component of that something	nongold
67	particles in a solid are slower than particles in a liquid	nongold
68	separating is similar to breaking	gold
69	breaking down is a kind of forming	nongold
70	chemical reactions cause chemical change	nongold
71	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
72	particles in a liquid are closer together than particles in a gas	nongold
73	combining; mixing two substances chemically causes chemical reactions	nongold
74	particles in a solid are closer together than particles in a liquid	nongold
75	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
76	composed of means made of	nongold
77	a nonmetal is a kind of element	nongold
78	nitrogen is a kind of element	nongold
79	charged particles are a kind of high-energy particles	nongold
80	different types of matter have different chemical properties	nongold
81	state of matter at room temperature is a kind of physical property	nongold
82	particles in a liquid have more kinetic energy than particles in a solid	nongold
83	an electron is a kind of charged particle	nongold
84	can be means able to be	nongold
85	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
86	to be made of something means to be formed of that something	nongold
87	if something is strong then that something  does not break easily	nongold
88	a photon is a kind of  particles	nongold
89	a chemical compound is a kind of compound	nongold
90	gas is a kind of substance	nongold
91	to add means to increase	nongold
92	electron configuration is a property of elements	nongold
93	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
94	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
95	a solid is a kind of substance	nongold
96	a metal is a kind of element	nongold
97	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
98	Matter in the liquid phase has variable shape	nongold
99	a source of something emits; produces; generates; provides that something	nongold
