Question	In Maryland, most bears have thick, dark fur. Which statement best explains how dark fur helps bears survive in the forests of Maryland?	question
Answer	Dark fur helps bears hide.	answer
0	a bear is a kind of animal	gold
1	hiding is a kind of protection against predators; from predators	nongold
2	a forest is a kind of environment	gold
3	Maryland is a kind of region	nongold
4	a bear is a kind of predator	nongold
5	dark means dark in color	gold
6	camouflage is used for protection; hiding by prey; animals against predators; from predators	gold
7	some animals live in forests	nongold
8	helping something has a  positive impact on that something	gold
9	a dense forest environment often is dark in color	gold
10	an animal is a kind of living thing	nongold
11	Maryland is a state located in the United States of America	nongold
12	hiding can be used for avoiding predators	nongold
13	woodland means forest	nongold
14	fur is often part of an animal	gold
15	best means most positive	nongold
16	coat means fur coat	nongold
17	forest is synonymous with wooded area	nongold
18	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
19	camouflage is a kind of adaptation for hiding in an environment	gold
20	a forest contains  lots of plants; trees	nongold
21	to be used  for something means to help to do that something	nongold
22	an animal is a kind of organism	nongold
23	to help; to benefit means to be of use	nongold
24	survival means to survive	nongold
25	if a living thing requires something then that something has a positive impact on that living thing	nongold
26	an environment means an area	nongold
27	survive means live	nongold
28	survive means live	nongold
29	a forest is a kind of ecosystem	nongold
30	harming something has a  negative impact on; effect on that something	nongold
31	hiding means visibility; ability to be seen decreases for camouflage	nongold
32	dark is the opposite of light	nongold
33	a living thing is a kind of object	nongold
34	An example of camouflage is when something is; has the same color as its environment	gold
35	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
36	fur is usually part of a mammal	nongold
37	to protect means to make safe	nongold
38	thick fur; thick feathers can be used for keeping warm	nongold
39	an animal; living thing requires nutrients for survival	nongold
40	disguise means  changing appearance to hide	nongold
41	coloration is a kind of adaptation for hiding;camouflage	gold
42	killing means harming something causing death	nongold
43	blending in is synonymous with hiding	nongold
44	darkness occurs at night	nongold
45	surroundings means environment	nongold
46	fur is a covering around the body of an animal	nongold
47	a forest environment usually is green in color	nongold
48	a human is a kind of animal	nongold
49	to help means to aid	nongold
50	a mammal is a kind of animal	nongold
51	camouflage is a kind of protection against predators; from predators; against consumers	nongold
52	objects in an environment are a part of that environment	nongold
53	camouflage can be used for hunting for prey; food	nongold
54	requiring is similar to needing help	nongold
55	protecting something means preventing harm to that something	nongold
56	negative impact is the opposite of positive impact	nongold
57	An example of camouflage is when an organism looks like its environment	nongold
58	some animals' fur grows thicker for staying warm in the winter	nongold
59	hair; fur is  a part of skin for protection; keeping warm	nongold
60	dark means a low amount of light	nongold
61	trait is synonymous with characteristic	nongold
62	good means positive	nongold
63	a plant; living thing requires food for survival	nongold
64	habitat is similar to environment	nongold
65	An example of an environment is a forest; a river; a grassland; an ocean	nongold
66	most predators live in; live near the same environment as their prey	nongold
67	bears eat berries; insects; animals	nongold
68	to enable is to help	nongold
69	killing means changing a living thing from alive to dead by harming	nongold
70	an animal requires shelter	nongold
71	an organism is a living thing	nongold
72	to be good for means to have a positive impact on	nongold
73	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
74	an animal is a member of an animal species	nongold
75	better means good	nongold
76	helping means to assist in a change	nongold
77	a wolf is a kind of animal	nongold
78	keeping means staying	nongold
79	a region is similar to an environment	nongold
80	something hard; something strong can be used for protection	nongold
81	an environment is a kind of place	nongold
82	dying is the opposite of living; surviving	nongold
83	nonliving; non-living; die is the opposite of living; alive; live	nongold
84	if an animal's fur is a color then that animal is that color	nongold
85	to make something easier means to help	nongold
86	answering questions requires information	nongold
87	the arctic is a kind of environment	nongold
88	thin means small in width	nongold
89	to hurt means to harm	nongold
90	staying warm means keeping warm	nongold
91	death means to die	nongold
92	a population is made of one type of organism in an area	nongold
93	a structure of something is synonymous with a part of that something	nongold
94	some rabbits live in forests	nongold
95	denser means more dense	nongold
96	the color of; coloration of fur is an inherited characteristic	nongold
97	high is similar to increase	nongold
98	trait means property	nongold
99	staying warm has a positive impact on an animal's survival; health	nongold
