Question	How is the stratosphere different from the troposphere?	question
Answer	The temperature of the stratosphere warms at higher altitude.	answer
0	warmer means greater; higher in temperature; warmth	gold
1	as the altitude increases ,  the temperature of the air will increase in the stratosphere	gold
2	colder; cooler means lower in temperature	nongold
3	as altitude increases , the temperature of the air will decrease in the troposphere	gold
4	troposphere is a lower layer of Earth's atmosphere	nongold
5	troposphere contains almost all the water vapor	nongold
6	higher means greater; above in value; amount; number	nongold
7	different is the opposite of the same	nongold
8	greater means higher; more in value	nongold
9	warm means warm temperature	nongold
10	heat means temperature increases	nongold
11	to change means to become different	nongold
12	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
13	warm means medium heat energy; temperature	nongold
14	warm is the opposite of cool	nongold
15	troposphere contains 75% the gases	nongold
16	temperature is a measure of heat energy	nongold
17	an increase is a kind of change	nongold
18	warm up means increase temperature	nongold
19	to lower means to decrease	nongold
20	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
21	troposphere has the greatest density among the layers in the atmosphere	nongold
22	heat means heat energy	nongold
23	high is similar to increase	gold
24	hot means high in heat energy; temperature	nongold
25	cooler means colder	nongold
26	high means great in altitude	nongold
27	a hot; warm something is a source of heat	nongold
28	a decrease is a kind of change	nongold
29	an increase is the opposite of a decrease	gold
30	cold means low in temperature	nongold
31	air temperature is a kind of temperature	nongold
32	low means low in elevation; height; altitude	nongold
33	another means different	nongold
34	increase means more	nongold
35	cool means cold	nongold
36	a source of something increases the amount of that something	nongold
37	opposite is a kind of different	gold
38	warm; becoming warm means heat is added	nongold
39	weather  usually happens in troposphere	nongold
40	cooling means temperature decreases	nongold
41	low is similar to decrease	nongold
42	adding heat means increasing temperature	nongold
43	ozone absorbing sunlight causes the temperature of stratosphere to increase with altitude	nongold
44	warm is similar to hot	nongold
45	hot is the opposite of  cold	nongold
46	Earth is a kind of planet	nongold
47	to add means to increase	nongold
48	become warm means get warm	nongold
49	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
50	rising means height; altitude increases	nongold
51	to vary means to differ	nongold
52	a source of something emits; produces; generates; provides that something	nongold
53	a planet is a kind of celestial object; body	nongold
54	if something emits something else then that something increases the amount of that something else	nongold
55	worldwide temperature means atmospheric temperature	nongold
56	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
57	identical is the opposite of different	nongold
58	to a  human a air; environment temperature of 21 C to 28 C is considered warm	nongold
59	warm-weather organisms live in warm climates	nongold
60	little is similar to decrease	nongold
61	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
62	a change is a kind of event	nongold
63	a change is a kind of difference	nongold
64	temperature rise means become warmer	nongold
65	closer means lower; less; a decrease in distance	nongold
66	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
67	liquid is a kind of state of matter	nongold
68	to turn means to change	nongold
69	as temperature during the day increases , the temperature in an environment will increase	nongold
70	as the cause of something decreases , that something will decrease	nongold
71	less is similar to decrease	nongold
72	solar energy is a kind of heat energy	nongold
73	sunlight produces heat	nongold
74	to change means to cause a change	nongold
75	as the sun sets , the temperature will decrease	nongold
76	distant means great in distance	nongold
77	to reduce means to decrease	nongold
78	heating means adding heat	nongold
79	below means lower down	nongold
80	as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet; the atmosphere will increase	nongold
81	heating is the opposite of cooling	nongold
82	affected means changed	nongold
83	temperature is an intensive property	nongold
84	greatest means largest; highest; most amount of something	nongold
85	to create means to make	nongold
86	global warming is when worldwide temperature increases	nongold
87	adding something is a kind of change	nongold
88	thermosphere is a  layer of Earth's atmosphere	nongold
89	faster means an increase; higher in speed	nongold
90	altitude is the distance from the ground to an object in the sky	nongold
91	solid is a kind of state of matter	nongold
92	variable means able to change	nongold
93	low is the opposite of high	nongold
94	extreme means very high in value	nongold
95	temperature is a property of weather	nongold
96	lithosphere is a  layer of the Earth	nongold
97	if something transfers something else then that something is a source of something else	nongold
98	to a  human a air; environment temperature of 70 F to 82 F is considered warm	nongold
99	heat is a kind of energy	nongold
