Question	A delta can be seen from the air at the mouth of the Mississippi River. This delta was formed by	question
Answer	deposition of sediment.	answer
0	a delta is formed by sediment depositing at the mouth of a river by water fanning out	gold
1	a delta is a kind of geologic structure; landform	nongold
2	the Mississippi Delta is a kind of delta	nongold
3	erosion causes deposition	nongold
4	Mississippi is a state located in the United States of America	nongold
5	an estuary is a kind of body of water	nongold
6	a river is a kind of flowing body of water	nongold
7	deposition is a kind of natural process	nongold
8	deposition means to move an object from one location to a  different location	nongold
9	sediment is formed from rock	nongold
10	sedimentary rocks are formed by deposition; cementation	nongold
11	to be made of something means to be formed of that something	nongold
12	a river is a kind of channel for water	nongold
13	to form means to create	nongold
14	sediment is similar to soil	nongold
15	sediment is a kind of matter	nongold
16	weathering; erosion usually occurs over a period of many years	nongold
17	a stream is a kind of body of water	nongold
18	sediment is formed by weathering	nongold
19	a body of water is a kind of environment	nongold
20	to make means to form	nongold
21	to be formed by is similar to being produced by	nongold
22	to be formed by is to be the result of	nongold
23	a riverbed is a part of a river	nongold
24	erosion is a kind of process	nongold
25	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
26	to cause the formation of means to form	nongold
27	landform means surface feature; physical feature; land feature	nongold
28	an aquatic animal is a kind of animal	nongold
29	form means kind	nongold
30	a body of water contains water	nongold
31	a body of water is a source of water	nongold
32	composed of means made of	nongold
33	to create means to make	nongold
34	atmosphere means  air	nongold
35	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
36	an ocean is a kind of body of water	nongold
37	to be formed means to be originated	nongold
38	answering questions requires information	nongold
39	erosion is a kind of change	nongold
40	to view means to see	nongold
41	soil and sediment deposited by a river are usually high; rich in nutrients	nongold
42	an object is made of its parts	nongold
43	a whole is formed by its parts	nongold
44	to increase is similar to to create	nongold
45	fossils are formed when layers of sediment cover the remains of organisms over time	nongold
46	air is a part of the environment	nongold
47	a landform is a kind of natural formation	nongold
48	a process is a kind of event	nongold
49	flowing is a kind of motion	nongold
50	made up of means contains; made of	nongold
51	air is a kind of gas	nongold
52	material means substance	nongold
53	weathering is a kind of erosion	nongold
54	state means form	nongold
55	a component means a part of	nongold
56	an event is a kind of action	nongold
57	the formation of something is a kind of process	nongold
58	sedimentary is a kind of rock	nongold
59	water is a part of an environment	nongold
60	a part of a process means a stage in a process	nongold
61	when a river floods , that river deposits soil; sediment in flood plains	nongold
62	a body of water is a kind of land feature	nongold
63	Missouri is a state located in the United States of America	nongold
64	stalactites are formed by deposition	nongold
65	accumulation means increase	nongold
66	a component of something means a part of that something	nongold
67	aquatic animal means water animal	nongold
68	an environment means an area	nongold
69	visible means able to be seen	nongold
70	to happen means to occur	nongold
71	flowing is a kind of action	nongold
72	water is a kind of substance	nongold
73	to cause means to make	nongold
74	no longer means used to be	nongold
75	due to means caused by	nongold
76	deposition is a kind of constructive force	nongold
77	air is a kind of matter	nongold
78	an environment is a kind of place	nongold
79	a landform is a kind of object	nongold
80	a structure of something is synonymous with a part of that something	nongold
81	loss is similar to removal	nongold
82	desublimation; deposition means matter; a substance changes from a gas into a solid by decreasing heat energy	nongold
83	land is a kind of landform	nongold
84	to wash away is a kind of movement by moving water	nongold
85	a landform is a kind of place	nongold
86	a landform is a kind of place	nongold
87	sediment falls to the bottom of bodies of water	nongold
88	creating is similar to causing	nongold
89	the air is a kind of substance	nongold
90	becoming is similar to forming	nongold
91	to produce means to create	nongold
92	to be made of means to consist of	nongold
93	rock is a kind of material	nongold
94	a motion is a kind of event; action	nongold
95	a process usually requires all of the stages in that process	nongold
96	to see means to look	nongold
97	a valley is formed by a river flowing	nongold
98	an organism is a living thing	nongold
99	a region is similar to an environment	nongold
