Question	Which objects are the most useful for collecting data on the speed of a toy car?	question
Answer	stopwatch, calculator, meter stick	answer
0	a meter stick is a kind of tool for measuring length; measuring distance	gold
1	a stopwatch is a kind of tool for measuring time	gold
2	a calculator is a kind of tool	gold
3	a watch;clock;stopwatch is used for measuring time	nongold
4	a toy car is a kind of object	gold
5	a stopwatch is used to measure time	gold
6	a calculator is used for adding; subtracting; multiplying; dividing	gold
7	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	gold
8	a meter stick is used to measure distance; height; length	gold
9	a car is a kind of vehicle	nongold
10	a car is a kind of object	nongold
11	a car is a kind of automobile	nongold
12	a meter is a kind of unit for measuring distance; measuring length	nongold
13	a stick is a kind of object	nongold
14	useful means able to be used	nongold
15	useful means good to use	nongold
16	a vehicle is a kind of object	nongold
17	a living thing is a kind of object	nongold
18	An example of collecting data is measuring	gold
19	speed is a measure of how fast an object is moving	nongold
20	a vehicle is a kind of tool for travel; transport	nongold
21	speed is a property of an object and includes values of slow; fast	nongold
22	instrument means tool	nongold
23	a tool is a kind of object	nongold
24	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
25	meters;centimeters;kilometers are used to describe distance; describe length	nongold
26	calculating speed requires knowing distance travelled	nongold
27	an automobile is a kind of vehicle	nongold
28	instrument means device	nongold
29	data means information	nongold
30	answering questions requires information	nongold
31	a device is a kind of object	nongold
32	rate is similar to speed	nongold
33	stop; stopped means zero; 0; no speed	nongold
34	an instrument is a piece of equipment	nongold
35	an animal is a kind of living thing	nongold
36	to collect means to gather	nongold
37	device means tool	nongold
38	stop means not move	nongold
39	distance moved; distance travelled is a measure of how far an object moves	nongold
40	to be made of is similar to collection	nongold
41	a speedometer is a part of an automobile	nongold
42	high speed means fast	nongold
43	a machine is a kind of  device	nongold
44	faster means an increase; higher in speed	nongold
45	a human is a kind of animal	nongold
46	seconds are used to measure time	nongold
47	objects are made of materials; substances; matter	nongold
48	seconds are a kind of unit for measuring time	nongold
49	a measurement is a kind of data	nongold
50	wheels are a part of a car	nongold
51	a simple machine is a kind of tool	nongold
52	a machine is a kind of object	nongold
53	a vehicle is used for transportation	nongold
54	the function of something is what that something  is used to do	nongold
55	minutes are a kind of unit for measuring time	nongold
56	fastest means greatest in  speed	nongold
57	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
58	counter means reduce; stop; resist	nongold
59	moving is similar to travelling	nongold
60	a motion is a kind of event; action	nongold
61	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
62	operating a remote-control toy causes that toy to move	nongold
63	speed up means increase	nongold
64	a centimeter is a kind of unit of measurement	nongold
65	if an object accelerates then that object will go faster	nongold
66	a measure of time is a length of time	nongold
67	an animal is a kind of organism	nongold
68	to depend on; to rely on; to need means to require	nongold
69	an part of an object is smaller than the entire object	nongold
70	slowest means lowest in  speed	nongold
71	can be means able to be	nongold
72	fast is the opposite of slow	nongold
73	high is similar to increase	nongold
74	to help; to benefit means to be of use	nongold
75	a car moves on a road	nongold
76	faster means increased rate	nongold
77	motion is when moves an object; something to a direction	nongold
78	motion; movement means moving; to move	nongold
79	m/s means meters per second	nongold
80	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
81	to slow; to slow down decreases speed	nongold
82	condensing is similar to collecting	nongold
83	variable means able to change	nongold
84	parking is a kind of  stopping	nongold
85	how long something takes is a kind of measurement of time	nongold
86	a type is synonymous with a kind	nongold
87	to be used for something means to be required by that something	nongold
88	an object is an item	nongold
89	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
90	an event is a kind of action	nongold
91	a vehicle is used for travel	nongold
92	a velocity is a measure of a speed in a direction	nongold
93	system means a set of objects	nongold
94	if two things perform the same function then those two things are similar	nongold
95	travel means to move	nongold
96	a source of something emits; produces; generates; provides that something	nongold
97	a speedometer is used for giving a driver feedback on the speed of their vehicle	nongold
98	fast means quickly	nongold
99	a centimeter is used for measuring short lengths; short distances	nongold
