Question	You wish to closely observe a small insect. Which tool is the best to use?	question
Answer	a magnifying glass	answer
0	a magnifying glass is a kind of tool for observing small things	gold
1	magnifying glass is used to see  small things by making objects appear bigger	gold
2	an insect is a kind of animal	nongold
3	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
4	a hand lens; a magnifying lens is synonymous with a magnifying glass	nongold
5	an insect usually has a small size	gold
6	inspect; observe means examine	nongold
7	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
8	instrument means tool	nongold
9	glass is a kind of object	nongold
10	best means most positive	nongold
11	a microscope is a kind of tool for observing small things	nongold
12	microscope is used to see small things; microscopic things; specimens by biologists by making them appear bigger	nongold
13	an instrument is a piece of equipment	nongold
14	a tool is a kind of object	nongold
15	observe means see	nongold
16	optical tools are used for observing materials up close; in greater detail	nongold
17	an organism is a living thing	nongold
18	a living thing is a kind of object	nongold
19	detecting is similar to observing	nongold
20	an animal is a kind of living thing	nongold
21	an insect is a kind of prey	nongold
22	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
23	instrument means device	nongold
24	look at means observe	nongold
25	An insect is a pollinating animal	nongold
26	determining often requires measuring; observing	nongold
27	glass is a kind of material	nongold
28	device means tool	nongold
29	a device is a kind of object	nongold
30	an part of an object is smaller than the entire object	nongold
31	looking is similar to observing	nongold
32	viewing means observing light	nongold
33	an eyeglass lens is often made of glass	nongold
34	small is the opposite of large	nongold
35	an animal is a kind of organism	nongold
36	an eyeglass lens is a kind of object	nongold
37	studying is similar to observing	nongold
38	An example of observing things is taking a picture	nongold
39	an insect has three body parts	nongold
40	measuring is a kind of observing	nongold
41	if something is visible , then that something can be observed	nongold
42	little means small	nongold
43	studying  something usually requires seeing that something	nongold
44	better means good	nongold
45	to serve as means to be used as	nongold
46	to be used for something means to be required by that something	nongold
47	a lens is a part of a telescope	nongold
48	casting an image of an object through a pinhole onto a screen does not require looking directly at the object	nongold
49	if an object is made of a material then that object has the properties of that material	nongold
50	examining sometimes requires measuring	nongold
51	some lenses are made of glass	nongold
52	useful means able to be used	nongold
53	recording an observation sometimes requires measuring	nongold
54	an animal is a member of an animal species	nongold
55	to help; to benefit means to be of use	nongold
56	glass is a kind of open container	nongold
57	useful means good to use	nongold
58	capturing an animal can be used for studying that animal	nongold
59	a convex lens causes light to refract and concentrate to magnify distant objects	nongold
60	helping means something can be done; completed more easily; better	nongold
61	sight means to see	nongold
62	binoculars are a kind of instrument for observing distant objects	nongold
63	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
64	lenses are a kind of object	nongold
65	to see means to look	nongold
66	a surface is a part of an object	nongold
67	a type is synonymous with a kind	nongold
68	a camera is a kind of tool for recording images	nongold
69	can be means able to be	nongold
70	getting information sometimes requires observing; observation	nongold
71	an insect has six legs	nongold
72	identifying sometimes requires examining	nongold
73	good means positive	nongold
74	a container contains objects; material; substances	nongold
75	glass; objects made of glass cause refraction of light	nongold
76	a machine is a kind of  device	nongold
77	microscopic means very small in size	nongold
78	to get a better look at means to see better	nongold
79	the function of something is what that something  is used to do	nongold
80	to observe means to gather information	nongold
81	a surface is a part of a material	nongold
82	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	nongold
83	answering questions requires information	nongold
84	a glass contains water	nongold
85	something hard; something strong can be used for protection	nongold
86	an object has properties	nongold
87	harming something has a  negative impact on; effect on that something	nongold
88	a bird is a kind of living thing	nongold
89	if a living thing requires something then that something has a positive impact on that living thing	nongold
90	binoculars are used for observing distant objects	nongold
91	form means kind	nongold
92	visible means able to be seen	nongold
93	a source of something emits; produces; generates; provides that something	nongold
94	a fly is a kind of insect	nongold
95	a camera is used for recording images	nongold
96	seeing is used for sensing visual things	nongold
97	carnivores; omnivores; herbivores are a kind of animal	nongold
98	to look like means to have the visual properties of	nongold
99	a labybug  has a small  size	nongold
