Question	Which will most likely happen to a solid substance that is heated?	question
Answer	It will melt.	answer
0	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
1	a solid is a kind of substance	nongold
2	melting is when solids are heated above their melting point	nongold
3	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
4	hot means high in heat energy; temperature	nongold
5	melting is a kind of phase change	nongold
6	temperature is a measure of heat energy	nongold
7	a phase change is when matter; a substance changes from one state of matter into another state of matter	gold
8	heating means adding heat	gold
9	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
10	to add means to increase	gold
11	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
12	heat means heat energy	gold
13	a liquid is a kind of substance	nongold
14	a hot; warm something is a source of heat	nongold
15	warm means medium heat energy; temperature	nongold
16	material means substance	nongold
17	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
18	solid is a kind of state of matter	gold
19	melting point means temperature at which a solid melts; above which a solid melts	nongold
20	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
21	boiling is when liquids are heated above their boiling point	nongold
22	substances are made of matter	nongold
23	a hot substance is a source of heat	nongold
24	water is a kind of liquid at room temperature	nongold
25	metal is a thermal; thermal energy conductor	nongold
26	adding heat means increasing temperature	nongold
27	mass has no impact on boiling; melting; freezing point	nongold
28	a phase change is a kind of physical change	nongold
29	materials are made of matter	nongold
30	heat means temperature increases	nongold
31	liquid is a kind of state of matter	gold
32	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
33	water is an thermal; thermal energy conductor	nongold
34	boiling is a kind of phase change	nongold
35	to happen means to occur	nongold
36	if liquid is boiling then that liquid is hot	nongold
37	a metal is usually a solid at room temperature	nongold
38	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
39	water is a kind of matter	nongold
40	ice is a kind of solid	nongold
41	conductivity is a property of a material; substance	nongold
42	heating is the opposite of cooling	nongold
43	an increase is a kind of change	nongold
44	cooling means temperature decreases	nongold
45	freezing is a kind of phase change	nongold
46	evaporating is a kind of phase change	nongold
47	objects are made of materials; substances; matter	nongold
48	to give off means to be the source of	nongold
49	water is a kind of substance	nongold
50	thermal conduction is when heat flows from warmer object to cooler object	nongold
51	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
52	heat energy is synonymous with thermal energy	nongold
53	heat energy can change the state of matter	nongold
54	matter; materials; substances are made of atoms; particles	nongold
55	ice cream is a kind of solid	nongold
56	if one surface; one substance; one object touches something then one is exposed to that something	nongold
57	a source of heat can be used to heat something	nongold
58	a source of heat can be used to heat something	nongold
59	temperature changing can cause phase changes	nongold
60	if heat is added to a substance then that substance absorbs that heat	nongold
61	freezing causes a solid to form	nongold
62	metal is a kind of material	nongold
63	conductivity is a kind of physical property	nongold
64	a liquid is a kind of fluid	nongold
65	if an object is made of a material then that object has the properties of that material	nongold
66	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
67	Matter in the solid phase has definite shape	nongold
68	heat means the transfer of thermal energy	nongold
69	high is similar to increase	nongold
70	frozen means solid	nongold
71	metal is a kind of substance	nongold
72	ability to undergo a phase change is a property of a substance; material	nongold
73	a source of something emits; produces; generates; provides that something	nongold
74	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
75	state of matter at room temperature is a kind of physical property	nongold
76	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
77	absorbing energy causes objects; materials; substances to heat	nongold
78	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
79	state of matter means physical state	nongold
80	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
81	a decrease is a kind of change	nongold
82	glass is a kind of solid at room temperature	nongold
83	temperature changing does not cause mass to change	nongold
84	warm up means increase temperature	nongold
85	aluminum is a kind of matter	nongold
86	matter is made of molecules	nongold
87	when a cooler object touches a warmer object , thermal conduction occurs	nongold
88	Matter in the liquid phase has variable shape	nongold
89	thermal energy is a kind of energy	nongold
90	milk is a kind of liquid at room temperature	nongold
91	the heat energy in the cooler object increases in thermal conduction	nongold
92	physical state means state of matter	nongold
93	if something transfers something else then that something is a source of something else	nongold
94	melting point is a property of a substance; material	nongold
95	to lower means to decrease	nongold
96	air is usually a thermal; thermal energy insulator	nongold
97	an element is a kind of material	nongold
98	thermal expansion is a property of matter and includes ordered values of high; low	nongold
99	an insulator is a kind of material	nongold
