Question	Which of the following activities is the best example of instinctive behavior in an animal?	question
Answer	A newly hatched sea turtle walks toward the ocean.	answer
0	walking is a kind of behavior	gold
1	animal instinct means instinctive behavior	nongold
2	a sea turtle is a kind of animal	gold
3	walking is a kind of motion	nongold
4	a turtle is a kind of animal	nongold
5	a sea turtle lives in the ocean	nongold
6	an aquatic animal is a kind of animal	nongold
7	toward is a kind of direction	nongold
8	action means activity	nongold
9	actions mean behavior	nongold
10	migration is an instinctive behavior	nongold
11	motion; movement means moving; to move	nongold
12	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
13	an animal knows how to do  instinctive behaviors when it is born	gold
14	to move toward means to move nearer	nongold
15	sea means ocean	nongold
16	aquatic animal means water animal	nongold
17	an ocean is a kind of body of water	nongold
18	an animal is a kind of living thing	nongold
19	ocean animal is similar to water animal	nongold
20	a turtle is a kind of reptile	nongold
21	toward is the opposite of away	nongold
22	a kind of something is an example of that something	nongold
23	a living thing is a kind of object	nongold
24	moving is similar to travelling	nongold
25	motion is when moves an object; something to a direction	nongold
26	a turtle is a kind of omnivore	nongold
27	an animal is a kind of organism	nongold
28	an organism is a living thing	nongold
29	if an animal hatches from an egg then that animal is born	nongold
30	a deep sea animal is a kind of marine organism	nongold
31	an animal being born; being hatched when food is available has a positive impact on that animal's survival; health	nongold
32	a body of water is a kind of environment	nongold
33	a mammal is a kind of animal	nongold
34	an ocean is a kind of habitat	nongold
35	aquatic animals; plants live in bodies of water	nongold
36	An example of an instinctive behavior is a baby bird pecking at its shell to hatch	nongold
37	newly hatched is similar to just born	gold
38	migration is a kind of behavior	nongold
39	an animal being born; being hatched when temperatures are warm has a positive impact on that animal's survival; health	nongold
40	an ocean contains waves	nongold
41	a foot is a part of some animals for walking	nongold
42	a behavior is a kind of characteristic	nongold
43	swimming is when humans; animals can move in water	nongold
44	a motion is a kind of event; action	nongold
45	a crab is a kind of water animal	nongold
46	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
47	a walrus is a kind of sea mammal	nongold
48	an event is a kind of action	nongold
49	an animal; living thing requires nutrients for survival	nongold
50	floating on water is a kind of adaptation	nongold
51	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
52	a frog is a kind of aquatic animal	nongold
53	an alligator is a kind of aquatic animal	nongold
54	young amphibians live in water	nongold
55	young means immature	nongold
56	if a living thing requires something then that something has a positive impact on that living thing	nongold
57	a whale  is a kind of mammal	nongold
58	flippers are a part of a  sea turtle	nongold
59	reproducing is a kind of activity	nongold
60	reproductive behavior is an inherited characteristic	nongold
61	amphibians hatch from eggs	nongold
62	if someone walks on a surface then that someone touches that surface	nongold
63	an otter is a kind of aquatic animal	nongold
64	an amphibian is a kind of animal	nongold
65	waves are made of moving water	nongold
66	running is a kind of movement	nongold
67	mussels are a kind of aquatic animal	nongold
68	becoming is a kind of action	nongold
69	setting is a kind of motion	nongold
70	a reptile is a kind of animal	nongold
71	coastline means coast	nongold
72	a body of water contains water	nongold
73	a body of water meets land at a beach	nongold
74	forming is a kind of action	nongold
75	marine is similar to water	nongold
76	an egg is a kind of object	nongold
77	exercise is a kind of physical activity	nongold
78	doing something more is a kind of conditioned behavior	nongold
79	best means most positive	nongold
80	a human is a kind of animal	nongold
81	conditioned behavior is a kind of learned behavior	nongold
82	water is a part of an environment	nongold
83	leaving is a kind of movement	nongold
84	creating is a kind of activity	nongold
85	towards means closer to something	nongold
86	revolving is a kind of action	nongold
87	travel means to move	nongold
88	passing is a kind of action	nongold
89	action can cause change	nongold
90	movement is a kind of change	nongold
91	adding is a kind of activity	nongold
92	returning is a kind of movement	nongold
93	water is a kind of object	nongold
94	An example of an adaptation is moving fast	nongold
95	a salamander is a kind of aquatic animal	nongold
96	an organism eating is a kind of action	nongold
97	Atlantic Ocean is a kind of ocean	nongold
98	if an animal is trained to do something then that something is a learned behavior	nongold
99	animals learn some behaviors from watching their parents	nongold
